Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Grid,Op Status,Coverage,Sponsor,EchoLink,Coordination,Last update,YSF Digital Enabled,DG-ID,WIRES-X,Features,IRLP,Notes,Downlink Tone,On-air,Affiliate,Web links,AllStar,Nets,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Central Regional,Links,Commands,Bandwidth,Mixed-Mode,Northern Colorado Regional,Feed,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local/Cluster,Colorado,REACT,CO-Park County,Local Network,TAC 310,TAC 311,Colorado Chat,Southern Colorado,Eastern Colorado,Devilshead Local,Talkgroup Network,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,North America,Location Photo,Worldwide,English
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,,17.97,W,Node Offline,08,122,39.30329895,-102.60500336,146.895,146.295,103.5,Kit Carson,DM89QH,On-Air,,Big Sandy ARC,830619,CCARC,2018-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,103.5,KC0VJD,Firstview,CO,OPEN,W,Y,38.31,SSW,,08,17703,38.79579926,-102.54799652,447.6,442.6,,Cheyenne,DM88RT,On-Air,"US-40, US-287, US-385, CO-94, CO-96 Kit Carson, Cheyenne Wells, Firstview, Eads, Aroya, Sheridan Lake",Delbert Noakes (KC0VJD),,CCARC,2019-04-24,yes,Open ↑ / Open ↓,35710,"APRS Digireater &amp; iGate, Weather Station",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.6,5,146.2,WA0VJR,Wallace,KS,OPEN,I,,45.21,SE,,20,3559,38.91389847,-101.59400177,444.6,449.6,146.2,Wallace,DM98EV,On-Air,US-40 Repeater Coverage Map,WA0VJR,,,2019-03-27,,,,,3148,Dial 9335 to access K-Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,,62.75,ESE,,20,8689,39.40119934,-101.10099792,444.75,449.75,162.2,Thomas,DM99KJ,,Wide area. Click for coverage map. 50 mi radius.,,,Kansas Repeater Council,2018-10-15,,,,Linked to K-Link Repeater Network E-power (batt) Allstar 46010,,"Repeater is intermittently off-air, and the Allstar node is down.",162.2,Unknown,K-Link Repeater Network,K-Link Repeater Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.175,5,156.7,K0WPM,Tribune,KS,OPEN,,,64.11,SSE,,20,15098,38.46969986,-101.75299835,442.175,447.175,156.7,Greeley,,On-Air,,WKARC,,,2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,,64.12,ESE,,20,3889,39.39149857,-101.0739975,146.82,146.22,156.7,Thomas,DM99LJ,On-Air,Local,TARC,,Kansas Repeater Council,2019-05-06,,,,"Closed autopatch, e-power.",7552,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,A,,65.24,W,,08,128,39.26879883,-103.48799896,147.06,147.66,103.5,Lincoln,DM89GG,On-Air,"I-70, US-71, US-287, US-40, US-24",BSARC,,CCARC,2019-07-21,,,,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",,,,,,http://www.bigsandyradio.com/,42740,Big Sandy Net: Tues 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0RTS,"Genoa, Limon",CO,OPEN,,D,65.86,W,,08,13581,39.27830124,-103.5,446.7375,441.7375,,Lincoln,,On-Air,"I-70 H-40 H-287 Arriba, Genoa, Hugo, Limon 50 mile radius",K0RTS KC0VJD,,CCARC,2019-11-27,,,,,,Colorado on TG700 Slot 1 Denver on TG720 Slot 2,,,RMHam,,,,yes,8,310829,RMHAM c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,Y,67.16,WSW,,08,17059,39.05419922,-103.48000336,447,442,,Lincoln,,On-Air,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",Delbert Noakes (KC0VJD),,CCARC,2020-01-26,yes,Open ↑ / Open ↓,30534,APRS repeater &amp; I-Gate / Weather station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC,W0FT,Akron,CO,OPEN,,D,77.5,NW,,08,16784,40.16049957,-103.21399689,448.175,443.175,,Morgan,,On-Air,,W0FT,,CCARC,2019-11-27,,,,,,,,,Rocky Mountain Ham Radio,http://www.rmham.org/,,,yes,7,310833,RMHAM c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
