Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Grid,Op Status,Coverage,Sponsor,Features,Web links,Coordination,Last update,Uplink Tone,Downlink Tone,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Notes,Nets,YSF Digital Enabled,DG-ID,WIRES-X,Local Network,On-air,Affiliate,EchoLink,IRLP,AllStar,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Feed,Talkgroups,Southern Colorado,Devilshead Local,Commands,Rocky Mountain Wide,Central Regional,Bandwidth,TAC 310,TAC 311,Colorado,Colorado Chat,Eastern Colorado,Talkgroup Network,Northern Colorado Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Worldwide English,Wyoming,WyLOCAL,REACT,CO-Park County
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,,32.74,WSW,,08,15903,39.17490005,-105.03399658,449.975,444.975,,,,Douglas,,On-Air,,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,The Fun Machine,CCARC,2017-04-21,100,100,,,,,Full-time to the The Fun Machine System .,,,,,,"Can be linked to Allstar, Echolink and others by a Sysop",,,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,32.86,NW,,08,92,39.72940063,-104.83100128,448.5,443.5,,,,Denver,,On-Air,Greater Denver area.,Castle Rock Repeater Group,E-power.,,CCARC,2017-03-11,100,,,,,,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,32.89,NW,,08,8202,39.72940063,-104.83200073,448.4,443.4,,,,Arapahoe,,On-Air,,,,,CCARC,2012-11-12,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,32.89,NW,,08,8199,39.72940063,-104.83200073,448.275,443.275,,,,Arapahoe,,On-Air,,W0BG,,,CCARC,2013-01-05,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,Aurora,CO,OPEN,,,32.89,NW,,08,8743,39.72940063,-104.83200073,449.95,444.95,,,,Arapahoe,,On-Air,Primarily to the North along I-25 corridor,W9SL Owner,,,CCARC,2019-08-23,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,32.89,NW,,08,16032,39.72940063,-104.83200073,448.825,443.825,,,,Arapahoe,,On-Air,,,,,,2017-12-13,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,WE0FUN,"Denver, Green Valley Ranch",CO,OPEN,EA,,34.55,NNW,Node Offline,08,9765,39.79669952,-104.7480011,448.15,443.15,,,,Denver,DM79pt,On-Air,Small coverage of the East Denver area SW of DIA. Repeater Coverage Map,K0GUR,E-power (batt). 2 meter and 70cm channel steerable remote bases.,k0jsc.com,CCARC,2019-08-22,141.3,141.3,,,,,Full-time to the The Fun Machine System .,,,,,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list. The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,,,,,,24340,,29436,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,D,35.22,W,,08,7193,39.26480103,-105.11399841,446.925,441.925,,,,Douglas,DM79KG,On-Air,,,,Rocky Mountain Ham Radio,CCARC,2019-11-27,,,,,,,Full-time to the Colorado TRBO System .,yes,8,310817,RMHR c Record retrieved from radioid.net,,See the website for programming info.,,,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 1 719 Devilshead Local 2 711 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,,35.22,W,,08,8190,39.26480103,-105.11399841,447.525,442.525,,,,Douglas,DM79KG,On-Air,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",EmComm Colorado,,,CCARC,2015-06-17,146.2,146.2,,,,,,,,,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,,35.46,ESE,ON - IDLE,08,9583,39.37030029,-103.8010025,449.25,444.25,,,,Elbert,DM89CI,On-Air,"I-70 Limon, Co area.",K0UPS Club c/o N1UPS,Full duplex node.,,CCARC,2014-09-02,123,123,,,,,,,,,,,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,,,,,,,3349,3349,,,,,,,,,,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,,35.77,SSW,,08,15989,38.90000153,-104.80000305,224.72,223.12,,,,El Paso,,On-Air,Local,w0mog,,,,2017-04-07,103.5,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,,,37.06,WNW,,08,80,39.50419998,-105.12799835,146.88,146.28,,,,Jefferson,,On-Air,Wide Area,Denver Radio League,E-power.,DRL Repeaters,CCARC,2020-03-13,100,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,EI,Y,37.06,WNW,Node Offline,08,273,39.50419998,-105.12799835,449.6,444.6,,,,Jefferson,,On-Air,,Denver Radio League,,DRL Repeaters,CCARC,2020-03-13,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,690473,3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,156.7,AD0TP,Colorado Springs,CO,OPEN,,,38.14,SSW,,08,42,38.83969879,-104.7437973,146.85,146.25,,,,El Paso,DM78PU,On-Air,Greater Colorado Springs Area,AD0TP,,http://www.v7arc.com/,CCARC,2020-02-10,156.7,103.5,,,,,,,,,,,Please email with comments/signal reports,,,,,,,Village 7 Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,38.71,NW,,08,8196,39.73759842,-104.98500061,447.925,442.925,,,,Denver,,On-Air,,RADOPS El Jebel Shriners,,,CCARC,2014-07-03,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,38.71,NW,,08,8195,39.73759842,-104.98500061,447.9,442.9,,,,Denver,,Off-Air,,WB0TPT,,,CCARC,2017-03-11,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,38.71,NW,,08,8212,39.73759842,-104.98500061,449.65,444.65,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,Denver,,On-Air,,Colorado Amateur Repeater Network (CARN),,,CCARC,2012-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,S,38.71,NW,,08,8213,39.73759842,-104.98500061,449.675,444.675,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,Denver,,On-Air,,Colorado Amateur Repeater Network (CARN),,,CCARC,2012-11-16,,,,,,,,,,,,,,,,,,,,,,7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,38.75,NW,,08,75,39.73920059,-104.98400116,145.475,144.875,,,,Jefferson,,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,E-power.,Intermountain Repeater Group,CCARC,2015-05-22,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,38.75,NW,,08,79,39.73920059,-104.98400116,146.715,146.115,,,,Denver,,On-Air,,EARS,E-power.,,CCARC,2017-04-09,123,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,,38.75,NW,,08,91,39.73920059,-104.98400116,448.075,443.075,,,,Denver,,On-Air,,W0IG,,,CCARC,2017-03-11,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,,38.75,NW,,08,93,39.73920059,-104.98400116,448.55,443.55,,,,Denver,,Off-Air,,HPRA,E-power.,,CCARC,2017-03-11,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,,39.43,SSW,,08,8176,38.83969879,-104.80000305,147.135,147.735,,,,El Paso,DM78OU,On-Air,,AA0L,6,,CCARC,2016-04-08,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,39.64,NW,ON - IDLE,08,12216,39.75519943,-104.98699951,447.175,442.175,,,,Denver,DM79MS,On-Air,,W0JRL,,,CCARC,2015-05-15,100,100,,,,,,,,,,,,,,,,,,,201712,,29997,,,,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,,39.78,SW,,08,9503,38.9878006,-105.04399872,449.325,444.325,,,,Teller,DM78LX,On-Air,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Melbourne, Florida can be expected.",KA4EPS,E-power. Allstar Node 27976,http://www.ka4eps.com,CCARC,2019-04-01,103.5,103.5,,,,,,,,,,,Node # 27976,Sunday 1900 MST Tuesday 1900 MST,,,,,,Amateur Radio Motorcycle Club,,,27976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,N0SZ,Westcreek,CO,OPEN,,D,39.8,WSW,,08,15900,39.15250015,-105.16400146,446.875,441.875,,,,Douglas,,On-Air,,W0VG,,http://www.rmham.org,CCARC,2019-11-27,,,,,,,Full-time to the Colorado TRBO System .,yes,6,310846,RMHAM c Record retrieved from radioid.net,,,,,,,,,RMHAM,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Central Regional 2 720 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,,40.02,SW,,08,249,38.9939003,-105.05599976,145.415,144.815,,,,Teller,,,,MARC,"Closed autopatch, e-power.",,CCARC,2012-11-12,179.9,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,,40.02,SW,,08,252,38.9939003,-105.05599976,449.025,444.025,,,,Teller,,,,Mountain Amateur Radio Club (MARC),Linked.,,CCARC,2012-11-10,141.3,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,,40.02,SW,,08,250,38.9939003,-105.05599976,146.82,146.22,,,,Teller,,On-Air,,Mountain ARC,E-power.,,CCARC,2016-11-17,107.2,,,,,,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,,40.02,SW,,08,251,38.9939003,-105.05599976,448.65,443.65,,,,Teller,,On-Air,,Mountain ARC (MARC),E-power.,,CCARC,2016-11-17,107.2,,,,,,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,,40.05,SSW,,08,46,38.83810043,-104.82099915,147.27,147.87,,,,El Paso,,On-Air,,TRA,E-power.,,,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,,40.05,SSW,,08,43,38.83810043,-104.82099915,146.91,146.31,,,,El Paso,,On-Air,,GGARC,E-power.,,CCARC,2016-08-10,151.4,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,,40.05,SSW,,08,48,38.83810043,-104.82099915,147.39,147.99,,,,El Paso,,On-Air,,W0MOG,,,CCARC,2016-08-10,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,,40.06,SW,,08,8193,38.9939003,-105.05699921,447.675,442.675,,,,Teller,,On-Air,,Mountain Amateur Radio Club (MARC),E-power.,,CCARC,2014-05-22,179.9,179.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,,40.07,SW,,08,3750,38.99380112,-105.05699921,927.9,902.9,,,,Teller,,On-Air,,MARC,,,CCARC,2012-11-10,D205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,,40.1,WNW,,08,60,39.4703,-105.198,447.5,442.5,,,,Jefferson,,On-Air,Wide area.,Aurora Repeater Association,E-power.,,CCARC,2014-04-28,88.5,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,,40.31,SSW,,08,8211,38.83390045,-104.82099915,449.575,444.575,,,,El Paso,,On-Air,,RMHARC,,,CCARC,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,,40.31,SSW,,08,8200,38.83390045,-104.82099915,448.3,443.3,,,,El Paso,,On-Air,,AA0L,,,CCARC,2016-08-10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,,40.31,SSW,,08,50,38.83390045,-104.82099915,447.35,442.35,,,,El Paso,,On-Air,,GGARC,E-power.,,CCARC,2015-03-04,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,,40.31,SSW,,08,8182,38.83390045,-104.82099915,224.06,222.46,,,,El Paso,,,Wide area.,Pikes Peak FM Association (PPFMA),"E-power, linked.",,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,,40.31,SSW,,08,49,38.83390045,-104.82099915,447.025,442.025,,,,El Paso,,Off-Air,,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",,CCARC,2016-08-10,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,,40.31,SSW,,08,8198,38.83390045,-104.82099915,448.25,443.25,,,,El Paso,DM78OU,Off-Air,Colorado Springs,,,,CCARC,2018-09-25,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,,40.31,SSW,,08,51,38.83390045,-104.82099915,447.475,442.475,,,,El Paso,,On-Air,,Mountain ARC (MARC),"Closed autopatch, e-power.",,CCARC,2019-11-07,107.2,,,,,,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,,40.31,SSW,,08,55,38.83390045,-104.82099915,448.6,443.6,,,,El Paso,,,,W0MOG,,,CCARC,2012-11-10,114.8,,,,,,"Full-time to 927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,,40.31,SSW,,08,3537,38.83390045,-104.82099915,927.8,902.8,,,,Teller,,On-Air,,,6,,CCARC,2012-11-10,D116,,,,,,"Full-time to 448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,,40.31,SSW,,08,8191,38.83390045,-104.82099915,447.55,442.55,,,,El Paso,,On-Air,,WA6IFI,,,CCARC,2015-11-13,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,42.94,NW,,08,8204,39.70460129,-105.1230011,448.75,443.75,,,,Jefferson,DM79KQ,Off-Air,Local.,,E-power.,,CCARC,2019-08-23,100,100,,,,,,,,,,,,,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,42.96,WNW,,08,85,39.68220139,-105.14299774,147.33,147.93,,,,Jefferson,,On-Air,Metro Denver and the foothills.,Denver Radio Club,E-power.,DRC Repeaters,CCARC,2017-03-31,100,,,,,,,,,,,,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,42.96,WNW,,08,267,39.68220139,-105.14299774,224.38,222.78,,,,Jefferson,,On-Air,,Denver Radio Club,,DRC Repeaters,CCARC,2017-03-11,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,CSQ,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,42.96,WNW,,08,8215,39.68220139,-105.14299774,449.775,444.775,,,,Jefferson,DM79KQ,On-Air,Metro Denver,Denver Radio Club,Yaesu Digital Only,Denver Radio Club,CCARC,2019-09-06,,,,,,,,,,,,,"YSF digital only, no analog FM",,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,,43.45,WNW,,08,17457,39.6,-105.21,927.9375,902.025,,,,Jefferson,,On-Air,"Wide area,Denver,Colorado Springs, Pueblo, Loveland. I70 East of Denver to Genoa and I25 North to Loveland &amp; South to Aguilar. I76 East to Atwood",,linked to Centennial Cone 927.8375 &amp; Almagre 927.7250,,CCARC,2018-12-23,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,43.7,NW,,08,5805,39.71620178,-105.12999725,447.825,442.825,,,,Jefferson,DM79KR,On-Air,,Denver Radio Club,,,CCARC,2017-03-11,D073,,,,,,,,,,,,Now operating in Narrow Band mode with Digital Code Squelch. Please reset your programing to use: 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,,44.33,SSW,,08,56,38.77999878,-104.84999847,448.725,443.725,,,,El Paso,,On-Air,,KA0TTF,,,CCARC,2016-04-19,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,44.83,NW,,08,9775,39.75049973,-105.1230011,147.21,147.81,,,,Jefferson,DM79KS,On-Air,,Denver Water Amateur Radio Club,,http://www.dwarc.com,,2020-01-23,100,100,,,,Yes; analog capable.,,,,,,,,,,,,,,,,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,44.83,NW,,08,17349,39.75059891,-105.1230011,448.35,443.35,,,,Jefferson,,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,http://www.DWARC.com,CCARC,2018-10-02,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,45.22,WNW,,08,105,39.70080185,-105.1780014,53.09,51.39,,,,Jefferson,DM79JQ,On-Air,Metro Denver area.,Denver Radio Club,E-power.,DRC Repeaters,CCARC,2017-03-11,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,,45.55,NW,ON - IDLE,08,8208,39.83670044,-105.03700256,449.3,444.3,,,,Adams,,On-Air,,N1UPS,,,CCARC,2017-04-24,100,,,,,,,,,,,,,,,,,,,,43699,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,46.08,WNW,,08,10514,39.67340088,-105.21800232,53.17,52.67,,,,Jefferson,,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,,CCARC,2019-03-25,107.2,,,,,,Full-time to the N6LXX System .,,,,,,,,,,,,,N6LXX,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,46.08,WNW,,08,10513,39.67340088,-105.21800232,447.875,442.875,,,,Jefferson,,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,,CCARC,2017-03-09,107.2,107.2,,,,,Full-time to the N6LXX System .,,,,,,,,,,,,,N6LXX,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,,46.46,NW,,08,185,39.88560104,-104.98699951,147.045,147.645,,,,Adams,,On-Air,,Northglenn RA,E-power.,,CCARC,2017-04-10,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,46.46,WNW,,08,103,39.5211,-105.305,1287.9,1267.9,,,,Jefferson,,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,,CCARC,2017-10-07,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,46.72,SW,,08,44,38.84000015,-105.04000092,146.97,146.37,,,,El Paso,DM78LU,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,e-power.,PPFMA Repeaters,CCARC,2019-11-11,100,,,,,,"Linkable to 448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,,,,listed on http://ppfma.org,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
