Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,EchoLink,IRLP,Coordination,Last update,Coverage,Sponsor,Web links,Downlink Tone,Grid,Affiliate,Features,Links,AllStar,Notes,Nets,Feed,YSF Digital Enabled,DG-ID,WIRES-X,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,Mixed-Mode,DMR Enabled,Color Code,Wide Network,DMR ID,On-air,Local Network,P-25 Digital Enabled,NAC,Default Reflector,IPSC Network,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Talkgroup Network,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Worldwide English,Colorado,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Wyoming,WyLOCAL,Location Photo
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,,36.33,W,,08,201,39.9172,-105.501,224.6,223,100,Gilpin,,,,CCARC,2012-11-10,,W0RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,,36.58,WNW,,08,15670,40.1727,-105.468,147.03,147.63,100,Boulder,On-Air,,,CCARC,2017-01-20,,KI0HG,,,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,,37.03,SSW,,08,80,39.5042,-105.128,146.88,146.28,100,Jefferson,On-Air,,,CCARC,2018-05-21,Wide Area,Denver Radio League,DRL Repeaters,,,,E-power.,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,Y,37.03,SSW,Node Offline,08,273,39.5042,-105.128,449.6,444.6,100,Jefferson,On-Air,690473,3345,CCARC,2014-03-04,,Denver Radio League,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,K0PRA,Parker,CO,OPEN,,D,37.58,S,,08,17292,39.4491,-104.703,445.075,440.075,,Douglas,On-Air,,,CCARC,2018-09-10,,Parker Radio Association,http://www.parkerradio.org,,,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,,Mixed Mode,Mondays 20:30 MST,,,,,,,,,,,,,,,yes,1,,310844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,,37.64,WSW,,08,9580,39.7189,-105.44,447.85,442.85,141.3,Clear Creek,Off-Air,,,CCARC,2019-08-23,Wide area at 9500',AC0KQ,,141.3,,Rocky Mountain Ham Radio,AllStar node repeater providing wide area coverage along the Front Range,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,,37.82,NNW,,08,8194,40.496,-105.079,447.725,442.725,131.8,Larimer,On-Air,,,CCARC,2018-05-13,,W7RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,39.19,N,,08,12562,40.5446,-104.944,147.39,147.99,,Larimer,On-Air,,,CCARC,2017-03-11,"Fort Collins east side, into Red Feather Lakes area.",KT0L - NoCo C-Bridge Network,Documentation,,,,,,,,Tac 310 Net: Sun at 18:00.,,,,,,,,,,,,,,,yes,2,,310822,,,,,,,"Open Talkgroup View Assignment TS TG Access TAC 310 1 310 DCI Bridge 1 3100 N. Colorado 1 3171 Mountain Reg USA 1 3177 Local/Cluster 2 2 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,,40.4,WSW,,08,95,39.7425,-105.514,449.05,444.05,107.2,Denver,On-Air,,,CCARC,2012-11-20,Wide area.,WG0N,,107.2,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,,40.46,NNW,,08,3620,40.5153,-105.147,1283.55,1263.55,100,Larimer,On-Air,,,CCARC,2013-01-01,Northern Colorado Front Range,K1TJ Repeater System,http://www.k1tj.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
