Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,EchoLink,IRLP,Coordination,Last update,Coverage,Sponsor,Web links,Downlink Tone,Grid,Affiliate,Features,Links,AllStar,Notes,Nets,Feed,YSF Digital Enabled,DG-ID,WIRES-X,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,Mixed-Mode,DMR Enabled,Color Code,Wide Network,DMR ID,On-air,Local Network,P-25 Digital Enabled,NAC,Default Reflector,IPSC Network,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Talkgroup Network,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Worldwide English,Colorado,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Wyoming,WyLOCAL,Location Photo
446.7625,-5,CC,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,D,43.37,NNW,,08,18416,40.57759857,-105.09300232,446.7625,441.7625,,Larimer,On-Air,,,,2020-02-10,,RMHAM,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,CSUARC,,,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,,,,,,,,,,,,,yes,8,,,,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,D,43.37,NNW,,08,18417,40.57759857,-105.09300232,446.7625,441.7625,,Larimer,On-Air,,,,2020-02-10,,RMHAM,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,CSUARC,,,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,,,,,,,,,,,,,yes,8,,,,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,S,43.37,NNW,,08,8901,40.5777,-105.093,446.8125,441.8125,,Larimer,On-Air,,,CCARC,2017-05-31,Fort Collins Local Area,W0QEY CSU,,,,,D-Star Gateway,,,Free Star,,,,,,,,,,,,yes,W0QEY (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,43.71,NNW,,08,124,40.5853,-105.084,449.85,444.85,100,Larimer,On-Air,,,CCARC,2012-11-16,Map,CO State Univ ARC,,100,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,43.71,NNW,,08,3592,40.5853,-105.084,927.95,902.95,100,Larimer,On-Air,,,CCARC,2019-09-01,Northern Front Range,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,CC,N0WAR,"Estes Park, Prospect Mtn",CO,OPEN,,D,45.11,NW,,08,17813,40.3606,-105.52,147.24,147.84,,Larimer,On-Air,,,,2019-05-11,Wide Area: Estes Park &amp; Rocky Mtn Nat Park,N0WAR,http://www.w0dmr.org,,,W0DMR,Brandmeister Network,,,,,,,,,,,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,,45.81,NW,ON - IDLE,08,120,40.3772,-105.521,449.8,444.8,123,Larimer,On-Air,625757,7268,CCARC,2017-08-05,,Estes Valley ARC,,,,,E-Power,"Full-time to 146.68500 (N0FH) at Estes Park, CO .",,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",ARES D-10: Thu at 19:00.,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,50.37,W,,08,15582,39.8865,-105.763,147.285,147.885,88.5,Grand,On-Air,,,CCARC,2017-01-06,,Colorado Connection,,123,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,,50.63,N,,08,8251,40.7039,-105.009,448.325,443.325,110.9,Larimer,On-Air,,,CCARC,2012-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,50.72,NNW,,08,5853,40.6111,-105.324,447.7,442.7,100,Larimer,On-Air,,,,2014-09-02,Wide Area Coverage,Northern Colorado Amateur Radio Club,http://ncarc.net/,100,,,,"Linkable to 146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO . Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Full-time to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2,-5,CC,N0SZ,"Fort Collins, Buckhorn Mountain",CO,OPEN,,D,51.15,NNW,,08,18418,40.61700058,-105.32700348,445.2,440.2,,Larimer,On-Air,,,,2019-12-28,,RMHAM,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,,,,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,,,,,,,,,,,,,yes,7,,,,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,51.15,NNW,,08,246,40.617,-105.327,146.625,146.025,100,Larimer,On-Air,,,CCARC,2017-03-11,Wide area: Northern front range.,Northern Colorado ARC,,100,,,E-power.,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,51.15,NNW,,08,3660,40.617,-105.327,224.84,223.24,100,Larimer,Off-Air,,,,2019-08-23,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY",Northern Colorado ARC,,100,,,"E-power, 25 watts.","Full-time to 447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25.9,,KI0HC,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,51.16,NNW,,08,18424,40.61669922,-105.32800293,927.875,902.025,,Larimer,On-Air,,,CCARC,2020-01-01,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",RM Ham,,,,,,Full-time to the The 900 P25 Network System .,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,,51.65,W,,08,3756,39.9473,-105.795,447.45,442.45,103.5,Grand,On-Air,,,CCARC,2013-10-26,,W0IG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,D,52.17,SSW,,08,7193,39.2648,-105.114,446.925,441.925,,Douglas,On-Air,,,CCARC,2018-12-23,,,Rocky Mountain Ham Radio,,,,,Full-time to the Colorado TRBO System .,,See the website for programming info.,,,,,,,,,,,,,,,,yes,8,,310817,,,,,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 1 719 Devilshead Local 2 711 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,,1,,,,,2,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,,52.17,SSW,,08,8190,39.2648,-105.114,447.525,442.525,146.2,Douglas,On-Air,,,CCARC,2015-06-17,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",EmComm Colorado,,146.2,,Colorado ARES,,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,,52.97,SW,,08,7,39.4056,-105.473,146.895,146.295,100,Park,On-Air,,,CCARC,2017-07-05,285,AB0RR,Park County Radio Club (PCRC),100,,,25,"Full-time internet linked to 448.57500 (WZ0N) at Hartsel, CO .",45835,,Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,D,56.97,E,,08,10783,40.2503,-103.8,448.2,443.2,,Morgan,On-Air,,,CCARC,2017-03-11,,,Rocky Mountain Ham Radio,,,NEAHR,Mixed Mode,Full-time to the Colorado TRBO System .,,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,,,,,,,,,,,,,,,yes,7,,310812,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,,,2,,,,,,,,,,,,,,
449.425,-5,103.5,WC3W,Grand Lake,CO,OPEN,A,,56.99,WNW,,08,18131,40.2392,-105.847,449.425,444.425,103.5,Clear Creek,On-Air,,,,2019-09-21,"Grand Lake, CO",,,103.5,,,,,45202,Linked to the Allstar Florida Hub,Sunday and Tuesday nights at 7 PM MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,,57.09,SSW,ON - IDLE,08,83,39.1755,-105.034,147.225,147.825,107.2,Douglas,On-Air,347086,3990,CCARC,2017-11-13,Wide area,Colorado Repeater Association (CRA),Colorado Repeater Association,107.2,,CRA VHF Link System,Closed autopatch,"Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,,"CRA Net, Sunday 9AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,,57.09,SSW,,08,16547,39.1755,-105.034,448.425,443.425,107.2,Douglas,On-Air,,,,2017-11-14,Wide area,Colorado Repeater Association (CRA),http://www.w0cra.org,107.2,,ARESDEC,,"Full-time to 147.10500 (WA0DE) at Simla, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,,57.13,SSW,,08,15903,39.1749,-105.034,449.975,444.975,100,Douglas,On-Air,,,CCARC,2017-04-21,,K0JSC,The Fun Machine,100,,The Fun Machine,Simulcast and Voted with Cedarwood and Methodist.,Full-time to the The Fun Machine System .,,"Can be linked to Allstar, Echolink and others by a Sysop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,,58.96,S,ON - IDLE,08,8740,39.136,-104.927,145.19,144.59,131.8,Douglas,On-Air,10079,,,2018-10-25,Wide area coverage at 8300,N0OBA Owner,,131.8,,,,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,D,59.56,W,,08,15899,40.0861,-105.939,446.875,441.875,,Clear Creek,On-Air,,,,2017-03-11,,,http://www.rmham.org,,,RMHAM,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,,59.56,W,,08,145,40.0861,-105.939,146.82,146.22,123,Grand,,,,CCARC,2014-09-06,,GCARA,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,N0SZ,Westcreek,CO,OPEN,,D,60.37,SSW,,08,15900,39.1525,-105.164,446.875,441.875,,Douglas,On-Air,,,CCARC,2018-01-27,,W0VG,http://www.rmham.org,,,RMHAM,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,,,,,yes,6,,310846,,,,,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,RMHAM,,2,2,2,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,,61.81,S,,08,183,39.0917,-104.872,447.725,442.725,100,El Paso,On-Air,,,CCARC,2016-12-10,Local.,K0NR,http://www.k0nr.com/wordpress/k0nr-repeater/,100,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,,,Black Forest,CO,OPEN,,SY,65.05,S,,08,17551,39.0485,-104.701,448.95,443.95,,El Paso,,,,,2019-01-08,This repeater covers most of Black Forest and various areas of Monument and Colorado Springs,N0PKT,http://www.k0jsc.com,,,K0JSC,e-power,,,,Primarily on NXDN: All Nets carried on the K0JSC.COM Fun Machine system,,yes,Open ↑ / Open ↓,,,,,,,,yes,(B) Repeater,jfindu lookup / dstar-users lookup,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,yes,1,6.25,yes,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,,65.28,SE,,08,12167,39.2267,-104.09,147.105,147.705,107.2,Elbert,On-Air,,,CCARC,2017-07-19,"I-70, E. Arapahoe, Elbert, Lincoln Counties",ARES of Douglas and Elbert Counties,http://www.w0cra.org/,107.2,,Colorado Repeater Association,Linked to CRA 447.150 - Conifer,"Full-time to 448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,,66.01,S,,08,57,39.0302,-104.799,448.8,443.8,100,El Paso,On-Air,,,CCARC,2019-09-24,I-25 corridor from Baptist Rd south to Fort Carson,Pikes Peak FM Association (http://PPFMA.ORG),PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,,66.05,S,ON - IDLE,08,13294,39.0437,-104.608,447.625,442.625,100,El Paso,On-Air,363976,7301,,2015-06-02,,KD0MDP,,100,,The Fun Machine,Linked.,Full-time to the The Fun Machine System .,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,,68.91,SE,Node Offline,08,9583,39.3703,-103.801,449.25,444.25,123,Elbert,On-Air,3349,3349,CCARC,2014-09-02,"I-70 Limon, Co area.",K0UPS Club c/o N1UPS,,123,,,Full duplex node.,,,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,,,,,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,,69.64,S,,08,249,38.9939,-105.056,145.415,144.815,179.9,Teller,,,,CCARC,2012-11-12,,MARC,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,,69.64,S,,08,252,38.9939,-105.056,449.025,444.025,141.3,Teller,,,,CCARC,2012-11-10,,Mountain Amateur Radio Club (MARC),,,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,,69.64,S,,08,250,38.9939,-105.056,146.82,146.22,107.2,Teller,On-Air,,,CCARC,2016-11-17,,Mountain ARC,,,,,E-power.,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,,69.64,S,,08,251,38.9939,-105.056,448.65,443.65,107.2,Teller,On-Air,,,CCARC,2016-11-17,,Mountain ARC (MARC),,,,MARC,E-power.,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO .",,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,,69.65,S,,08,8193,38.9939,-105.057,447.675,442.675,179.9,Teller,On-Air,,,CCARC,2014-05-22,,Mountain Amateur Radio Club (MARC),,179.9,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,,69.66,S,,08,3750,38.9938,-105.057,927.9,902.9,D205,Teller,On-Air,,,CCARC,2012-11-10,,MARC,,D205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,,69.94,S,,08,9503,38.9878,-105.044,449.325,444.325,103.5,Teller,On-Air,,,CCARC,2019-04-01,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Melbourne, Florida can be expected.",KA4EPS,http://www.ka4eps.com,103.5,,Amateur Radio Motorcycle Club,E-power. Allstar Node 27976,,27976,Node # 27976,Sunday 1900 MST Tuesday 1900 MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,CC,W1VAN,"Red Feather Lakes, Red Feather Lakes",CO,OPEN,,D,70.59,NW,,08,17821,40.8076,-105.617,447.6,442.6,,Larimer,On-Air,,,,2019-05-11,Covers Red Feather Lakes Area,W1VAN,http://www.w0dmr.org,,,W0DMR,Brandmeister Network,,,,,,,,,,,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC,N0SZ,"Breckenridge, Baldy",CO,OPEN,,D,71.48,WSW,,08,16780,39.459,-105.979,445.0875,440.0875,,Fremont,On-Air,,,,2018-02-01,,K2AD,http://www.rmham.org/,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,yes,7,,310830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,71.57,WSW,,08,24,39.4439,-105.969,147.39,147.99,88.5,Summit,On-Air,,,CCARC,2015-01-30,Wide area.,Colorado Connection,Breckenridge Repeater,123,,,12,Full-time to the Colorado Connection System .,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,N7JJY,"Cheyenne, Chalk Bluffs",WY,OPEN,,Y,72.03,N,,56,34,41.0274,-104.784,449.3,444.3,,Laramie,On-Air,,,WRCG,2019-06-02,"Laramie county wy, Northern Weld and Larimer County, CO",WU7G,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,73.44,WSW,,08,23,39.4817,-106.038,146.7,146.1,107.2,Summit,On-Air,,3972,CCARC,2013-01-07,,GRARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,Y,73.59,S,,08,13790,38.933,-104.609,447.2,442.2,,El Paso,Testing,,,,2015-11-11,"Falcon, Black Forest, Peyton Areas",GGARC,,,,Garden of the Gods Amateur Radio Club,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC,K7PFJ,"Cheyenne, South",WY,OPEN,,D,74.32,N,,56,15672,41.06,-104.88,449.9375,444.9375,,Laramie,On-Air,,,WRCG,2018-01-29,,,https://www.rmham.org/wordpress/,,,,,Full-time to the Rocky Mountain Ham System .,,,,,,,,,,,,,,,,,,yes,7,,315603,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,,,2,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,,74.45,SSW,,08,170,39.0489,-105.512,147.36,147.96,107.2,Park,On-Air,,3854,CCARC,2018-01-15,Wide area.,,CMRG Repeaters,107.2,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,,74.45,SSW,,08,169,39.0494,-105.513,146.685,146.085,107.2,Park,On-Air,,,CCARC,2016-11-17,,Mountain ARC (MARC),,107.2,,,"Closed autopatch, e-power.","Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,MARC/PCRC: Tue at 19:30.,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,,75,S,,08,15989,38.9,-104.8,224.72,223.12,103.5,El Paso,On-Air,,,,2017-04-07,Local,w0mog,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,,75.13,SSW,,08,8214,38.9797,-105.357,449.7,444.7,107.2,Park,,,,CCARC,2012-11-12,,CMRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,,78.67,N,,56,27,41.1239,-104.819,146.775,146.175,114.8,Laramie,On-Air,,,WRCG,2017-01-04,,Shy-Wy Amateur Radio Club,,,,,"E-power, WX.","Full-time to 147.16500 (KC7SNO) at Albin, WY .",,,Weather Net: Daily at 06:45. Shy-WY ARC: Sun at 07:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,,79.17,S,,08,8176,38.8397,-104.8,147.135,147.735,100,El Paso,On-Air,,,CCARC,2016-04-08,,AA0L,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,,79.27,S,,08,46,38.8381,-104.821,147.27,147.87,,El Paso,On-Air,,,,2016-08-10,,TRA,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,156.7,AD0TP,Colorado Springs,CO,OPEN,,,79.27,S,,08,42,38.8381,-104.821,146.85,146.25,156.7,El Paso,On-Air,,,CCARC,2019-02-17,,AD0TP,http://www.v7arc.com/,103.5,,Village 7 Amateur Radio Club,,,,Please email with comments/signal reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,,79.27,S,,08,43,38.8381,-104.821,146.91,146.31,151.4,El Paso,On-Air,,,CCARC,2016-08-10,,GGARC,,151.4,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,,79.27,S,,08,48,38.8381,-104.821,147.39,147.99,103.5,El Paso,On-Air,,,CCARC,2016-08-10,,W0MOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,,79.56,S,,08,8211,38.8339,-104.821,449.575,444.575,,El Paso,On-Air,,,CCARC,2016-08-10,,RMHARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
