Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,YSF Digital Enabled,DG-ID,WIRES-X,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Uplink Tone,Grid,AllStar,Nets,Web links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Central Regional,Affiliate,Notes,Downlink Tone,EchoLink,IRLP,Commands,Links,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,D-STAR Enabled,Node,Sources,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,On-air,Local Network,Northern Colorado Regional,Feed,TAC 310,TAC 311,Colorado,Colorado Chat,Southern Colorado,Eastern Colorado,Bandwidth,Devilshead Local,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Talkgroup Network,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide English,North America,Worldwide,English,REACT,CO-Park County,Wyoming,WyLOCAL
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,,72.09,N,,08,2,40.16059875,-103.21399689,145.4,144.8,,,,Washington,On-Air,Northeastern plains of Colorado.,Colorado Connection,,CCARC,2018-11-02,88.5,,,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,Part of the Colorado Connection system of repeaters,123,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,,73.24,WSW,,08,15989,38.90000153,-104.80000305,224.72,223.12,,,,El Paso,On-Air,Local,w0mog,,,2017-04-07,103.5,,,,,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9,-5,,K0PRA,Parker,CO,OPEN,W,Y,73.89,WNW,,08,18248,39.51860046,-104.76100159,446.9,441.9,yes,Open ↑ / Open ↓,40895,Arapahoe,On-Air,Small coverage area in Parker,Parker Radio Association,Linked to the Colorado Mega digital system,,2019-11-03,,,,Monday nights 8pm mountain,https://www.parkerradio.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,73.89,WNW,,08,17696,39.51860046,-104.76100159,448.05,443.05,,,,Douglas,,,,,,2019-11-27,,,,,,yes,1,310374,Brandmeister c Record retrieved from radioid.net,BrandMeister,,,,,,,,,,,,,,,,,,,,,,Unknown,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,,74.31,WSW,,08,8176,38.83969879,-104.80000305,147.135,147.735,,,,El Paso,On-Air,,AA0L,6,CCARC,2016-04-08,100,DM78OU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,,75.23,W,,08,183,39.09170151,-104.87200165,447.725,442.725,,,,El Paso,On-Air,Local.,K0NR,30,CCARC,2016-12-10,100,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,75.29,WNW,,08,5,39.6072998,-104.74099731,145.4,144.8,,,,Arapahoe,On-Air,Greater Denver area.,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,2019-03-09,100,,,,,,,,,,,,,,,,,,,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,,75.42,WSW,,08,46,38.83810043,-104.82099915,147.27,147.87,,,,El Paso,On-Air,,TRA,E-power.,,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,,75.42,WSW,,08,43,38.83810043,-104.82099915,146.91,146.31,,,,El Paso,On-Air,,GGARC,E-power.,CCARC,2016-08-10,151.4,,,,,,,,,,,,,,,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,,75.42,WSW,,08,48,38.83810043,-104.82099915,147.39,147.99,,,,El Paso,On-Air,,W0MOG,,CCARC,2016-08-10,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,,75.51,WSW,,08,8211,38.83390045,-104.82099915,449.575,444.575,,,,El Paso,On-Air,,RMHARC,,CCARC,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,,75.51,WSW,,08,8200,38.83390045,-104.82099915,448.3,443.3,,,,El Paso,On-Air,,AA0L,,CCARC,2016-08-10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,,75.51,WSW,,08,50,38.83390045,-104.82099915,447.35,442.35,,,,El Paso,On-Air,,GGARC,E-power.,CCARC,2015-03-04,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,,75.51,WSW,,08,8182,38.83390045,-104.82099915,224.06,222.46,,,,El Paso,,Wide area.,Pikes Peak FM Association (PPFMA),"E-power, linked.",CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,,75.51,WSW,,08,49,38.83390045,-104.82099915,447.025,442.025,,,,El Paso,Off-Air,,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",CCARC,2016-08-10,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,,75.51,WSW,,08,8198,38.83390045,-104.82099915,448.25,443.25,,,,El Paso,Off-Air,Colorado Springs,,,CCARC,2018-09-25,123,DM78OU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,,75.51,WSW,,08,51,38.83390045,-104.82099915,447.475,442.475,,,,El Paso,On-Air,,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,2019-11-07,107.2,,,MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,,,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,,75.51,WSW,,08,55,38.83390045,-104.82099915,448.6,443.6,,,,El Paso,,,W0MOG,,CCARC,2012-11-10,114.8,,,,,,,,,,,,,,,,,,,"Full-time to 927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,,75.51,WSW,,08,3537,38.83390045,-104.82099915,927.8,902.8,,,,Teller,On-Air,,,6,CCARC,2012-11-10,D116,,,,,,,,,,,,,,,,,,,"Full-time to 448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,,75.51,WSW,,08,8191,38.83390045,-104.82099915,447.55,442.55,,,,El Paso,On-Air,,WA6IFI,,CCARC,2015-11-13,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,76.52,WNW,,08,274,39.55799866,-104.79399872,448.7,443.7,,,,Douglas,On-Air,Local North Parker only,,,,2018-09-07,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,76.73,WNW,ON - IDLE,08,8741,39.62799835,-104.75800323,145.19,144.59,,,,Arapahoe,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,Autopatch (please contact trustee).,,2018-02-01,151.4,DM79OP,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,,,,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",131.8,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,77.1,WNW,,08,8189,39.49420166,-104.83599854,447.525,442.525,,,,Douglas,On-Air,"Denver metropolitan area, front range foothills",EmComm Colorado,,CCARC,2017-03-11,203.5,DM79NL,,,,,,,,,,,,Colorado ARES,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,,77.83,SW,,08,195,38.39250183,-104.55500031,224.26,222.66,,,,Pueblo,Off-Air,Wide area.,Pueblo Ham Club,E-power.,CCARC,2013-05-07,88.5,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,,78.09,W,ON - IDLE,08,8740,39.13600159,-104.92700195,145.19,144.59,,,,Douglas,On-Air,Wide area coverage at 8300,N0OBA Owner,,,2018-10-25,131.8,DM79MD,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,131.8,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,,78.12,WSW,,08,56,38.77999878,-104.84999847,448.725,443.725,,,,El Paso,On-Air,,KA0TTF,,CCARC,2016-04-19,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,Y,78.6,S,,08,167,37.99950027,-103.52899933,147.36,147.96,yes,Open ↑ / Open ↓,11360,Otero,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,E-power,,2018-09-30,,DM87FX,,,,,,,,,,,,KC0ITF,Digital Wires-X,123,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,D,78.96,NNW,,08,10783,40.25030136,-103.80000305,448.2,443.2,,,,Morgan,On-Air,,,Mixed Mode,CCARC,2019-11-27,,,,,Rocky Mountain Ham Radio,yes,7,310812,RMHR c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,NEAHR,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,,,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,W0PHC,"Pueblo, Baculite Mesa",CO,OPEN,,,79.42,SW,,08,193,38.36240005,-104.55999756,146.79,146.19,,,,Pueblo,On-Air,Wide area.,Pueblo Amateur Radio Club,E-power.,CCARC,2019-12-10,88.5,DM78ri,,,Pueblo Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,CC 88.5,W0PHC,Pueblo,CO,OPEN,,D,79.42,SW,,08,198,38.36240005,-104.55999756,447.95,442.95,,,,Pueblo,On-Air,Wide area.,Pueblo Amateur Radio Club,E-power.,CCARC,2019-12-10,88.5,DM78ri,,,Pueblo Amateur Radio Club,yes,0,,c Record retrieved from radioid.net,,,,,,Dual Mode Analog/DMR,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,79.54,WSW,,08,37,38.74520111,-104.86199951,145.13,144.53,,,,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,9,CCARC,2019-11-11,88.5,,,Colorado Traffic Net: Daily at 19:00. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00. Colorado Preparedness Net: Sat at 09:30,,,,,,,,,,,Linked into the Colorado Connection System,123,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,79.54,WSW,,08,8087,38.74509811,-104.86199951,446.9125,441.9125,,,,El Paso,Off-Air,,Cheyenne Mountain Repeater Group (CMRG),,,2019-12-28,,,,,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,yes,KC0CVU (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,79.54,WSW,,08,7171,38.74499893,-104.86199951,927.85,902.85,,,,Teller,On-Air,,CMRG,9,CCARC,2017-03-09,D114,DM78NR,,,http://www.cmrg.org,,,,,,,,,,,,,,,"Full-time to 147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,D,79.54,WSW,"Welcome to The RMHAM DMR Machine, located on Cheyenne Mountain above Colorado Springs This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 and 3740 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,310895,311,312,31200,31203,313,31327,314,3140,31400,31408,3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",08,12355,38.74509811,-104.86199951,445.0625,440.0625,,,,El Paso,On-Air,,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio Brandmeister Sites,CCARC,2019-11-27,,,,,,yes,1,310857,RMHAM c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access TAC 310 2 310 PTT TAC 311 2 311 PTT Colorado 2 3108 Full-Time Colorado Chat 2 31080 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,N0SZ Colorado Springs Brandmeister,"This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,311,312,31200,31203,313,31327,314,3140,31400,31408, 3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,79.54,WSW,,08,8158,38.74499893,-104.86199951,53.13,51.43,,,,El Paso,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,CCARC,2017-03-09,107.2,DM78NR,,,http://www.cmrg.org,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
