Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Coordination,Last update,Coverage,Web links,Links,Nets,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate,Notes,Features,Grid,IPSC Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,EchoLink,AllStar,On-air,IRLP,Commands,Bandwidth,Mixed-Mode,P-25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,Location Photo,Feed,Central Regional,Northern Colorado Regional,Eastern Colorado,TAC 311,Colorado,Colorado Chat
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,,17.54,SE,,08,8177,37.115,-107.633,147.15,147.75,100,,La Plata,On-Air,,CCARC,2018-01-16,Bayfield,http://www.sjcham.com,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,,20.53,W,,08,8168,37.32600021,-108.2480011,145.325,144.725,100,,Montezuma,On-Air,,CCARC,2018-01-15,Wide area.,http://www.sjcham.com,,,,,,,,Full time to the San Juan Connection,E-power.,DM57VH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,,22.54,S,,35,16667,36.95,-107.85,147.06,147.66,100,,San Juan,On-Air,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,D,22.99,WNW,,08,15895,37.34500122,-108.28900146,446.7375,441.7375,,,Montezuma,On-Air,RMHAM,CCARC,2019-11-27,,http://www.rmham.org,,,yes,6,310826,yes,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,RMHR c Record retrieved from radioid.net,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 1 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,,29.57,N,,08,208,37.6992,-107.806,147.27,147.87,127.3,,San Juan,On-Air,KB5ITT,CCARC,2017-04-14,Wide area.,,,,,,,,Durango ARC,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,,31.91,S,,35,44,36.82220078,-107.99199677,447.45,442.45,107.2,,San Juan,On-Air,KB5ITS,NMFCC,2017-07-19,,,,,,,,,,,"E-power, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,,31.91,S,,35,43,36.8222,-107.992,146.74,146.14,100,,San Juan,On-Air,Totah ARC,NMFCC,2017-07-19,,,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,,31.92,SSW,,35,15629,36.8222,-107.993,146.88,146.28,100,,San Juan,On-Air,,NMFCC,2018-01-15,,http://www.sjcham.com,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC,N5UBJ,Aztec,NM,OPEN,,D,31.92,SSW,2,35,12413,36.8222,-107.993,442.25,447.25,,,San Juan,On-Air,,NMFCC,2018-01-21,,http://www.aztrbonet.com/MinimalNetwatch,,,yes,1,313502,yes,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 PTT North America 1 3 PTT English 1 13 Full-Time 2 Full-Time Europe 2 2 Full-Time TAC 310 2 310 PTT DCI Bridge 2 3100 PTT Southwest USA 2 3176 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,KB5ITS,"Aztec, Hottel Hill",NM,OPEN,,,33.1,SSW,,35,18461,36.80630112,-108.0019989,146.61,146.01,100,,Taos,On-Air,San Juan Connection,,2020-01-13,,http://www.sjcham.com,,,,,,,,Linked to San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,S,34.58,S,,35,16280,36.7823,-107.988,1291.1,1271.1,,,San Juan,On-Air,San Juan County,NMFCC,2019-05-12,,,,,,,,,,,DV only,,,,,,,,,,,,,,yes,KF5VBE (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,S,34.64,S,,35,11428,36.7817,-107.99,145.115,144.515,,,San Juan,On-Air,,,2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,,35.84,SSE,,35,15644,36.8,-107.62,147.36,147.96,100,,San Juan,On-Air,,NMFCC,2018-01-15,,http://www.sjcham.com,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Cortez, Goodman",CO,OPEN,,,36.96,WNW,,08,16606,37.4739,-108.505,145.19,144.59,100,,Montezuma,On-Air,,CCARC,2018-01-15,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,,36.96,WNW,,08,16623,37.4739,-108.505,447.275,442.275,100,,Montezuma,On-Air,,,2017-12-07,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,,38.34,NNE,,08,209,37.79330063,-107.6289978,147.375,147.975,156.7,,San Juan,On-Air,,CCARC,2018-01-15,Wide area.,http://www.sjcham.com,"Part-time to 146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,,13,DM67ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,,38.9,NNE,,08,16605,37.8119,-107.665,145.325,144.725,127.3,,San Juan,On-Air,,CCARC,2018-01-15,,http://www.sjcham.com,,,,,,,,,Solar powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,,38.9,NNE,,08,16624,37.8119,-107.665,444,449,67,,San Juan,On-Air,,,2018-08-03,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,,38.92,NNE,,08,210,37.81190109,-107.66400146,447.525,442.525,127.3,,San Juan,On-Air,KB5ITS,CCARC,2014-06-30,Wide area.,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,,39.08,W,Node Offline,08,61,37.3489,-108.585,146.79,146.19,127.3,127.3,Montezuma,On-Air,KD5LWU,CCARC,2015-04-30,,,,4,,,,,,,,,,,,,,,,,,,,,,,,24336,29317,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,,39.08,W,Node Offline,08,62,37.34889984,-108.58499908,449.175,444.175,127.3,,Montezuma,Off-Air,KD5LWU,CCARC,2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,,39.41,S,,35,50,36.7111,-107.984,146.92,146.32,100,,San Juan,On-Air,San Juan County OEM,NMFCC,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,,39.41,S,,35,16636,36.7111,-107.985,448.65,443.65,127.3,,San Juan,On-Air,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,,42.16,SSW,,35,85,36.7281,-108.218,146.85,146.25,100,100,San Juan,On-Air,Totah ARC,NMFCC,,,,,,,,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,,42.16,SSW,,35,87,36.7281,-108.218,449,444,100,,San Juan,,K5WY,NMFCC,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,,42.16,SSW,,35,81,36.7281,-108.218,53.01,52.01,131.8,,San Juan,On-Air,KB5ITS,NMFCC,2017-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,,42.16,SSW,,35,84,36.7281,-108.218,146.76,146.16,100,100,San Juan,On-Air,,NMFCC,2018-01-15,,http://www.sjcham.com,Full-time to the San Juan Connection System .,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,"Farmington, College Hill",NM,OPEN,,,42.16,SSW,,35,86,36.7281,-108.218,147,147.6,100,,San Juan,On-Air,,NMFCC,2017-11-30,,,,,,,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,S,42.18,SSW,,35,15650,36.7281,-108.219,444.15,449.15,,,San Juan,On-Air,San Juan County,,2018-02-02,,,,,,,,,,,DV only,,,,,,,,,,,,,,yes,KF5VBF (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,
442.325,5,CC,N5UBJ,Farmington,NM,OPEN,,D,42.18,SSW,2,35,12412,36.7281,-108.219,442.325,447.325,,,San Juan,On-Air,,NMFCC,2018-01-19,,http://www.aztrbonet.com/MinimalNetwatch,,,yes,1,313501,yes,,,AZ-TRBONET,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 PTT North America 1 3 PTT English 1 13 Full-Time 2 Full-Time Europe 2 2 Full-Time TAC 310 2 310 PTT DCI Bridge 2 3100 PTT Southwest USA 2 3176 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,,43.29,ESE,,08,188,37.193,-107.1,146.61,146.01,123,,Archuleta,On-Air,,CCARC,2018-01-15,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,S,43.49,S,,35,11429,36.65,-107.791,1292.3,1272.3,,,San Juan,On-Air,San Juan County,NMFCC,2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBD (A) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,S,43.58,SSW,,35,16279,36.7083,-108.226,1291.7,1271.7,,,San Juan,On-Air,San Juan County,NMFCC,2018-02-02,,,,,,,,,,,DV only,,,,,,,,,,,,,,yes,KF5VBF (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,,46.13,S,,35,49,36.61,-107.81,147.1,147.7,100,,San Juan,On-Air,San Juan connection,NMFCC,2018-01-15,,http://www.sjcham.com,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,,46.38,S,,35,51,36.6067,-107.805,147.28,147.88,67,,San Juan,On-Air,,NMFCC,2018-01-07,Wide area.,,Full-time to the Mega-Link System .,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,,49.71,N,,08,254,37.991,-107.972,449.7,444.7,107.2,107.2,San Miguel,On-Air,Grand Mesa Repeater Association ( GMRA ),CCARC,2017-12-07,Wide Area via links - Western Colorado - Eastern Utah,,Full-time to the GMRA Open System .,RACES: Wed at 19:30.,,,,,,Closed IRLP out - Ask for a control Op,E-power.,,,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,,52.9,NNE,,08,16604,38.02280045,-107.67099762,147.27,147.87,127.3,,Ouray,On-Air,,CCARC,2018-01-15,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,,53.99,SE,,35,15624,36.9336,-106.999,145.43,144.83,136.5,,Rio Arriba,On-Air,SJC EMCOMM,NMFCC,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,57.66,NE,,08,14923,37.7933,-107.055,449.525,444.525,100,100,Mineral,On-Air,N0PKT,,2017-01-06,,,Full-time to the The Fun Machine System .,,,,,,The Fun Machine,,,DM67lt,,,,,,,,,,,,,,,,,43265,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,,60.62,NNE,,08,16607,38.03,-107.315,147.135,146.535,123,,Hinsdale,On-Air,,CCARC,2018-01-15,,http://www.sjcham.com,,,,,,,,,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.8,-5,CC,AD0RM,"Ridgway, On top of Log Hill",CO,OPEN,,D,62.71,N,,08,17998,38.18,-107.79,447.8,442.8,,,Ouray,On-Air,AD0RM,,2019-08-17,Montrose to Ouray,,,,yes,1,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,65.6,NE,,08,63,37.8492,-106.926,146.925,146.325,,,Mineral,Off-Air,Creede ARC,CCARC,2012-11-12,,,,,,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,,74.12,SSE,,35,128,36.23329926,-107.56199646,145.49,144.89,100,,Rio Arriba,On-Air,Totah ARC,NMFCC,2017-01-16,,,,,,,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,,75.97,SE,,35,15079,36.90999985,-106.58000183,147.08,147.68,162.2,,Rio Arriba,On-Air,SFARC,NMFCC,2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,77.67,N,,08,15213,38.38750076,-107.6740036,448.65,443.65,,151.4,Montrose,On-Air,KB0YNA,,2016-10-11,Wide area.,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,77.67,N,,08,69,38.3875,-107.674,447.2,442.2,107.2,107.2,Montrose,On-Air,,CCARC,2018-01-15,Delta/Montrose,GMRA Repeaters,Full-time to the GMRA Open System .,RACES Net Wed at 1930 Hrs.,,,,,Grand Mesa Repeater Assoc,Closed IRLP out - Ask for a control op,9,,,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,
448.825,-5,100,KB5ITS,"Montrose, Raspberry",CO,OPEN,,,78.94,N,,08,18465,38.41740036,-107.84600067,448.825,443.825,100,,Montrose,On-Air,San Juan Connection,,2020-01-17,"Nucla, Uncompahgre Plateau, coverage into Montrose and ?West End?",http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,83.12,N,,08,12442,38.4783,-107.876,146.91,146.31,107.2,107.2,Montrose,On-Air,,CCARC,2014-12-13,,,,,,,,,,,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,83.12,N,,08,7953,38.4783,-107.876,146.79,146.19,107.2,107.2,Montrose,On-Air,KC0UXX,CCARC,2012-09-06,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,100,KB5ITS,"Lukachukai, Roof Butte",AZ,OPEN,,,87.64,SW,,04,163,36.4614,-109.096,145.25,144.65,100,,Apache,On-Air,San Juan Connection,ARCA,2018-10-17,,,Full-time to the San Juan Connection System .,,,,,,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,100,NM5SJ,"Red Rock, Roof Butte",AZ,OPEN,,,87.64,SW,,04,72,36.4614,-109.096,146.82,146.22,100,,Apache,On-Air,Totah ARC,ARCA,2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,,K7QEQ,"Monticello, Abajo Pk",UT,CLOSED,,,95.01,WNW,,49,49,37.8392,-109.462,223.94,222.34,,,San Juan,,Grand Mesa Rptr Assoc,UVHFS,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",,,,,,,,,,11,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
447.1,-5,107.2,K7QEQ,"Monticello, Abajo Peak",UT,OPEN,,,95.01,WNW,,49,124,37.8392,-109.462,447.1,442.1,107.2,107.2,San Juan,On-Air,Grand Mesa Repeater Association (GMRA),UVHFS,2017-04-07,Wide area.,http://gmra.org,Full-time to the GMRA Open System .,,,,,,,11,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,,K7QEQ,"Monticello, Abajo Peak",UT,CLOSED,,,95.01,WNW,,49,50,37.8392,-109.462,447.4,442.4,,,San Juan,,,UVHFS,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",,,,,,,,Cactus-Intertie,,11,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,,95.01,WNW,ON - IDLE,49,60,37.8392,-109.462,146.61,146.01,88.5,,San Juan,On-Air,Sinbad Desert ARC,UVHFS,2017-04-07,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",http://www.sdarc.us/repeaters/abajo.html,,,,,,,,11.36,Remote base.,,,,,,,,,,,,,,,,,64264,,,3270,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Monticello, Abajo Peak",UT,OPEN,,,95.07,WNW,,49,18460,37.83940125,-109.46299744,447.275,442.275,100,,Wayne,On-Air,San Juan Connection,,2020-01-13,,http://www.sjcham.com,Full-time to the SAN JUAN CONNECTION System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,94.8,K0SLV,Monte Vista,CO,OPEN,,,98.35,E,,08,18580,37.58418274,-106.13030243,449.625,444.625,94.8,,Rio Grande,On-Air,S.A.R.A.,,2020-03-11,,http://K0SLV.COM,,,,,,,,,Emergency Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,,99.16,NNW,,08,127,38.5767,-108.647,449.4,444.4,131.8,131.8,Mesa,On-Air,"WA4HND, Grand Mesa Repeater Association",CCARC,2016-08-19,Wide area via links - Western Colorado - Eastern Utah,http://www.gmra.org,Full-time to the GMRA Open System .,RACES Wed 1930 Hrs,,,,,,Closed IRLP out - Ask for a control op,E-power.,,,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Cuba, Eureka Mesa",NM,OPEN,,,100.55,SSE,,35,15615,36.02220154,-106.95800018,145.175,144.575,141.3,,Sandoval,Off-Air,NMEMA ARC,NMFCC,2017-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,102.06,NNE,,08,161,38.5458,-106.925,449.95,444.95,,,Gunnison,,K5GF,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,102.06,NNE,,08,160,38.5458,-106.925,147.12,147.72,,,Gunnison,On-Air,W0VTL,CCARC,2014-09-01,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,,102.15,E,,08,16645,37.75,-106.115,447.1,442.1,77,,Saguache,On-Air,,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,,102.52,E,,08,14200,37.7531,-106.109,146.64,146.04,77,77,Rio Grande,On-Air,,,2016-12-25,Low level local coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,28781,,,,,,,,,,,,,,,,,,
