Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Coordination,Last update,Coverage,Web links,Links,Nets,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate,Notes,Features,Grid,IPSC Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,EchoLink,AllStar,On-air,IRLP,Commands,Bandwidth,Mixed-Mode,P-25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,Location Photo,Feed,Central Regional,Northern Colorado Regional,Eastern Colorado,TAC 311,Colorado,Colorado Chat
449.85,-5,100,K0EP,Durango,CO,OPEN,,,0,SE,,08,11546,37.27529907,-107.87999725,449.85,444.85,100,100,La Plata,On-Air,DARC,CCARC,2018-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,,0.06,ESE,,08,115,37.2753,-107.879,448.625,443.625,131.8,131.8,La Plata,On-Air,KC5EVE,CCARC,2018-09-26,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,,1.69,WSW,,08,11545,37.2622,-107.906,147.135,147.735,100,100,La Plata,On-Air,,CCARC,2018-01-15,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,,8.08,NE,,08,114,37.35,-107.767,147.345,147.945,88.5,123,La Plata,On-Air,Colorado Connection,CCARC,2016-06-20,Durango and north towards Molas Divide.,,Full-time to the Colorado Connection System .,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,D,8.2,NE,,08,16782,37.3669,-107.785,445.1375,440.1375,,,La Plata,On-Air,K2AD,CCARC,2018-09-27,,http://www.rmham.org/,,,yes,7,310854,yes,Rocky Mountain Ham Radio,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,,8.31,WNW,,08,8169,37.3,-108.028,145.37,144.77,100,100,La Plata,On-Air,,CCARC,2018-01-15,,http://www.sjcham.com,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,,9.31,NE,,08,116,37.3828,-107.778,146.7,146.1,100,100,La Plata,On-Air,Durango ARC,CCARC,2018-01-16,Local.,http://durangoarc.org/,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,,12.09,NW,,08,113,37.41529846,-108.01200104,146.67,146.07,100,100,La Plata,On-Air,Durango ARC,CCARC,2019-04-01,Wide area.,DARC Repeaters,"Part-time to 147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,,,,,,Linked active in the summer months only.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,,15.95,WNW,,08,15896,37.36,-108.15,442.375,447.375,100,,Montezuma,On-Air,San Juan Connection,,2017-11-30,,,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,,KB5ITS,"Mancos, Caviness",CO,OPEN,,,15.97,WNW,,08,18459,37.36460114,-108.14800262,145.325,144.725,,,Montezuma,On-Air,San Juan Connection,,2020-01-12,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
