Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Links,Last update,Coverage,Features,Nets,Web links,Coordination,Notes,Grid,Affiliate,On-air,DMR Enabled,Color Code,Wide Network,AllStar,YSF Digital Enabled,DG-ID,Mixed-Mode,EchoLink,DMR ID,IPSC Network,IRLP,Commands,P-25 Digital Enabled,NAC,Default Reflector,Local Network,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,D-STAR Enabled,Node,Sources,Worldwide,English,TAC 310,Southern Colorado,Central Regional,Feed,Wyoming,WyLOCAL,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Mountain Reg USA,Bandwidth,WIRES-X,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,60.66,SSE,,08,241,39.6554,-106.457,147.345,147.945,88.5,123,Eagle,On-Air,Colorado Connection,Full-time to the Colorado Connection System .,2017-01-06,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass. Map,9,Central Colorado Traffic Net: Daily at 19:3030 Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES net: Sun at 20:00.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,146.2,N7UW,"Laramie, Jelm Mountain",WY,OPEN,E,Y,61.56,NE,Node Offline,56,15436,41.09719849,-105.97699738,147.015,147.615,146.2,,Albany,On-Air,"Albany County ARES/RACES, University Amateur Radio",,2017-02-24,Albany County,,,http://www.uwyo.edu/uarc/,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,82070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,N0SZ,Vail,CO,OPEN,,D,62.17,SSE,,08,16781,39.6348,-106.447,445.075,440.075,,,Eagle,On-Air,K2AD,,2018-02-01,,,,http://www.rmham.org/,CCARC,,,Rocky Mountain Ham Radio,,yes,7,,,,,,,310851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,63.19,SSE,,08,242,39.6403,-106.374,224.8,223.2,,,Eagle,Off-Air,ECHO,,2018-06-02,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,63.19,SSE,,08,243,39.6403,-106.374,449.9,444.9,107.2,107.2,Eagle,Off-Air,ECHO,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,,65.74,SSE,,08,256,39.6061,-106.356,146.61,146.01,107.2,,Eagle,On-Air,ECHO,,2012-11-10,,11,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,,66.14,SE,,08,3756,39.9473,-105.795,447.45,442.45,103.5,,Grand,On-Air,W0IG,,2013-10-26,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,CC,W1VAN,"Red Feather Lakes, Red Feather Lakes",CO,OPEN,,D,67.49,E,Static Talkgroups: 3171 - N. Colorado - Slot 2 31083 - CO Severe WX - Slot 1,08,17821,40.80759811,-105.61699677,447.6,442.6,,,Larimer,On-Air,W1VAN,,2019-11-27,Covers Red Feather Lakes Area,Brandmeister Network,,http://www.w0dmr.org,,,,W0DMR,,yes,2,,,,,,,310869,brandmeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,,69.35,ESE,ON - IDLE,08,120,40.37720108,-105.52100372,449.8,444.8,123,,Larimer,On-Air,Estes Valley ARC,"Full-time to 146.68500 (N0FH) at Estes Park, CO .",2017-08-05,,E-Power,ARES D-10: Thu at 19:00.,,CCARC,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,,,,,,,,,,625757,,,7268,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,CC,N0WAR,"Estes Park, Prospect Mtn",CO,OPEN,,D,69.55,ESE,"DMR BrandMeister Repeater in Estes Park, Colorado Wide area coverage of Estes Park, Colorado &amp; Rocky Mountain National Park. Static TG of 3171 on T.S. 2 Located @ KC0KBP QTH",08,17813,40.36059952,-105.51999664,147.24,147.84,,,Larimer,On-Air,N0WAR,,2019-11-27,Wide Area: Estes Park &amp; Rocky Mtn Nat Park,Brandmeister Network,,http://www.w0dmr.org,,,DN70FI,W0DMR,,yes,2,,,,,,,310853,Brandmeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,,69.62,SSW,Node Offline,08,131,39.5506,-107.324,147.3,147.9,107.2,,Garfield,Off-Air,Roaring Fork Amateur Repeater Cooperative,,2012-11-10,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",8,,,CCARC,Single beep courtesy tone when linked and none when unlinked.,,,,,,,,,,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,,69.64,SSW,,08,8181,39.55049896,-107.32499695,224.02,222.42,,,Garfield,,SCARC,,2012-11-12,,,,,CCARC,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,,69.64,SSW,,08,8192,39.5505,-107.325,447.6,442.6,,,Garfield,,Ski Country ARC (SCARC),"Full-time to 146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",2012-11-12,40,50,,,CCARC,Link Hub for 146.880.,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,,69.64,SSW,,08,13637,39.55049896,-107.32499695,449.85,444.85,131.8,131.8,Garfield,On-Air,,Full-time to the GMRA Open System .,2018-01-15,Glenwood Springs,e-power Linked to GMRA Open System,Colorado State RACES Wed 1930 local,http://GMRA.org,CCARC,RACES net Wed 1930 Hrs Local,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,69.96,SE,,08,15582,39.8865,-105.763,147.285,147.885,88.5,123,Grand,On-Air,Colorado Connection,Full-time to the Colorado Connection System .,2017-01-06,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,,73.15,ESE,ON - IDLE,08,119,40.36009979,-105.4509964,146.685,146.085,123,,Larimer,On-Air,Estes Valley ARC,"Full-time to 449.80000 (N0FH) at Estes Park, CO .",2017-08-05,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),E-power.,ARES D-10: Thu at 19:00.,,CCARC,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",DN70GI,,,,,,,,,,625757,,,7268,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,74.6,S,ON - IDLE,08,6009,39.4247,-107.097,447.15,442.15,136.5,,Garfield,On-Air,,,2011-08-01,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,,,,,,,,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,,75.02,SE,,08,15670,40.1727,-105.468,147.03,147.63,100,,Boulder,On-Air,KI0HG,,2017-01-20,,,,,CCARC,,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,78.69,SSW,,08,129,39.4264,-107.38,146.85,146.25,88.5,123,Garfield,On-Air,Colorado Connection,,2016-05-23,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",70,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,CCARC,Part of the Colorado Connection System of Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,78.69,SSW,,08,130,39.42639923,-107.37999725,146.88,146.28,107.2,,Garfield,On-Air,Ski Country ARC,"Full-time to 447.60000 (KI0G) at Glenwood Springs, CO .",2012-11-10,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,78.69,SSW,,08,132,39.4264,-107.38,447.1,442.1,107.2,,Garfield,On-Air,Ski Country ARC,,2012-11-10,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,78.69,SSW,,08,255,39.4264,-107.38,449.6,444.6,107.2,,Garfield,On-Air,,,2018-01-15,Wide area.,e-power Linked to GMRA open system,,http://www.gmra.org,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,,79.22,SSW,,08,35,39.4,-107.315,449.725,444.725,179.9,,Garfield,On-Air,Roaring Fork Amateur Repeater Cooperative (RFARC),,2012-11-10,Wide area.,EchoLink.,,,CCARC,,,,,,,,28434,,,,,,,3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,79.22,SSW,,08,259,39.4,-107.315,147.39,147.99,107.2,,Garfield,On-Air,Roaring Fork Amateur Repeater Cooperative,,2016-07-14,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25.9,,KI0HC,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,79.49,ESE,,08,18424,40.61669922,-105.32800293,927.875,902.025,,,Larimer,On-Air,RM Ham,Full-time to the The 900 P25 Network System .,2020-01-01,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,CCARC,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2,-5,CC,N0SZ,"Fort Collins, Buckhorn Mountain",CO,OPEN,,D,79.54,ESE,,08,18418,40.61700058,-105.32700348,445.2,440.2,,,Larimer,On-Air,RMHAM,,2019-12-28,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,,,,yes,7,,,,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,79.54,ESE,,08,246,40.61700058,-105.32700348,146.625,146.025,100,100,Larimer,On-Air,Northern Colorado ARC,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",2017-03-11,Wide area: Northern front range.,E-power.,,,CCARC,,DN70IO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,79.54,ESE,,08,3660,40.61700058,-105.32700348,224.84,223.24,100,100,Larimer,Off-Air,Northern Colorado ARC,"Full-time to 447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",2019-08-23,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY","E-power, 25 watts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,79.65,ESE,,08,5853,40.61109924,-105.3239975,447.7,442.7,100,100,Larimer,On-Air,Northern Colorado Amateur Radio Club,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO . Full-time to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",2014-09-02,Wide Area Coverage,,,http://ncarc.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,,80.43,SE,,08,13368,40.0633,-105.41,146.91,147.51,123,127.3,Boulder,On-Air,,,2017-04-09,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,"Summer Tue at 19:30P, Winter 19:00.",http://goldhilltown.com/,,There is a MOU With BCARES for repeater use.,,"Town of Gold Hill, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,,80.46,SE,,08,201,39.9172,-105.501,224.6,223,100,,Gilpin,,W0RM,,2012-11-10,,,,,CCARC,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,100,N7GCR,"Rawlins, Elk Mountain",WY,OPEN,,,80.93,NNE,,56,29,41.63330078,-106.52600098,147.24,147.84,100,,Carbon,On-Air,CCARS,,2017-01-04,Wide area.,,,,WRCG,,DN61RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,81.07,SSE,,08,23,39.4817,-106.038,146.7,146.1,107.2,,Summit,On-Air,GRARC,,2013-01-07,,E-power.,,,CCARC,,,,,,,,,,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,82.97,SE,,08,8992,40.07220078,-105.35399628,445.05,440.05,,,Boulder,On-Air,Rocky Mountain Ham Radio,,2019-11-27,Wide area,BrandMeister Network,,,CCARC,,,,,yes,1,BrandMeister,,,,,,310852,RMHR c Record retrieved from radioid.net,,,,,,BrandMeister US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,82.97,SE,,08,5219,40.07220078,-105.35399628,446.9875,441.9875,,,Boulder,On-Air,Rocky Mountain Ham Radio,"Full-time to 446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO . Full-time to the Colorado TRBO System .",2019-11-27,,Linked on Time Slot 2 to Almagre Mtn (446.950).,,,,,,,,yes,7,,,,,,,310813,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,,82.97,SE,,08,19,40.07220078,-105.35399628,447.75,442.75,141.3,141.3,Boulder,On-Air,Rocky Mountain Ham Radio,,2018-04-24,,,,,CCARC,,,,,,,,,,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,,82.97,SE,ON - IDLE,08,8,40.07220078,-105.35399628,145.46,144.86,107.2,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),"Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",2017-11-13,Boulder/Denver Metro,"Closed autopatch, e-power.",,,CCARC,,,CRA VHF Link System,,,,,,,,,347086,,,3990,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,,82.97,SE,,08,20,40.07220078,-105.35399628,447.975,442.975,107.2,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),,2016-09-08,Wide area: Boulder/Longmont area.,Closed autopatch.,,,CCARC,,DN70HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,,82.97,SE,ON - IDLE,08,18,40.07220078,-105.35399628,224.02,222.42,,,Boulder,On-Air,Rocky Mtn VHF Soc,"Full-time to 449.55000 (W0IA) at Boulder, CO .",2017-03-11,Denver metro area.,8,,RMVHS repeaters,CCARC,,DN70HB,,,,,,,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC,N0SZ,"Breckenridge, Baldy",CO,OPEN,,D,84.06,SSE,,08,16780,39.459,-105.979,445.0875,440.0875,,,Fremont,On-Air,K2AD,,2018-02-01,,,,http://www.rmham.org/,,,,Rocky Mountain Ham Radio,,yes,7,,,,,,,310830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,,84.93,SE,,08,72,39.8875,-105.426,145.31,144.71,88.5,123,Gilpin,On-Air,Colorado Connection,Full-time to the Colorado Connection System .,2019-08-15,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",10,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,CCARC,"Split tone. The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,,84.93,SE,,08,97,39.8875,-105.426,449.225,444.225,141.3,141.3,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),,2015-11-03,Wide area.,Emergency Power,,,CCARC,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,85.23,SSE,,08,24,39.4439,-105.969,147.39,147.99,88.5,123,Summit,On-Air,Colorado Connection,Full-time to the Colorado Connection System .,2015-01-30,Wide area.,12,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,Breckenridge Repeater,CCARC,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,,85.74,SW,Node Offline,08,200,39.4745,-107.772,146.76,146.16,107.2,,Garfield,Off-Air,"N0SWE, Roaring Fork Amateur Repeater Cooperative",,2015-06-03,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",E-power.,,,CCARC,,DM69cl,,,,,,,,,,243117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,,86.03,ESE,ON - IDLE,08,123,40.53969955,-105.19599915,145.115,144.515,100,100,Larimer,On-Air,Northern Colorado ARC,,2016-10-25,Wide area.,7,,,CCARC,,DN70JM,,,,,,,,,,4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
