Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Links,Nets,Coordination,Last update,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate,Web links,EchoLink,Notes,On-air,IRLP,AllStar,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,Grid,Rocky Mountain Wide,Commands,Feed,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,IPSC Network,Local Network,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Devilshead Local,WIRES-X,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,Worldwide,English,TAC 310,Bandwidth,Eastern Colorado,Mountain Reg USA,Location Photo,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,TAC 311,Colorado Chat,Wyoming,WyLOCAL
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,71.08,ESE,,08,99,39.6794,-105.493,449.45,444.45,103.5,127.3,Clear Creek,On-Air,"Wide area: West to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mountain Radio League,11,,RMRL: Mon at 20:30.,CCARC,2016-12-23,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,D,71.08,ESE,,08,7190,39.6798,-105.493,446.9375,441.9375,,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,,Full-time to the Colorado TRBO System .,,CCARC,2017-01-13,yes,7,,,,Rocky Mountain Ham Radio,,See the website for programming information.,,,,RMHAM,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,,71.08,ESE,,08,8197,39.6797,-105.493,448.225,443.225,141.3,141.3,Clear Creek,On-Air,,Rocky Mountain Ham Radio,E-power(gen).,,,CCARC,2016-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,,71.08,ESE,,08,81,39.6798,-105.493,146.94,146.34,103.5,103.5,Clear Creek,On-Air,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mtn Radio League,11,"Linkable to 449.82500 (W0WYX) at Broomfield, CO . Linkable to 449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,CCARC,2017-03-11,,,,,,Repeater,,,,,,,,,,,,,Autopatch: 911* / Off 0*.,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,,71.13,ESE,,08,78,39.6794,-105.492,146.67,146.07,100,100,Clear Creek,On-Air,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",Castle Rock Repeater Group,11,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,CCARC,2016-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,,71.13,ESE,,08,107,39.6794,-105.492,145.145,144.545,107.2,107.2,Clear Creek,On-Air,Wide area. Denver metro.,Colorado Repeater Assoc,E-power.,,,CCARC,2018-07-23,,,,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,,71.13,ESE,Node Offline,08,264,39.6794,-105.492,447.575,442.575,107.2,107.2,Clear Creek,On-Air,Wide area: Denver metro.,Colorado Repeater Association (CRA),,,,CCARC,2017-11-13,,,,,,http://www.w0cra.org,347088,,,3291,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,,71.13,ESE,,08,76,39.6794,-105.492,145.49,144.89,100,100,Jefferson,On-Air,,"KB0VIU, Denver Radio Club",E-power.,"Full-time to 448.62500 (W0TX) at Golden, Centennial Cone, CO .",DRC: Sun at 20:30.,CCARC,2017-03-11,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,,71.13,ESE,ON - IDLE,08,98,39.6794,-105.492,449.35,444.35,100,100,Clear Creek,On-Air,Wide area.,Denver Radio Club,11,,,CCARC,2017-03-11,,,,,,DRC Repeaters,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,,71.34,ESE,,08,94,39.6774,-105.488,448.675,443.675,100,100,Denver,On-Air,Wide area.,W0CFI,,,,CCARC,2015-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,,71.4,ESE,,08,84,39.6781,-105.487,147.3,147.9,103.5,103.5,Clear Creek,On-Air,Wide area.,Denver PD EEB,,,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,,71.71,SE,,08,9840,38.88330078,-105.93299866,448.575,443.575,103.5,103.5,Park,Off-Air,Western Park County,,,"Full-time internet linked to 146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,CCARC,2017-11-22,,,,,,,,,,,,,,,,,DM78AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,71.76,ESE,,08,8250,39.6732,-105.48,449,444,136.5,136.5,Clear Creek,On-Air,,CARN,,,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,71.77,SW,,08,149,39.06669998,-107.93599701,145.355,144.755,88.5,123,Mesa,On-Air,"Rifle to the east, several miles east of Green River, Utah to the west.",Colorado Connection,E-power.,Full-time to the Colorado Connection System .,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,CCARC,2017-01-06,,,,,,,,Colorado Connection system of repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,71.82,SW,,08,8763,39.0666,-107.937,449.65,444.65,151.4,151.4,Mesa,On-Air,Wide area coverage,Keri Washburn,NWS weather alert system.,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,CCARC,2016-10-28,,,,,,,,,,8162,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,,72.63,NNE,,08,244,40.6494,-106.382,145.16,144.56,88.5,123,Jackson,On-Air,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",Colorado Connection,8,Full-time to the Colorado Connection System .,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,CCARC,2017-01-06,,,,,,,,Part of the Colorado Connection system of repeaters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,,72.8,E,,08,201,39.9172,-105.501,224.6,223,100,,Gilpin,,,W0RM,,,,CCARC,2012-11-10,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,,73.32,SSE,,08,184,38.7129,-106.2,146.745,146.145,100,,Chaffee,On-Air,,CLARA,E-power.,,,CCARC,2019-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,73.67,SSE,,08,15212,38.6125,-106.543,447.65,442.65,151.4,151.4,Gunnison,On-Air,Gunnison valley and along East and west on Highway 50.,KB0YNA,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,CCARC,2016-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,,73.99,ESE,,08,9580,39.7189,-105.44,447.85,442.85,141.3,141.3,Clear Creek,Off-Air,Wide area at 9500',AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,,,CCARC,2019-08-23,,,,,Rocky Mountain Ham Radio,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,,74.3,SE,,08,7,39.4056,-105.473,146.895,146.295,100,100,Park,On-Air,285,AB0RR,25,"Full-time internet linked to 448.57500 (WZ0N) at Hartsel, CO .",Wed at 19:30.,CCARC,2017-07-05,,,,,,Park County Radio Club (PCRC),,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,,76.22,E,,08,72,39.8875,-105.426,145.31,144.71,88.5,123,Gilpin,On-Air,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,10,Full-time to the Colorado Connection System .,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,CCARC,2019-08-15,,,,,,,,"Split tone. The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,,76.22,E,,08,97,39.8875,-105.426,449.225,444.225,141.3,141.3,Gilpin,On-Air,Wide area.,Rocky Mountain Ham Radio (RMHR),Emergency Power,,,CCARC,2015-11-03,,,,,,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,76.32,SW,,08,3755,38.9944,-107.973,447.35,442.35,107.2,,Delta,,,Grand Mesa Repeater Assoc (GMRA),,,,CCARC,2012-11-10,,,,,,GMRA Repeaters,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,76.84,S,,08,161,38.5458,-106.925,449.95,444.95,,,Gunnison,,,K5GF,,,,CCARC,2012-11-10,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,76.84,S,,08,160,38.5458,-106.925,147.12,147.72,,,Gunnison,On-Air,,W0VTL,E-power.,,,CCARC,2014-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,,,78.14,ESE,,08,9702,39.7658,-105.366,927.8375,902.025,,,Jefferson,On-Air,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills. Now linked with Almagre 927.7250 for great coverage south,,Linked with Chief 927.9375 &amp; Almagre 927.7250 for wide area coverage,,,CCARC,2018-12-23,,,,,,,,The offset is -25.8125,,,45770,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC,W0TX,"Denver, Centennial Cone",CO,OPEN,,D,78.14,ESE,,08,7165,39.7657,-105.366,446.7875,441.7875,,,Jefferson,On-Air,,Denver Radio Club,,,,CCARC,2017-12-09,yes,1,,,Brandmeister Network,http://www.w0tx.org/,,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf. TG's are PTT enabled and will timeout after 15 minutes of inactivity. Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,,78.43,ESE,,08,82,39.7525,-105.359,146.985,146.385,100,100,Denver,On-Air,,El Jebel RADOPS,E-power.,,RADOPS: Sun at 19:00.,CCARC,2016-09-05,,,,,,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,78.43,ESE,,08,140,39.7525,-105.359,145.28,144.68,100,,Jefferson,On-Air,Wide area.,,"Closed autopatch, e-power, linked.","Full-time to 449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",Sun at 19:30. Everyone welcome.,CCARC,2015-05-22,,,,,,Intermountain Repeater Group,,"PL is usually off, allowing use by older transceivers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,78.43,ESE,,08,138,39.75249863,-105.35900116,449.525,444.525,CSQ,,Jefferson,On-Air,,KE0SJ,E-power.,"Full-time to 145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,CCARC,2015-05-23,,,,,,Intermountain Repeater Group,,,,,,,,,,,DM79HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,,78.43,ESE,,08,77,39.7525,-105.359,146.64,146.04,100,,Jefferson,On-Air,Wide area. Repeater Coverage Map,Denver Radio League,E-power.,,,CCARC,2017-03-11,,,,,,DRL Repeaters,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,78.45,SW,,08,3745,38.9016,-107.926,147.195,147.795,107.2,,Delta,,Local.,,,,,,2018-04-04,,,,,Colorado District 25 ARES,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,78.45,SW,,08,3749,38.90159988,-107.9260025,147.36,147.96,100,,Delta,On-Air,,W0ALC,,,,CCARC,2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,78.45,SW,,08,3760,38.9016,-107.926,449.825,444.825,100,,Delta,,,W0ALC,,,,CCARC,2018-04-04,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,,78.49,ESE,,08,112,39.7525,-105.358,448.625,443.625,100,100,Jefferson,On-Air,Denver metro area.,Denver Radio Club,E-power.,"Full-time to 145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",DRC: Sun at 20:30.,CCARC,2017-03-11,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,,79.2,ESE,,08,59,39.5148,-105.353,147.12,147.72,88.5,88.5,Jefferson,On-Air,Denver metro and east.,Aurora Repeater Association,E-power.,,,CCARC,2016-01-17,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,,80.17,ESE,,08,136,39.7772,-105.329,448.85,443.85,88.5,88.5,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,e-power.,,ARA: Wed at 20:00.,CCARC,2016-01-17,,,,,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,,80.17,ESE,,08,86,39.7772,-105.329,224,222.4,103.5,103.5,Jefferson,On-Air,,Rocky Mountain Radio League,8,,,CCARC,2017-03-11,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,,80.17,ESE,,08,133,39.7772,-105.329,147.15,147.75,100,100,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc (ARA),e-power,"Linkable to 224.74000 (N0POH) at Golden, Guy Hill, CO .",ARA: Wed at 20:00.,CCARC,2016-01-17,,,,,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,,80.22,ESE,,08,265,39.7772,-105.328,449.75,444.75,103.5,103.5,Jefferson,On-Air,,Rocky Mtn Radio League,8,,,CCARC,2016-12-23,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,,80.22,ESE,,08,134,39.7772,-105.328,224.74,223.14,88.5,88.5,Jefferson,On-Air,,Aurora Repeater Assoc,e-power,,ARA: Wed at 2000.,CCARC,2016-01-17,,,,,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,,80.22,ESE,,08,71,39.77719879,-105.32800293,145.22,144.62,103.5,103.5,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,8,,,CCARC,2016-12-23,,,,,,Repeater,,Talk-Group of $FFFF.,,,,,,,,,,,,,yes,293,yes,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,,80.37,E,,08,13368,40.0633,-105.41,146.91,147.51,123,127.3,Boulder,On-Air,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,,,"Summer Tue at 19:30P, Winter 19:00.",,2017-04-09,,,,,"Town of Gold Hill, Colorado",http://goldhilltown.com/,,There is a MOU With BCARES for repeater use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,80.46,ESE,,08,73,39.6333,-105.317,145.34,144.74,103.5,127.3,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,E-power.,,,CCARC,2019-08-15,,,,,,Repeater,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,80.46,ESE,,08,10932,39.6333,-105.317,145.175,144.575,,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,700,,,CCARC,2018-11-25,yes,7,310810,,,Rocky Mountain Ham Radio,,Voice ID is required for data/GPS/text on TG 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,,80.5,E,,08,15670,40.1727,-105.468,147.03,147.63,100,,Boulder,On-Air,,KI0HG,,,,CCARC,2017-01-20,,,,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,81.68,ESE,,08,103,39.5211,-105.305,1287.9,1267.9,CSQ,,Jefferson,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,,,CCARC,2017-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,,81.83,SE,,08,169,39.04940033,-105.51300049,146.685,146.085,107.2,107.2,Park,On-Air,,Mountain ARC (MARC),"Closed autopatch, e-power.","Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 19:30.,CCARC,2016-11-17,,,,,,,,,,,,,,,,,DM79FB,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,,81.9,SE,,08,170,39.0489,-105.512,147.36,147.96,107.2,107.2,Park,On-Air,Wide area.,,E-power.,,,CCARC,2018-01-15,,,,,,CMRG Repeaters,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,83.36,E,,08,8992,40.07220078,-105.35399628,445.05,440.05,,,Boulder,On-Air,Wide area,Rocky Mountain Ham Radio,BrandMeister Network,,,CCARC,2019-11-27,yes,1,310852,BrandMeister,,,,,,,,,,,,,,,,,,,,,RMHR c Record retrieved from radioid.net,BrandMeister US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,83.36,E,,08,5219,40.07220078,-105.35399628,446.9875,441.9875,,,Boulder,On-Air,,Rocky Mountain Ham Radio,Linked on Time Slot 2 to Almagre Mtn (446.950).,"Full-time to 446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO . Full-time to the Colorado TRBO System .",,,2019-11-27,yes,7,310813,,,,,,,,,,,,,,,,,,,,,,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,,83.36,E,,08,19,40.07220078,-105.35399628,447.75,442.75,141.3,141.3,Boulder,On-Air,,Rocky Mountain Ham Radio,,,,CCARC,2018-04-24,,,,,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,,83.36,E,ON - IDLE,08,8,40.07220078,-105.35399628,145.46,144.86,107.2,107.2,Boulder,On-Air,Boulder/Denver Metro,Colorado Repeater Association (CRA),"Closed autopatch, e-power.","Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,CCARC,2017-11-13,,,,,CRA VHF Link System,,347086,,,3990,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,,83.36,E,,08,20,40.07220078,-105.35399628,447.975,442.975,107.2,107.2,Boulder,On-Air,Wide area: Boulder/Longmont area.,Colorado Repeater Association (CRA),Closed autopatch.,,,CCARC,2016-09-08,,,,,,,,,,,,,,,,,DN70HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,,83.36,E,ON - IDLE,08,18,40.07220078,-105.35399628,224.02,222.42,,,Boulder,On-Air,Denver metro area.,Rocky Mtn VHF Soc,8,"Full-time to 449.55000 (W0IA) at Boulder, CO .",,CCARC,2017-03-11,,,,,,RMVHS repeaters,217336,,,,,,,,,,DN70HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,Maysville,CO,OPEN,,,83.53,SSE,,08,16739,38.50630188,-106.34500122,145.325,144.725,100,,Chaffee,On-Air,wide area,Chaffee Lake Amateur Repeater Association,,,,,2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,84.31,WSW,,08,16721,39.0889,-108.227,446.9125,441.9125,,,Mesa,On-Air,"Grand Junction, I70",Bill Frost,,,,,2018-01-09,yes,1,310868,,,,,Brandmeister network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
