Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Uplink Tone,EchoLink,IRLP,Notes,Downlink Tone,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Web links,Links,Nets,Bandwidth,AllStar,Talkgroups,Rocky Mountain Wide,Central Regional,Affiliate,Mixed-Mode,On-air,Commands,Local/Cluster,Colorado,REACT,CO-Park County,Northern Colorado Regional,D-STAR Enabled,Node,Sources,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Feed,P-25 Digital Enabled,NAC,Default Reflector,Southern Colorado,TAC 310,TAC 311,Colorado Chat,Local Network,Eastern Colorado,Devilshead Local,Location Photo,Talkgroup Network,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,North America,Worldwide,English,BYRG
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,,86.42,WNW,ON - IDLE,08,9583,39.37030029,-103.8010025,449.25,444.25,,,,Elbert,DM89CI,On-Air,"I-70 Limon, Co area.",K0UPS Club c/o N1UPS,Full duplex node.,CCARC,2014-09-02,123,3349,3349,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",123,,,,,,,,,,,,,,,,,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.5,5,141.3,K0ECT,"Garden City, Tennis",KS,OPEN,I,,95.44,SE,,20,4046,38.16400146,-100.8010025,442.5,447.5,,,,Finney,DM98OD,On-Air,,SKECT,E-power.,Kansas Repeater Council,2018-07-12,141.3,,3885,,141.3,,,,,,http://skect.org/default.aspx,Full-time to the SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,,97.36,WNW,,08,12167,39.22669983,-104.08999634,147.105,147.705,,,,Elbert,DM79WF,On-Air,"I-70, E. Arapahoe, Elbert, Lincoln Counties 40 mi radius.",ARES of Douglas and Elbert Counties,Linked to CRA 448.425 - WestCreek,CCARC,2020-02-11,107.2,,,,107.2,,,,,,http://www.w0cra.org/,"Full-time to 448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,Colorado Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,,98.67,S,,08,8174,37.4083,-102.614,147.09,147.69,,,,Baca,,,,BCDEARC,,CCARC,2012-11-12,118.8,,,,118.8,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,,98.67,S,Node Offline,08,6093,37.40829849,-102.61399841,147.33,147.93,,,,Baca,,Off-Air,,Baca County Amateur Emergency Management,,CCARC,2018-03-12,118.8,97142,7142,,118.8,,,,,,KZ0DEM Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,,98.67,S,Node Offline,08,4588,37.40829849,-102.61399841,449.2,444.2,,,,Baca,,On-Air,provides coverage to central Baca County,Baca County Div of Emerg Mgt Communications,,,2011-08-21,118.8,97142,7142,,118.8,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,141.3,WA0OQA,Garden City,KS,OPEN,A,,99.35,SE,,20,3959,37.97169876,-100.8730011,146.91,146.31,,,,Finney,,On-Air,"Finney, Scott and Kearney counties.",Sand Hills ARC,E-power.,Kansas Repeater Council,2018-09-16,141.3,,,Linked full time to Scott City 146.700 and Lakin 146.985 repeaters.,141.3,,,,,,,"Full-time to 146.70000 (WA0OQA) at Scott City, KS .",Tue at 20:30.,,48588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,KZ0DEM,Vilas,CO,OPEN,,D,100.09,S,,08,17522,37.37469864,-102.4469986,446.7625,441.7625,,,,Baca,,,Baca County,Southeast Colorado REACT,,,2019-11-27,,,,TS1​ 310815 - Fun Machine Link - Static,,yes,7,310841,RMHAM c Record retrieved from radioid.net,,http://www.secahr.com/southeast-colorado-react.html,,,,,"Open Talkgroup View Assignment TS TG Access Local/Cluster 2 2 Full-Time Central Regional 2 720 Full-Time Colorado 2 3108 Full-Time REACT 2 3740 Full-Time CO-Park County 2 31081 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,,Unknown,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC,W0FT,Akron,CO,OPEN,,D,103.29,NNW,,08,16784,40.16049957,-103.21399689,448.175,443.175,,,,Morgan,,On-Air,,W0FT,,CCARC,2019-11-27,,,,,,yes,7,310833,RMHAM c Record retrieved from radioid.net,,http://www.rmham.org/,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,,103.3,NNW,,08,2,40.16059875,-103.21399689,145.4,144.8,,,,Washington,,On-Air,Northeastern plains of Colorado.,Colorado Connection,,CCARC,2018-11-02,88.5,,,Part of the Colorado Connection system of repeaters,123,,,,,,,Full-time to the Colorado Connection System .,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett, Tator Butte",CO,OPEN,,,103.99,SSW,,08,3792,37.36999893,-102.85900116,146.64,146.04,,,,Las Animas,,Off-Air,Wide area: West BACA and East Las Animas counties.,,,CCARC,2015-12-12,100,,,,100,,,,,,KZ0DEM Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.525,5,141.3,K0ECT,"Ulysses, Wagon Bed Springs",KS,OPEN,,,112.61,SSE,,20,4110,37.403,-101.333,444.525,449.525,,,,Grant,,On-Air,,SKECT,E-power.,Kansas Repeater Council,2019-05-07,141.3,,,,141.3,,,,,,http://skect.org/default.aspx,Full-time to the SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.87,-1.7,141.3,WA0OQA,Garden City,KS,OPEN,,,113.62,SE,,20,15311,38.10279846,-100.46399689,52.87,51.17,,,,Finney,DM98SC,On-Air,30,SHARC,,Kansas Repeater Council,2019-03-18,141.3,,,200,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,KB0DZB,Oberlin,KS,OPEN,,,119.71,NE,,20,3907,39.8321991,-100.53399658,145.19,144.59,,,,Decatur,DM99RT,Off-Air,Local,TRI-STATE.,Linked.,Kansas Repeater Council,2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,Y,121.6,W,,08,13790,38.93299866,-104.60900116,447.2,442.2,yes,Open ↑ / Open ↓,,El Paso,,Testing,"Falcon, Black Forest, Peyton Areas",GGARC,,,2015-11-11,,,,,,,,,,,,,,,,,,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,,121.85,N,,08,163,40.58440018,-102.30200195,146.955,146.355,,,,Phillips,,,,PCARC,E-power.,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,,122.17,W,ON - IDLE,08,13294,39.04370117,-104.60800171,447.625,442.625,,,,El Paso,,On-Air,,KD0MDP,Linked.,,2015-06-02,100,363976,7301,,100,,,,,,,Full-time to the The Fun Machine System .,,,28299,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,,122.53,WSW,,08,195,38.39250183,-104.55500031,224.26,222.66,,,,Pueblo,,Off-Air,Wide area.,Pueblo Ham Club,E-power.,CCARC,2013-05-07,88.5,,,,,,,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,W0PHC,"Pueblo, Baculite Mesa",CO,OPEN,,,123.34,WSW,,08,193,38.36240005,-104.55999756,146.79,146.19,,,,Pueblo,DM78ri,On-Air,Wide area.,Pueblo Amateur Radio Club,E-power.,CCARC,2019-12-10,88.5,,,,,,,,,,Pueblo Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,CC 88.5,W0PHC,Pueblo,CO,OPEN,,D,123.34,WSW,,08,198,38.36240005,-104.55999756,447.95,442.95,,,,Pueblo,DM78ri,On-Air,Wide area.,Pueblo Amateur Radio Club,E-power.,CCARC,2019-12-10,88.5,,,Dual Mode Analog/DMR,,yes,0,,c Record retrieved from radioid.net,,Pueblo Amateur Radio Club,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,D,125.27,NW,,08,10783,40.25030136,-103.80000305,448.2,443.2,,,,Morgan,,On-Air,,,Mixed Mode,CCARC,2019-11-27,,,,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,yes,7,310812,RMHR c Record retrieved from radioid.net,,Rocky Mountain Ham Radio,Full-time to the Colorado TRBO System .,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,NEAHR,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,K0ECT,Ulysses,KS,OPEN,,,126.03,SSE,,20,3979,37.24000168,-101.1989975,147.06,147.66,,,,Grant,DM97JF,On-Air,Local,SKECT,,Kansas Repeater Council,2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,W0QS,Hugoton,KS,OPEN,,,126.18,SSE,,20,18554,37.1753006,-101.34960175,146.61,146.01,,,,Graham,,On-Air,,,,,2020-03-01,123,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,,,Black Forest,CO,OPEN,,SY,127.17,W,,08,17551,39.04850006,-104.7009964,448.95,443.95,yes,Open ↑ / Open ↓,,El Paso,,,This repeater covers most of Black Forest and various areas of Monument and Colorado Springs,N0PKT,e-power,,2019-01-08,,,,,,,,,,,http://www.k0jsc.com,,Primarily on NXDN: All Nets carried on the K0JSC.COM Fun Machine system,,,,,,K0JSC,,Unknown,,,,,,,yes,(B) Repeater,jfindu lookup / dstar-users lookup,yes,1,6.25,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,,127.53,WSW,,08,8173,38.30690002,-104.62000275,147,147.6,,,,Pueblo,DM78QH,On-Air,,Carl Higbee,,CCARC,2014-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,,127.78,WSW,ON - IDLE,08,5369,38.0340004,-104.48899841,449.975,444.975,,,,Pueblo,DM78SA18,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass Repeater Coverage Map,K0JSC,2,CCARC,2017-03-11,100,363976,7301,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,100,,,,,,K0JSC dot Com,"Linkable to 146.79000 (W0PHC) at Pueblo, Baculite Mesa, CO . Linkable to 146.88000 (W0PHC) at Pueblo, 12 Mile Hill, CO . Linkable to 145.49000 (WD0EKR) at Canon City, Fremont Peak, CO . Linkable to 145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 145.46000 (WB0WDF) at Cripple Creek, CO . Full-time to the The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,28368,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.575,5,162.2,K0HAM,"Ransom, K-Link",KS,OPEN,,,128.05,ESE,,20,4075,38.63100052,-99.98999786,443.575,448.575,,,,Ness,EM08AP,On-Air,Click for coverage map. 40 mi radius.,N7JYS,,Kansas Repeater Council,2019-08-02,162.2,,,,162.2,,,,,,K-Link Repeater Network,"Full-time to 442.45000 (N7JYS) at Hays, K-Link, KS . Full-time to the K-Link System .",K-Link: Saturdays 21:00 local,,,,,,K-Link Repeater Network,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,,128.07,WSW,,08,192,38.25439835,-104.60900116,146.655,146.055,,,,Pueblo,,On-Air,,K0ST,,CCARC,2013-05-07,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,D,128.07,WSW,,08,8530,38.25439835,-104.60900116,447.7,442.7,,,,Pueblo,,Off-Air,,,,CCARC,2019-11-27,210.7,,7389,,210.7,yes,1,310805,KFKR- c Record retrieved from radioid.net,,,,,,29228,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,,128.07,WSW,,08,189,38.25439835,-104.60900116,449.725,444.725,,,,El Paso,,On-Air,,N0PWZ,,CCARC,2012-11-10,100,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
