Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Notes,Coordination,Last update,Downlink Tone,Grid,Affiliate,Links,AllStar,Features,Web links,Coverage,On-air,DMR Enabled,Color Code,Wide Network,IRLP,Nets,DMR ID,EchoLink,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,IPSC Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Commands,Central Regional,Bandwidth,Mixed-Mode,Northern Colorado Regional,Eastern Colorado,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,0,WNW,,08,63,37.8492,-106.926,146.925,146.325,,Mineral,Off-Air,Creede ARC,WA0JS license expired,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,8.03,WSW,,08,14923,37.7933,-107.055,449.525,444.525,100,Mineral,On-Air,N0PKT,,,2017-01-06,100,DM67lt,The Fun Machine,Full-time to the The Fun Machine System .,43265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,,24.61,WNW,,08,16607,38.03,-107.315,147.135,146.535,123,Hinsdale,On-Air,,,CCARC,2018-01-15,,,,,,E-power (solar),http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,,38.56,W,,08,209,37.79330063,-107.6289978,147.375,147.975,156.7,San Juan,On-Air,,,CCARC,2018-01-15,,DM67ET,,"Part-time to 146.67000 (K0EP) at Durango, Eagle Pass, CO .",,13,http://www.sjcham.com,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,,40.36,W,,08,210,37.81190109,-107.66400146,447.525,442.525,127.3,San Juan,On-Air,KB5ITS,,CCARC,2014-06-30,,,,,,E-power.,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,,40.41,W,,08,16605,37.8119,-107.665,145.325,144.725,127.3,San Juan,On-Air,,,CCARC,2018-01-15,,,,,,Solar powered,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,,40.41,W,,08,16624,37.8119,-107.665,444,449,67,San Juan,On-Air,,,,2018-08-03,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,,42.34,WNW,,08,16604,38.02280045,-107.67099762,147.27,147.87,127.3,Ouray,On-Air,,,CCARC,2018-01-15,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,,44.81,ESE,,08,16645,37.75,-106.115,447.1,442.1,77,Saguache,On-Air,,,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,,45.1,ESE,,08,14200,37.7531,-106.109,146.64,146.04,77,Rio Grande,On-Air,,,,2016-12-25,77,,,,28781,,,Low level local coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
