Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,County,Op Status,Sponsor,Affiliate,Web links,Coordination,Last update,Downlink Tone,Coverage,Links,Notes,Nets,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,Features,On-air,Central Regional,Grid,EchoLink,IRLP,Commands,AllStar,YSF Digital Enabled,DG-ID,WIRES-X,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Feed,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,Colorado,Bandwidth,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Wyoming,WyLOCAL,Location Photo,REACT,CO-Park County
448.175,-5,CC,W0FT,Akron,CO,OPEN,,D,0,ESE,,08,16784,40.16049957,-103.21399689,448.175,443.175,,yes,7,310833,RMHAM c Record retrieved from radioid.net,,Morgan,On-Air,W0FT,Rocky Mountain Ham Radio,http://www.rmham.org/,CCARC,2019-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,,0.01,N,,08,2,40.16059875,-103.21399689,145.4,144.8,88.5,,,,,,Washington,On-Air,Colorado Connection,,,CCARC,2018-11-02,123,Northeastern plains of Colorado.,Full-time to the Colorado Connection System .,Part of the Colorado Connection system of repeaters,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,D,31.54,WNW,,08,10783,40.25030136,-103.80000305,448.2,443.2,,yes,7,310812,RMHR c Record retrieved from radioid.net,,Morgan,On-Air,,NEAHR,Rocky Mountain Ham Radio,CCARC,2019-11-27,,,Full-time to the Colorado TRBO System .,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,Mixed Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,100,WA0JTB,"Sterling, CO",CO,OPEN,,,32.14,N,,08,238,40.62559891,-103.20700073,145.295,144.695,100,,,,,,Logan,On-Air,NECARA,,,CCARC,2020-01-17,,Wide area,,,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,,56.24,E,,08,163,40.58440018,-102.30200195,146.955,146.355,,,,,,,Phillips,,PCARC,,,CCARC,2012-11-10,,,,,,,,,E-power.,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0RTS,"Genoa, Limon",CO,OPEN,,D,62.82,SSW,,08,13581,39.27830124,-103.5,446.7375,441.7375,,yes,8,310829,RMHAM c Record retrieved from radioid.net,,Lincoln,On-Air,K0RTS KC0VJD,RMHam,,CCARC,2019-11-27,,"I-70 H-40 H-287 Arriba, Genoa, Hugo, Limon 50 mile radius",,Colorado on TG700 Slot 1 Denver on TG720 Slot 2,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,,62.87,SSW,ON - IDLE,08,9583,39.37030029,-103.8010025,449.25,444.25,123,,,,,,Elbert,On-Air,K0UPS Club c/o N1UPS,,,CCARC,2014-09-02,123,"I-70 Limon, Co area.",,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,,,,Full duplex node.,,,DM89CI,3349,3349,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,A,,63.31,SSW,,08,128,39.26879883,-103.48799896,147.06,147.66,103.5,,,,,,Lincoln,On-Air,BSARC,,http://www.bigsandyradio.com/,CCARC,2019-07-21,,"I-70, US-71, US-287, US-40, US-24",,,Big Sandy Net: Tues 19:00,,,,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",,,DM89GG,,,,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,,67.49,SSE,Node Offline,08,122,39.30329895,-102.60500336,146.895,146.295,103.5,,,,,,Kit Carson,On-Air,Big Sandy ARC,,,CCARC,2018-04-01,,,,,,,,,,,,DM89QH,830619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,76.11,W,Node Offline,08,8216,40.02019882,-104.64199829,449.925,444.925,114.8,,,,,,Weld,On-Air,K0EB,K0UPS Club,,CCARC,2018-12-01,114.8,,,,,,,,,,,DN70,448035,8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
