Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Features,Coordination,Last update,Sponsor,Coverage,Web links,Links,Affiliate,IRLP,Notes,Nets,DMR Enabled,Color Code,Wide Network,On-air,Commands,EchoLink,DMR ID,AllStar,D-STAR Enabled,Node,Sources,Grid,Talkgroups,Rocky Mountain Wide,Southern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Central Regional,Northern Colorado Regional,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Bandwidth,Eastern Colorado,Devilshead Local,YSF Digital Enabled,DG-ID,IPSC Network,Mixed-Mode,TAC 311,Colorado,Colorado Chat,Local Network,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,0,SSE,,08,12442,38.4783,-107.876,146.91,146.31,107.2,107.2,Montrose,On-Air,E-Power,CCARC,2014-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,0,SSE,,08,7953,38.4783,-107.876,146.79,146.19,107.2,107.2,Montrose,On-Air,E-power.,CCARC,2012-09-06,KC0UXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,100,KB5ITS,"Montrose, Raspberry",CO,OPEN,,,4.51,SSE,,08,18465,38.41740036,-107.84600067,448.825,443.825,100,,Montrose,On-Air,,,2020-01-17,San Juan Connection,"Nucla, Uncompahgre Plateau, coverage into Montrose and ?West End?",http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,12.61,SE,,08,15213,38.3875,-107.674,448.65,443.65,,151.4,Montrose,On-Air,,,2016-10-11,KB0YNA,Wide area.,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,12.61,SE,,08,69,38.3875,-107.674,447.2,442.2,107.2,107.2,Montrose,On-Air,9,CCARC,2018-01-15,,Delta/Montrose,GMRA Repeaters,Full-time to the GMRA Open System .,Grand Mesa Repeater Assoc,3710,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.8,-5,CC,AD0RM,"Ridgway, On top of Log Hill",CO,OPEN,,D,21.13,SSE,,08,17998,38.18,-107.79,447.8,442.8,,,Ouray,On-Air,,,2019-08-17,AD0RM,Montrose to Ouray,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,29.37,N,,08,3745,38.9016,-107.926,147.195,147.795,107.2,,Delta,,,,2018-04-04,,Local.,,,Colorado District 25 ARES,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,29.37,N,,08,3749,38.9016,-107.926,147.36,147.96,100,,Delta,On-Air,,CCARC,2019-08-26,W0ALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,29.37,N,,08,3760,38.9016,-107.926,449.825,444.825,100,,Delta,,,CCARC,2018-04-04,W0ALC,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,31,NNE,,08,8179,38.8683,-107.592,147.33,147.93,107.2,,Delta,On-Air,,CCARC,2016-05-16,North Fork Repeater Assoc.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
