Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Coverage,Affiliate,Links,Notes,Web links,Features,EchoLink,Nets,IRLP,Grid,Downlink Tone,DMR ID,IPSC Network,Local Network,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,On-air,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,AllStar,YSF Digital Enabled,DG-ID,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Feed,WIRES-X,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,Mountain Reg USA,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Wyoming,WyLOCAL,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,19.76,S,,08,3751,39.73049927,-105.23300171,1283.9625,1263.9625,yes,W0CDS (A) Repeater,jfindu lookup / dstar-users lookup,Jefferson,On-Air,Colorado D-Star,CCARC,2014-01-03,,,,,,,,,Colorado D-Star,,,,,DM79JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,19.76,S,,08,8222,39.73049927,-105.23300171,1299.9,1299.9,yes,W0CDS (A) DVAP 24/7,jfindu lookup / dstar-users lookup,Jefferson,On-Air,Colorado D-Star,,2014-01-03,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC,WA2YZT,"Golden, Lookout",CO,OPEN,,D,19.77,S,,08,3753,39.73049927,-105.23200226,446.8375,441.8375,,,,Jefferson,On-Air,WA2YZT,CCARC,2019-11-27,,yes,7,,,,Full-time to the Colorado TRBO System .,See website for more info on CC/TS/TG programming. www.rmham.org,,200,,,,DM79JR,,310802,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,19.88,SSE,,08,17349,39.75059891,-105.1230011,448.35,443.35,,,,Jefferson,On-Air,Denver Water Amateur Radio Club (DWARC),CCARC,2018-10-02,,,,,Denver Metro and surrounding,,,,http://www.DWARC.com,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,19.89,SSE,,08,9775,39.75049973,-105.1230011,147.21,147.81,,,,Jefferson,On-Air,Denver Water Amateur Radio Club,,2020-01-23,100,,,,,,,,http://www.dwarc.com,,,,3241,DM79KS,100,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,21.96,SSE,,08,5805,39.71620178,-105.12999725,447.825,442.825,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,D073,,,,,,,Now operating in Narrow Band mode with Digital Code Squelch. Please reset your programing to use: 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).,,,,,,DM79KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,22.26,SSE,,08,105,39.70080185,-105.1780014,53.09,51.39,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,107.2,,,,Metro Denver area.,,,,DRC Repeaters,E-power.,,,,DM79JQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,,22.34,SSW,,08,9580,39.7189,-105.44,447.85,442.85,,,,Clear Creek,Off-Air,AC0KQ,CCARC,2019-08-23,141.3,,,,Wide area at 9500',Rocky Mountain Ham Radio,,,,AllStar node repeater providing wide area coverage along the Front Range,,,,,141.3,,,,,,,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,,22.82,SW,,08,95,39.7425,-105.514,449.05,444.05,,,,Denver,On-Air,WG0N,CCARC,2012-11-20,107.2,,,,Wide area.,,,,,E-power.,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,22.84,SSE,,08,8204,39.70460129,-105.1230011,448.75,443.75,,,,Jefferson,Off-Air,,CCARC,2019-08-23,100,,,,Local.,N0ELY,,,,E-power.,,,,DM79KQ,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,23.43,SE,ON - IDLE,08,12216,39.75519943,-104.98699951,447.175,442.175,,,,Denver,On-Air,W0JRL,CCARC,2015-05-15,100,,,,,,,,,,201712,,,DM79MS,100,,,,Standard AllStar Link access commands.,,,,,,,,,,,29997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,23.77,S,,08,10514,39.67340088,-105.21800232,53.17,52.67,,,,Jefferson,On-Air,N6LXX,CCARC,2019-03-25,107.2,,,,"I-70,I-76,I-25,I-225",N6LXX,Full-time to the N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,23.77,S,,08,10513,39.67340088,-105.21800232,447.875,442.875,,,,Jefferson,On-Air,N6LXX,CCARC,2017-03-09,107.2,,,,"I-70,I-76,I-25,I-225",N6LXX,Full-time to the N6LXX System .,,,,,,,,107.2,,,,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,23.98,SSE,,08,85,39.68220139,-105.14299774,147.33,147.93,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-31,100,,,,Metro Denver and the foothills.,,,Not recommeded to use tone squelch on this repeater.,DRC Repeaters,E-power.,,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,23.98,SSE,,08,267,39.68220139,-105.14299774,224.38,222.78,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,100,,,,,,,,DRC Repeaters,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,CSQ,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,23.98,SSE,,08,8215,39.68220139,-105.14299774,449.775,444.775,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2019-09-06,,,,,Metro Denver,,,"YSF digital only, no analog FM",Denver Radio Club,Yaesu Digital Only,,,,DM79KQ,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,24.39,SE,,08,75,39.73920059,-104.98400116,145.475,144.875,,,,Jefferson,On-Air,Intermountain Repeater Group,CCARC,2015-05-22,100,,,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,Intermountain Repeater Group,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,24.39,SE,,08,79,39.73920059,-104.98400116,146.715,146.115,,,,Denver,On-Air,EARS,CCARC,2017-04-09,123,,,,,,,,,E-power.,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,,24.39,SE,,08,91,39.73920059,-104.98400116,448.075,443.075,,,,Denver,On-Air,W0IG,CCARC,2017-03-11,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,,24.39,SE,,08,93,39.73920059,-104.98400116,448.55,443.55,,,,Denver,Off-Air,HPRA,CCARC,2017-03-11,82.5,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,24.44,SE,,08,8196,39.73759842,-104.98500061,447.925,442.925,,,,Denver,On-Air,RADOPS El Jebel Shriners,CCARC,2014-07-03,100,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,24.44,SE,,08,8195,39.73759842,-104.98500061,447.9,442.9,,,,Denver,Off-Air,WB0TPT,CCARC,2017-03-11,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,24.44,SE,,08,8212,39.73759842,-104.98500061,449.65,444.65,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,S,24.44,SE,,08,8213,39.73759842,-104.98500061,449.675,444.675,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-16,,,,,,,,,,,,,7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,,24.7,E,,08,8183,40.08470154,-104.81300354,224.96,223.36,,,,Weld,On-Air,AC0KC,CCARC,2012-11-12,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,,25.52,ESE,Node Offline,08,8739,40.02759933,-104.78900146,447.3,442.3,,,,Weld,On-Air,,CCARC,2013-01-07,107.2,,,,,,,,,,405804,,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,,25.67,NNW,ON - IDLE,08,119,40.36009979,-105.4509964,146.685,146.085,,,,Larimer,On-Air,Estes Valley ARC,CCARC,2017-08-05,123,,,,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),,"Full-time to 449.80000 (N0FH) at Estes Park, CO .","Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,E-power.,625757,ARES D-10: Thu at 19:00.,7268,DN70GI,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,,25.95,SSW,,08,84,39.6781,-105.487,147.3,147.9,,,,Clear Creek,On-Air,Denver PD EEB,CCARC,2017-03-11,103.5,,,,Wide area.,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,,25.98,SSW,,08,78,39.6794,-105.492,146.67,146.07,,,,Clear Creek,On-Air,Castle Rock Repeater Group,CCARC,2016-09-08,100,,,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,,,11,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,D,25.98,SSW,,08,7190,39.6798,-105.493,446.9375,441.9375,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2017-01-13,,yes,7,,,,Full-time to the Colorado TRBO System .,See the website for programming information.,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,RMHAM,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,,25.98,SSW,,08,107,39.6794,-105.492,145.145,144.545,,,,Clear Creek,On-Air,Colorado Repeater Assoc,CCARC,2018-07-23,107.2,,,,Wide area. Denver metro.,,,,http://www.w0cra.org/info/squaw.html#145145,E-power.,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,,25.98,SSW,Node Offline,08,264,39.6794,-105.492,447.575,442.575,,,,Clear Creek,On-Air,Colorado Repeater Association (CRA),CCARC,2017-11-13,107.2,,,,Wide area: Denver metro.,,,,http://www.w0cra.org,,347088,,3291,,107.2,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,,25.98,SSW,,08,76,39.6794,-105.492,145.49,144.89,,,,Jefferson,On-Air,"KB0VIU, Denver Radio Club",CCARC,2017-03-11,100,,,,,,"Full-time to 448.62500 (W0TX) at Golden, Centennial Cone, CO .",,DRC Repeaters,E-power.,,DRC: Sun at 20:30.,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,,25.98,SSW,ON - IDLE,08,98,39.6794,-105.492,449.35,444.35,,,,Clear Creek,On-Air,Denver Radio Club,CCARC,2017-03-11,100,,,,Wide area.,,,,DRC Repeaters,11,4140,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,,25.98,SSW,,08,81,39.6798,-105.493,146.94,146.34,,,,Clear Creek,On-Air,Rocky Mtn Radio League,CCARC,2017-03-11,103.5,,,,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,"Linkable to 449.82500 (W0WYX) at Broomfield, CO . Linkable to 449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,Repeater,11,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,,,103.5,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,,25.99,SSW,,08,8197,39.6797,-105.493,448.225,443.225,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2016-05-24,141.3,,,,,,,,,E-power(gen).,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,26.01,SSW,,08,99,39.6794,-105.493,449.45,444.45,,,,Clear Creek,On-Air,Rocky Mountain Radio League,CCARC,2016-12-23,103.5,,,,"Wide area: West to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,,,Repeater,11,,RMRL: Mon at 20:30.,,,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,,26.01,SSW,,08,94,39.6774,-105.488,448.675,443.675,,,,Denver,On-Air,W0CFI,CCARC,2015-04-03,100,,,,Wide area.,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,26.09,SSW,,08,8250,39.6732,-105.48,449,444,,,,Clear Creek,On-Air,CARN,CCARC,2017-03-11,136.5,,,,,,,,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,26.49,S,,08,73,39.6333,-105.317,145.34,144.74,,,,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2019-08-15,103.5,,,,Wide area.,,,,Repeater,E-power.,,,3350,,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,26.49,S,,08,10932,39.6333,-105.317,145.175,144.575,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2018-11-25,,yes,7,,,,,Voice ID is required for data/GPS/text on TG 705,Rocky Mountain Ham Radio,700,,,,,,310810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,CC,N0WAR,"Estes Park, Prospect Mtn",CO,OPEN,,D,27.26,NNW,"DMR BrandMeister Repeater in Estes Park, Colorado Wide area coverage of Estes Park, Colorado &amp; Rocky Mountain National Park. Static TG of 3171 on T.S. 2 Located @ KC0KBP QTH",08,17813,40.36059952,-105.51999664,147.24,147.84,,,,Larimer,On-Air,N0WAR,,2019-11-27,,yes,2,,Wide Area: Estes Park &amp; Rocky Mtn Nat Park,W0DMR,,,http://www.w0dmr.org,Brandmeister Network,,,,DN70FI,,310853,Brandmeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,27.53,WSW,,08,15582,39.8865,-105.763,147.285,147.885,,,,Grand,On-Air,Colorado Connection,CCARC,2017-01-06,88.5,,,,,,Full-time to the Colorado Connection System .,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,,27.6,NNE,,08,179,40.39849854,-105.125,147.195,147.795,,,,Larimer,On-Air,Loveland Repeater Assoc,CCARC,2016-08-18,100,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,,28.14,W,,08,3756,39.9473,-105.795,447.45,442.45,,,,Grand,On-Air,W0IG,CCARC,2013-10-26,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,,28.29,NNW,ON - IDLE,08,120,40.37720108,-105.52100372,449.8,444.8,,,,Larimer,On-Air,Estes Valley ARC,CCARC,2017-08-05,123,,,,,,"Full-time to 146.68500 (N0FH) at Estes Park, CO .","Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,E-Power,625757,ARES D-10: Thu at 19:00.,7268,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,,28.42,NNE,,08,181,40.39780045,-105.0739975,449.575,444.575,,,,Larimer,On-Air,Loveland Rptr Assoc,CCARC,2018-02-24,100,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,,28.86,S,,08,17457,39.6,-105.21,927.9375,902.025,,,,Jefferson,On-Air,,CCARC,2018-12-23,,,,,"Wide area,Denver,Colorado Springs, Pueblo, Loveland. I70 East of Denver to Genoa and I25 North to Loveland &amp; South to Aguilar. I76 East to Atwood",,,,,linked to Centennial Cone 927.8375 &amp; Almagre 927.7250,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,,29.38,ESE,,08,9771,40.00719833,-104.71600342,447.625,442.625,,,,Adams,On-Air,Intermountain Repeater Group,,2015-05-23,100,,,,Local/North Metro,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,30.52,SE,,08,8202,39.72940063,-104.83200073,448.4,443.4,,,,Arapahoe,On-Air,,CCARC,2012-11-12,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,30.52,SE,,08,8199,39.72940063,-104.83200073,448.275,443.275,,,,Arapahoe,On-Air,W0BG,CCARC,2013-01-05,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,Aurora,CO,OPEN,,,30.52,SE,,08,8743,39.72940063,-104.83200073,449.95,444.95,,,,Arapahoe,On-Air,W9SL Owner,CCARC,2019-08-23,77,,,,Primarily to the North along I-25 corridor,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,30.52,SE,,08,16032,39.72940063,-104.83200073,448.825,443.825,,,,Arapahoe,On-Air,,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,30584,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,30.56,SE,,08,92,39.72940063,-104.83100128,448.5,443.5,,,,Denver,On-Air,Castle Rock Repeater Group,CCARC,2017-03-11,100,,,,Greater Denver area.,,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,WE0FUN,"Denver, Green Valley Ranch",CO,OPEN,EA,,31.56,SE,Node Offline,08,9765,39.79669952,-104.7480011,448.15,443.15,,,,Denver,On-Air,K0GUR,CCARC,2019-08-22,141.3,,,,Small coverage of the East Denver area SW of DIA. Repeater Coverage Map,,Full-time to the The Fun Machine System .,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list. The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,k0jsc.com,E-power (batt). 2 meter and 70cm channel steerable remote bases.,24340,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,DM79pt,141.3,,,,,,,,,,,,,,,29436,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,32.89,SE,,08,8207,39.69670105,-104.80999756,449.15,444.15,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,Y,33.17,NNE,,08,3621,40.44400024,-104.98899841,448.025,443.025,,,,Larimer,On-Air,Northern Colorado ARC,CCARC,2016-03-21,100,,,,,,,,,,,,,DN70MK,100,,,,,,,,,,,,,,Yes; analog capable.,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,33.29,ESE,Node Offline,08,8216,40.02019882,-104.64199829,449.925,444.925,,,,Weld,On-Air,K0EB,CCARC,2018-12-01,114.8,,,,,K0UPS Club,,,,,448035,,8035,DN70,114.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,103.5,WC3W,Grand Lake,CO,OPEN,A,,34.15,WNW,,08,18131,40.2392,-105.847,449.425,444.425,,,,Clear Creek,On-Air,,,2019-09-21,103.5,,,,"Grand Lake, CO",,,Linked to the Allstar Florida Hub,,,,Sunday and Tuesday nights at 7 PM MT,,,103.5,,,,,,,,,,,,,,,45202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,34.18,S,,08,103,39.5211,-105.305,1287.9,1267.9,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),CCARC,2017-10-07,CSQ,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,LaSalle,CO,OPEN,I,Y,34.35,E,,08,157,40.26119995,-104.70600128,147,147.6,,,,Weld,On-Air,Weld ARS,CCARC,2019-05-06,,,,,,,,,,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",,Tuesday Night club net,3839,DN70PG,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
