Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Coverage,Affiliate,Links,Notes,Web links,Features,EchoLink,Nets,IRLP,Grid,Downlink Tone,DMR ID,IPSC Network,Local Network,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,On-air,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,AllStar,YSF Digital Enabled,DG-ID,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Feed,WIRES-X,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,Mountain Reg USA,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Wyoming,WyLOCAL,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
445.05,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,5.91,NW,,08,8992,40.07220078,-105.35399628,445.05,440.05,,,,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,2019-11-27,,yes,1,BrandMeister,Wide area,,,,,BrandMeister Network,,,,,,310852,RMHR c Record retrieved from radioid.net,BrandMeister US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,5.91,NW,,08,5219,40.07220078,-105.35399628,446.9875,441.9875,,,,Boulder,On-Air,Rocky Mountain Ham Radio,,2019-11-27,,yes,7,,,,"Full-time to 446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO . Full-time to the Colorado TRBO System .",,,Linked on Time Slot 2 to Almagre Mtn (446.950).,,,,,,310813,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,,5.91,NW,,08,19,40.07220078,-105.35399628,447.75,442.75,,,,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,2018-04-24,141.3,,,,,,,,,,,,3450,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,,5.91,NW,ON - IDLE,08,8,40.07220078,-105.35399628,145.46,144.86,,,,Boulder,On-Air,Colorado Repeater Association (CRA),CCARC,2017-11-13,107.2,,,,Boulder/Denver Metro,CRA VHF Link System,"Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,"Closed autopatch, e-power.",347086,,3990,,107.2,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,,5.91,NW,,08,20,40.07220078,-105.35399628,447.975,442.975,,,,Boulder,On-Air,Colorado Repeater Association (CRA),CCARC,2016-09-08,107.2,,,,Wide area: Boulder/Longmont area.,,,,,Closed autopatch.,,,,DN70HB,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,,5.91,NW,ON - IDLE,08,18,40.07220078,-105.35399628,224.02,222.42,,,,Boulder,On-Air,Rocky Mtn VHF Soc,CCARC,2017-03-11,,,,,Denver metro area.,,"Full-time to 449.55000 (W0IA) at Boulder, CO .",,RMVHS repeaters,8,217336,,,DN70HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,,6.65,E,,08,16,40.05559921,-105.15699768,146.76,146.16,,,,Boulder,On-Air,Rocky Mtn VHF Soc,CCARC,2017-03-11,100,,,,Wide area.,Boulder County ARES,,ARES primary repeater. Voting Receivers: RX Location Tone Pitch PL Gunbarrel single beep low 100.0 Lousville single beep low 100.0 Lyons double beep high followed by medium 100.0 Louisville #2 double beep high followed by low 100.0,,5,,,,DN70KB,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,,8.08,WNW,,08,13368,40.0633,-105.41,146.91,147.51,,,,Boulder,On-Air,,,2017-04-09,123,,,,"East of Gold Hill, The Indian Peaks, Denver, Boulder","Town of Gold Hill, Colorado",,There is a MOU With BCARES for repeater use.,http://goldhilltown.com/,,,"Summer Tue at 19:30P, Winter 19:00.",,,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,,11.77,SE,,08,26,39.92060089,-105.08599854,448.925,443.925,,,,Boulder,Off-Air,W0LMA,CCARC,2019-06-19,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,,11.77,SE,,08,266,39.92060089,-105.08599854,449.825,444.825,,,,Boulder,Off-Air,Rocky Mountain Radio League,CCARC,2019-06-19,103.5,,,,Along the foothills and into Boulder where the 94 repeater is shadowed.,,,,Repeater,6,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,,12.04,SW,,08,72,39.8875,-105.426,145.31,144.71,,,,Gilpin,On-Air,Colorado Connection,CCARC,2019-08-15,88.5,,,,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",,Full-time to the Colorado Connection System .,"Split tone. The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,10,,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,,12.04,SW,,08,97,39.8875,-105.426,449.225,444.225,,,,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),CCARC,2015-11-03,141.3,,,,Wide area.,,,"Emcomm Affiliated, Open repeater",,Emergency Power,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
