Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,IPSC Network,Wide Network,Features,Downlink Tone,YSF Digital Enabled,DG-ID,Grid,Coverage,IRLP,Nets,Web links,Mixed-Mode,DMR ID,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,Colorado,Affiliate,Commands,Notes,EchoLink,Worldwide,English,Rocky Mountain Wide,Northern Colorado Regional,Links,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,P-25 Digital Enabled,NAC,Default Reflector,Local Network,Bandwidth,AllStar,Feed,WIRES-X,On-air,Southern Colorado,Central Regional,Wyoming,WyLOCAL,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,S,22.82,WNW,,08,8901,40.57770157,-105.09300232,446.8125,441.8125,yes,W0QEY (B) Repeater,jfindu lookup / dstar-users lookup,Larimer,On-Air,W0QEY CSU,CCARC,2017-05-31,,,,,,D-Star Gateway,,,,DN70KN,Fort Collins Local Area,,,,,,,,,,,,,,,,,,Free Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,,23.89,WNW,,08,3620,40.51530075,-105.14700317,1283.55,1263.55,,,,Larimer,On-Air,K1TJ Repeater System,CCARC,2013-01-01,100,,,,,,,,,DN70KM,Northern Colorado Front Range,,,http://www.k1tj.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,,23.89,WNW,ON - IDLE,08,276,40.51530075,-105.14700317,447.45,442.45,,,,Larimer,On-Air,,CCARC,2016-02-01,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N0AOL,Fort Collins,CO,OPEN,,D,23.89,WNW,,08,8505,40.51530075,-105.14700317,446.7375,441.7375,,,,Larimer,On-Air,N0AOL - NoCo C-Bridge Network,CCARC,2019-11-27,,yes,2,NoCo c Record retrieved from radioid.net,,DMR-MARC World Wide Network,,,,DN70KM,Wide area: North Front Range.,,"DMR World Wide Net: Sat at 10:00. TS 1 Group Call 1 http://www.dmr-marc.net/ Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,,310803,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 North America 1 3 English 1 13 TAC 310 1 310 Local/Cluster 2 2 N. Colorado 2 3171 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,2,,2,,,1,,,,Repeater ID: 310803,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,,24.03,SSW,,08,8183,40.08470154,-104.81300354,224.96,223.36,,,,Weld,On-Air,AC0KC,CCARC,2012-11-12,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,,24.98,NW,,08,8251,40.70389938,-105.00900269,448.325,443.325,,,,Larimer,On-Air,,CCARC,2012-11-16,110.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,25.96,WNW,,08,8715,40.53879929,-105.17900085,446.75,441.75,,,,Larimer,Off-Air,Rocky Mountain Ham Radio,CCARC,2019-12-09,,yes,7,RMHR c Record retrieved from radioid.net,,,,,,,,,,http://www.rmham.org,,310814,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,,,See website for complete info on color codes/time slot assignment.,,,,1,2,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC,KB0VGD,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,25.96,WNW,"KB0VGD Marcos 2M Horsetooth Horsetooth Mtn VHF, Wide area coverage. Please use ONLY TG 310831, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14274,40.53879929,-105.17900085,145.265,144.665,,,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,CCARC,2019-11-27,,yes,2,DMR-Plus c Record retrieved from radioid.net,,,,,,,Northern Colorado Front Range Wide Area coverage.,,,http://www.w0dmr.org/,,310831,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,1,2,,2,BrandMeister US,1,1,2,Brandmeister Network,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.","Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,,26.83,WNW,ON - IDLE,08,123,40.53969955,-105.19599915,145.115,144.515,,,,Larimer,On-Air,Northern Colorado ARC,CCARC,2016-10-25,100,,,,,7,100,,,DN70JM,Wide area.,,,,,,,,,,,,,,,,,,,4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,26.83,WNW,,08,275,40.53969955,-105.19599915,224.52,222.92,,,,Larimer,Off-Air,Northern Colorado ARC,CCARC,2018-03-21,100,,,,,E-power.,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
