Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,IPSC Network,Wide Network,Features,Downlink Tone,YSF Digital Enabled,DG-ID,Grid,Coverage,IRLP,Nets,Web links,Mixed-Mode,DMR ID,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,Colorado,Affiliate,Commands,Notes,EchoLink,Worldwide,English,Rocky Mountain Wide,Northern Colorado Regional,Links,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,P-25 Digital Enabled,NAC,Default Reflector,Local Network,Bandwidth,AllStar,Feed,WIRES-X,On-air,Southern Colorado,Central Regional,Wyoming,WyLOCAL,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,,40.89,SW,,08,21,40.01499939,-105.26999664,449.4,444.4,,,,Boulder,Off-Air,BARC,CCARC,2013-01-08,91.5,,,,,2,,,,,,,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,,40.89,SW,ON - IDLE,08,11,40.01499939,-105.26999664,449.55,444.55,,,,Boulder,On-Air,Rocky Mtn VHF Soc,CCARC,2017-03-11,100,,,,,8,,,,,Denver metro area.,,,,,,,,,,,,,,,,,,,217336,,,,,"Full-time to 224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,S,40.93,SW,,08,8186,40.01499939,-105.27100372,446.8625,441.8625,yes,KC0DS (B),jfindu lookup / dstar-users lookup,Boulder,On-Air,Boulder County ARES,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,D,40.93,SW,,08,8185,40.01499939,-105.27100372,446.8,441.8,,,,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,2019-11-27,,yes,7,RMHR c Record retrieved from radioid.net,,,,,,,Wide area.,,,Rocky Mountain Ham Radio,,310800,,,,,,,,,,,Rocky Mountain Ham Radio,,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,,,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,S,40.93,SW,,08,8221,40.01499939,-105.27100372,1299.5,1279.5,yes,W0DK (A) DVAP 24/7,jfindu lookup / dstar-users lookup,Boulder,On-Air,Boulder County ARES,CCARC,2012-11-12,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,41.78,SW,,08,8992,40.07220078,-105.35399628,445.05,440.05,,,,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,2019-11-27,,yes,1,RMHR c Record retrieved from radioid.net,BrandMeister,BrandMeister Network,,,,,Wide area,,,,,310852,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrandMeister US,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,41.78,SW,,08,5219,40.07220078,-105.35399628,446.9875,441.9875,,,,Boulder,On-Air,Rocky Mountain Ham Radio,,2019-11-27,,yes,7,RMHR c Record retrieved from radioid.net,,Linked on Time Slot 2 to Almagre Mtn (446.950).,,,,,,,,,,310813,,,,,,,,,,,,,,,,,,,"Full-time to 446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO . Full-time to the Colorado TRBO System .",,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,,41.78,SW,,08,19,40.07220078,-105.35399628,447.75,442.75,,,,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,2018-04-24,141.3,,,,,,141.3,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,,41.78,SW,ON - IDLE,08,8,40.07220078,-105.35399628,145.46,144.86,,,,Boulder,On-Air,Colorado Repeater Association (CRA),CCARC,2017-11-13,107.2,,,,,"Closed autopatch, e-power.",107.2,,,,Boulder/Denver Metro,3990,,,,,,,,,,,,,,,CRA VHF Link System,Member-only IRLP and Echolink node,,347086,,,,,"Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,,41.78,SW,,08,20,40.07220078,-105.35399628,447.975,442.975,,,,Boulder,On-Air,Colorado Repeater Association (CRA),CCARC,2016-09-08,107.2,,,,,Closed autopatch.,107.2,,,DN70HB,Wide area: Boulder/Longmont area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,,41.78,SW,ON - IDLE,08,18,40.07220078,-105.35399628,224.02,222.42,,,,Boulder,On-Air,Rocky Mtn VHF Soc,CCARC,2017-03-11,,,,,,8,,,,DN70HB,Denver metro area.,,,RMVHS repeaters,,,,,,,,,,,,,,,,217336,,,,,"Full-time to 449.55000 (W0IA) at Boulder, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,N7JJY,"Cheyenne, Chalk Bluffs",WY,OPEN,,Y,41.93,N,,56,34,41.02740097,-104.78399658,449.3,444.3,,,,Laramie,On-Air,WU7G,WRCG,2019-06-02,,,,,,,,yes,Open ↑ / Open ↓,DN71OA,"Laramie county wy, Northern Weld and Larimer County, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,
423,820,ATV,W0BTV,Boulder,CO,OPEN,,,42.84,SW,,08,18534,39.97848511,-105.27445221,423,1243,,,,Boulder,On-Air,BATVC,,2020-02-25,ATV,,,,,"dual-mode, NTSC analog &amp; DVB-T digital ATV",,,,,"Wide Area, WY border to DIA to SE Denver",,"ATV, Thurs, 3pm local",https://kh6htv.com/,,,,,,,,,,,,,ATN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,,42.85,W,ON - IDLE,08,120,40.37720108,-105.52100372,449.8,444.8,,,,Larimer,On-Air,Estes Valley ARC,CCARC,2017-08-05,123,,,,,E-Power,,,,,,7268,ARES D-10: Thu at 19:00.,,,,,,,,,,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.","Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",625757,,,,,"Full-time to 146.68500 (N0FH) at Estes Park, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,,42.87,SW,,08,13,39.97829819,-105.27500153,146.61,146.01,,,,Boulder,On-Air,Boulder Amateur Radio Club,CCARC,2019-08-23,100,,,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,,42.88,SW,,08,10,39.97800064,-105.27500153,448.9,443.9,,,,Boulder,On-Air,Boulder ARC,CCARC,2013-03-17,100,,,,,6,,,,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,CC,N0WAR,"Estes Park, Prospect Mtn",CO,OPEN,,D,42.9,W,"DMR BrandMeister Repeater in Estes Park, Colorado Wide area coverage of Estes Park, Colorado &amp; Rocky Mountain National Park. Static TG of 3171 on T.S. 2 Located @ KC0KBP QTH",08,17813,40.36059952,-105.51999664,147.24,147.84,,,,Larimer,On-Air,N0WAR,,2019-11-27,,yes,2,Brandmeister c Record retrieved from radioid.net,,Brandmeister Network,,,,DN70FI,Wide Area: Estes Park &amp; Rocky Mtn Nat Park,,,http://www.w0dmr.org,,310853,,,,,,,,,,,W0DMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,,43.06,SW,,08,14,39.97750092,-105.27899933,146.7,146.1,,,,Boulder,On-Air,Boulder Co ARC,CCARC,2013-03-17,100,,,,,6,,,,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",,,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,WE0FUN,"Denver, Green Valley Ranch",CO,OPEN,EA,,43.35,S,Node Offline,08,9765,39.79669952,-104.7480011,448.15,443.15,,,,Denver,On-Air,K0GUR,CCARC,2019-08-22,141.3,,,,,E-power (batt). 2 meter and 70cm channel steerable remote bases.,141.3,,,DM79pt,Small coverage of the East Denver area SW of DIA. Repeater Coverage Map,,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,k0jsc.com,,,,,,,,,,,,,,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list. The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,24340,,,,,Full-time to the The Fun Machine System .,,,,,,,,,,,29436,Listen Live,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,,43.59,WSW,,08,15670,40.1727,-105.468,147.03,147.63,,,,Boulder,On-Air,KI0HG,CCARC,2017-01-20,100,,,,,,,,,,,,,,,,,,,,,,,,,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,,44.08,SSW,ON - IDLE,08,8208,39.83670044,-105.03700256,449.3,444.3,,,,Adams,On-Air,N1UPS,CCARC,2017-04-24,100,,,,,,,,,,,3699,,,,,,,,,,,,,,,,,,43699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,,44.56,WSW,,08,13368,40.0633,-105.41,146.91,147.51,,,,Boulder,On-Air,,,2017-04-09,123,,,,,,127.3,,,,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,"Summer Tue at 19:30P, Winter 19:00.",http://goldhilltown.com/,,,,,,,,,,,,,"Town of Gold Hill, Colorado",,There is a MOU With BCARES for repeater use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC,K7PFJ,"Cheyenne, South",WY,OPEN,,D,44.9,NNW,,56,15672,41.06000137,-104.87999725,449.9375,444.9375,,,,Laramie,Off-Air,,WRCG,2020-02-04,,yes,7,RMHR c Record retrieved from radioid.net,,,,,,DN71NB,,,,https://www.rmham.org/wordpress/,,315603,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,,,,,,,1,2,Full-time to the Rocky Mountain Ham System .,,,,,,,,,RMHAM,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,48.38,S,,08,92,39.72940063,-104.83100128,448.5,443.5,,,,Denver,On-Air,Castle Rock Repeater Group,CCARC,2017-03-11,100,,,,,E-power.,,,,,Greater Denver area.,,,,,,,,,,,,,,,,,,,,,,,,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,48.39,S,,08,8202,39.72940063,-104.83200073,448.4,443.4,,,,Arapahoe,On-Air,,CCARC,2012-11-12,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,48.39,S,,08,8199,39.72940063,-104.83200073,448.275,443.275,,,,Arapahoe,On-Air,W0BG,CCARC,2013-01-05,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,Aurora,CO,OPEN,,,48.39,S,,08,8743,39.72940063,-104.83200073,449.95,444.95,,,,Arapahoe,On-Air,W9SL Owner,CCARC,2019-08-23,77,,,,,,77,,,,Primarily to the North along I-25 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,48.39,S,,08,16032,39.72940063,-104.83200073,448.825,443.825,,,,Arapahoe,On-Air,,,2017-12-13,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30584,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,48.45,SSW,ON - IDLE,08,12216,39.75519943,-104.98699951,447.175,442.175,,,,Denver,On-Air,W0JRL,CCARC,2015-05-15,100,,,,,,100,,,DM79MS,,,,,,,,,,,,,,,,,,Standard AllStar Link access commands.,,201712,,,,,,,,,,,,,,,,29997,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,,48.75,N,,56,27,41.12390137,-104.81900024,146.775,146.175,,,,Laramie,On-Air,Shy-Wy Amateur Radio Club,WRCG,2017-01-04,114.8,,,,,"E-power, WX.",,,,,,,Weather Net: Daily at 06:45. Shy-WY ARC: Sun at 07:00.,,,,,,,,,,,,,,,,,,,,,,"Full-time to 147.16500 (KC7SNO) at Albin, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,D,49.35,SE,,08,10783,40.25030136,-103.80000305,448.2,443.2,,,,Morgan,On-Air,,CCARC,2019-11-27,,yes,7,RMHR c Record retrieved from radioid.net,,Mixed Mode,,,,,,,,Rocky Mountain Ham Radio,,310812,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,NEAHR,,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,,,1,2,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,49.45,SSW,,08,75,39.73920059,-104.98400116,145.475,144.875,,,,Jefferson,On-Air,Intermountain Repeater Group,CCARC,2015-05-22,100,,,,,E-power.,,,,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,49.45,SSW,,08,79,39.73920059,-104.98400116,146.715,146.115,,,,Denver,On-Air,EARS,CCARC,2017-04-09,123,,,,,E-power.,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,,49.45,SSW,,08,91,39.73920059,-104.98400116,448.075,443.075,,,,Denver,On-Air,W0IG,CCARC,2017-03-11,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,,49.45,SSW,,08,93,39.73920059,-104.98400116,448.55,443.55,,,,Denver,Off-Air,HPRA,CCARC,2017-03-11,82.5,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,49.58,SSW,,08,8196,39.73759842,-104.98500061,447.925,442.925,,,,Denver,On-Air,RADOPS El Jebel Shriners,CCARC,2014-07-03,100,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,49.58,SSW,,08,8195,39.73759842,-104.98500061,447.9,442.9,,,,Denver,Off-Air,WB0TPT,CCARC,2017-03-11,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,49.58,SSW,,08,8212,39.73759842,-104.98500061,449.65,444.65,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,S,49.58,SSW,,08,8213,39.73759842,-104.98500061,449.675,444.675,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-16,,,,,,,,,,,,7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,131.8,KB7SWR,Cheyenne,WY,OPEN,,,49.86,N,,56,19,41.13999939,-104.81999969,145.235,144.635,,,,Laramie,On-Air,N7GT,WRCG,2019-10-23,131.8,,,,,,,,,,Local: Cheyenne.,,,,,,,,,,,,,,,,,,25,,,,,,"Full-time to 448.15000 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,91.5,KC7SNO,"Cheyenne, North Park",WY,OPEN,,,49.86,N,,56,26,41.13999939,-104.81999969,147.105,147.705,,,,Laramie,On-Air,ShyWyArc,WRCG,2019-02-15,91.5,,,,,,91.5,,,DN71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,100,N7JJY,Cheyenne,WY,OPEN,,,49.86,N,,56,15518,41.13999939,-104.81999969,449.9,444.9,,,,Laramie,On-Air,N7JJY,,2017-01-04,100,,,,,,100,,,,From 5 miles to 25 miles,,,,,,,,,,,,,,,,,,To be used as a portable repeater for ARES/RACES or as needed for specific needs of the Amateur Community in Laramie County or other areas as needed. Repeater will be on when needed otherwise offline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,CC,WY7EOC,Cheyenne,WY,OPEN,,D,49.86,N,,56,10803,41.13999939,-104.81999969,449.975,444.975,,,,Laramie,On-Air,WY7EOC,WRCG,2020-02-27,,yes,11,WyDMR c Record retrieved from radioid.net,,,,,,,,,,,,315601,,,,,,,,,,,Laramie County Emergency Management/WY7EOC,,See the website for TG/TS/CC programming info and link status/info,,,,,,,,,,,,,,,Wyoming DMR Project,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,50.49,S,,08,8207,39.69670105,-104.80999756,449.15,444.15,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,CC,KC7DHF,"Cheyenne, Old airport control tower",WY,OPEN,,D,50.74,N,"Cheyenne DMR Repeater. Please use ONLY TG 315615(Cheyenne Local), TG 31563 (Wy Svr Wx), and TG 31562 (Wyoming TAC 2) on Time Slot 2 (TS2). TG 3156 (Wyoming), TG 31560 (SE Wyoming ) and TG 31561 (Wyoming TAC 1) are on TS1. ALL OTHER TG connections will be directed to Time Slot 1 (TS1). Example of ALL OTHERS is any calls that are to a TG outside of Wyoming. Under special situations such as emergencies or special events TS2 may be used for TGs outside of Wyoming but those will be after repeater Admin approval.",56,8991,41.15299988,-104.81800079,448.95,443.95,,,,Laramie,On-Air,,WRCG,2019-12-12,,yes,15,Brandmeister c Record retrieved from radioid.net,BrandMeister,,,,,DN71OD,Local,,,,,315615,,,,,,,,,,,,,Brandmiester DMR only no analog.,,,,,,,,,,,,,,,Brandmeister,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,51.38,SSW,,08,9775,39.75049973,-105.1230011,147.21,147.81,,,,Jefferson,On-Air,Denver Water Amateur Radio Club,,2020-01-23,100,,,,,,100,,,DM79KS,,3241,,http://www.dwarc.com,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,51.38,SSW,,08,17349,39.75059891,-105.1230011,448.35,443.35,,,,Jefferson,On-Air,Denver Water Amateur Radio Club (DWARC),CCARC,2018-10-02,,,,,,,,yes,Open ↑ / Open ↓,,Denver Metro and surrounding,,,http://www.DWARC.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC,KB0VGD,"Golden, Table Mountain",CO,OPEN,,D,51.63,SSW,"KB0VGD North Table Mtn. Golden Wide area coverage. Please use ONLY TG 310811, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14273,39.7845993,-105.21600342,446.975,441.975,,,,Jefferson,On-Air,W0DMR,,2019-11-27,,yes,2,NoCo c Record retrieved from radioid.net,,,,,,,Denver Metro Area,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",http://www.w0dmr.org/,,310811,,,,,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310. TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,,52.96,SW,,08,72,39.8875,-105.426,145.31,144.71,,,,Gilpin,On-Air,Colorado Connection,CCARC,2019-08-15,88.5,,,,,10,123,,,,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,"Split tone. The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,,52.96,SW,,08,97,39.8875,-105.426,449.225,444.225,,,,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),CCARC,2015-11-03,141.3,,,,,Emergency Power,141.3,,,,Wide area.,,,,,,,,,,,,,,,,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,,53.49,SSW,,08,143,39.75559998,-105.22100067,448.125,443.125,,,,Jefferson,On-Air,Denver PD EEB,CCARC,2014-04-28,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,,53.49,SSW,,08,137,39.75559998,-105.22100067,448.975,443.975,,,,Jefferson,On-Air,FRG,CCARC,2019-09-06,123,,,,,Linkable VHF/UHF Remote Base,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42845,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,,53.5,SSW,,08,7170,39.75550079,-105.22100067,927.7875,902.7875,,,,Jefferson,On-Air,N0PYY,,2017-12-24,156.7,,,,,,,,,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,53.69,SSW,,08,5805,39.71620178,-105.12999725,447.825,442.825,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,D073,,,,,,,,,DM79KR,,,,,,,,,,,,,,,,,,,Now operating in Narrow Band mode with Digital Code Squelch. Please reset your programing to use: 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,54.27,SSW,,08,8204,39.70460129,-105.1230011,448.75,443.75,,,,Jefferson,Off-Air,,CCARC,2019-08-23,100,,,,,E-power.,100,,,DM79KQ,Local.,,,,,,,,,,,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,,54.51,SW,,08,201,39.9172,-105.501,224.6,223,,,,Gilpin,,W0RM,CCARC,2012-11-10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,
447.6,-5,CC,W1VAN,"Red Feather Lakes, Red Feather Lakes",CO,OPEN,,D,54.53,WNW,Static Talkgroups: 3171 - N. Colorado - Slot 2 31083 - CO Severe WX - Slot 1,08,17821,40.80759811,-105.61699677,447.6,442.6,,,,Larimer,On-Air,W1VAN,,2019-11-27,,yes,2,brandmeister c Record retrieved from radioid.net,,Brandmeister Network,,,,,Covers Red Feather Lakes Area,,,http://www.w0dmr.org,,310869,,,,,,,,,,,W0DMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
