Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Features,Web links,Coordination,Last update,Coverage,Sponsor,Links,Affiliate,Downlink Tone,IRLP,Notes,Nets,DMR Enabled,Color Code,Wide Network,Grid,AllStar,Talkgroups,Rocky Mountain Wide,Southern Colorado,EchoLink,On-air,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,Commands,Central Regional,Northern Colorado Regional,Location Photo,Feed,P25 Digital Enabled,NAC,Default Reflector,Eastern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,Local/Cluster,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local Network,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Colorado,Mountain Reg USA,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,0,W,yes,08,16605,37.8119,-107.665,145.325,144.725,127.3,San Juan,On-Air,Solar powered,http://www.sjcham.com,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,0,W,yes,08,16624,37.8119,-107.665,444,449,67,San Juan,On-Air,,http://www.sjcham.com,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,0,ESE,yes,08,210,37.8119,-107.664,447.525,442.525,127.3,San Juan,On-Air,E-power.,,CCARC,yes,Wide area.,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,2.3,SE,yes,08,209,37.7933,-107.629,147.375,147.975,156.7,San Juan,On-Air,13,http://www.sjcham.com,CCARC,yes,Wide area.,,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,11,SW,yes,08,208,37.6992,-107.806,147.27,147.87,127.3,San Juan,On-Air,E-power.,,CCARC,yes,Wide area.,KB5ITT,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,14.6,N,yes,08,16604,38.0228,-107.671,147.27,147.87,127.3,Ouray,On-Air,,http://www.sjcham.com,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,20.8,NW,yes,08,254,37.991,-107.972,449.7,444.7,107.2,San Miguel,On-Air,E-power.,,CCARC,yes,Wide Area via links - Western Colorado - Eastern Utah,Grand Mesa Repeater Association ( GMRA ),Full-time to the  GMRA Open System .,,107.2,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,24.3,NE,yes,08,16607,38.03,-107.315,147.135,146.535,123,Hinsdale,On-Air,E-power (solar),http://www.sjcham.com,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,30.3,SSW,yes,08,116,37.3828,-107.778,146.7,146.1,100,La Plata,On-Air,9,http://durangoarc.org/,CCARC,yes,Local.,Durango ARC,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,31.4,SSW,yes,08,16782,37.3669,-107.785,445.1375,440.1375,,La Plata,On-Air,,http://www.rmham.org/,CCARC,yes,,K2AD,,Rocky Mountain Ham Radio,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
