Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Coordination,Last update,Coverage,Features,Links,Notes,Downlink Tone,Op Status,Affiliate,Nets,Web links,EchoLink,IRLP,AllStar,Grid,Commands,DMR Enabled,Color Code,DMR ID,Wide Network,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,D-STAR Enabled,Node,Sources,Rocky Mountain Wide,Feed,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Local Network,YSF Digital Enabled,DG-ID,Devilshead Local,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,IPSC Network,Bandwidth,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,Location Photo,Worldwide,English,TAC 310,WIRES-X,Eastern Colorado,TAC 311,Colorado Chat,Mountain Reg USA,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Wyoming,WyLOCAL,Europe,Southwest USA
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,,0,SE,,08,8181,39.5505,-107.325,224.02,222.42,,Garfield,Unknown,SCARC,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,,0,SE,,08,8192,39.5505,-107.325,447.6,442.6,,Garfield,Unknown,Ski Country ARC (SCARC),CCARC,2012-11-12,40,50,"Full-time to 146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",Link Hub for 146.880.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,,0,SE,,08,13637,39.5505,-107.325,449.85,444.85,131.8,Garfield,,,CCARC,2018-01-15,Glenwood Springs,e-power Linked to GMRA Open System,Full-time to the GMRA Open System .,RACES net Wed 1930 Hrs Local,131.8,On-Air,Grand Mesa Repeater Assoc,Colorado State RACES Wed 1930 local,http://GMRA.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,,0.05,ESE,Node Offline,08,131,39.5506,-107.324,147.3,147.9,107.2,Garfield,,Roaring Fork Amateur Repeater Cooperative,CCARC,2012-11-10,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",8,,Single beep courtesy tone when linked and none when unlinked.,,Off-Air,,,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,9.06,SSW,,08,129,39.4264,-107.38,146.85,146.25,88.5,Garfield,,Colorado Connection,CCARC,2016-05-23,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",70,,Part of the Colorado Connection System of Repeaters,123,On-Air,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,9.06,SSW,,08,130,39.4264,-107.38,146.88,146.28,107.2,Garfield,,Ski Country ARC,CCARC,2012-11-10,,,"Full-time to 447.60000 (KI0G) at Glenwood Springs, CO .",,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,9.06,SSW,,08,132,39.4264,-107.38,447.1,442.1,107.2,Garfield,,Ski Country ARC,CCARC,2012-11-10,,,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,9.06,SSW,,08,255,39.4264,-107.38,449.6,444.6,107.2,Garfield,,,CCARC,2018-01-15,Wide area.,e-power Linked to GMRA open system,,,,On-Air,,,http://www.gmra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,,10.41,S,,08,35,39.4,-107.315,449.725,444.725,179.9,Garfield,,Roaring Fork Amateur Repeater Cooperative (RFARC),CCARC,2012-11-10,Wide area.,EchoLink.,,,,On-Air,,,,,3722,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,10.41,S,,08,259,39.4,-107.315,147.39,147.99,107.2,Garfield,,Roaring Fork Amateur Repeater Cooperative,,2016-07-14,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,14.95,SE,ON - IDLE,08,6009,39.4247,-107.097,447.15,442.15,136.5,Garfield,,,,2011-08-01,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,On-Air,,,,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,,24.4,WSW,Node Offline,08,200,39.4745,-107.772,146.76,146.16,107.2,Garfield,,"N0SWE, Roaring Fork Amateur Repeater Cooperative",CCARC,2015-06-03,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",E-power.,,,,Off-Air,,,,243117,,,DM69cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,,31.19,SE,,08,211,39.2131,-106.937,146.67,146.07,107.2,Pitkin,,Ski Country ARC,CCARC,2012-11-10,Wide area.,Linked.,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,,37.03,SE,,08,260,39.1761,-106.829,447.05,442.05,136.5,Pitkin,,Roaring Fork Amateur Repeater Cooperative,CCARC,2012-11-10,Aspen-Snowmass areas.,,,,136.5,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,,39.36,W,,08,253,39.4519,-108.052,449.8,444.8,107.2,Garfield,,,CCARC,2018-01-15,,8,,,,On-Air,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,40.15,WSW,,08,36,39.2406,-107.961,449.5,444.5,107.2,Mesa,,Grand Mesa Repeater Association (GMRA),CCARC,2016-07-01,,E-power.,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
