Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Coordination,Last update,Coverage,Features,Links,Notes,Downlink Tone,Op Status,Affiliate,Nets,Web links,EchoLink,IRLP,AllStar,Grid,Commands,DMR Enabled,Color Code,DMR ID,Wide Network,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,D-STAR Enabled,Node,Sources,Rocky Mountain Wide,Feed,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Local Network,YSF Digital Enabled,DG-ID,Devilshead Local,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,IPSC Network,Bandwidth,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,Location Photo,Worldwide,English,TAC 310,WIRES-X,Eastern Colorado,TAC 311,Colorado Chat,Mountain Reg USA,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Wyoming,WyLOCAL,Europe,Southwest USA
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,46.74,SW,,08,149,39.0667,-107.936,145.355,144.755,88.5,Mesa,,Colorado Connection,CCARC,2017-01-06,"Rifle to the east, several miles east of Green River, Utah to the west.",E-power.,Full-time to the Colorado Connection System .,Colorado Connection system of repeaters,123,On-Air,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,46.78,ESE,,08,241,39.6554,-106.457,147.345,147.945,88.5,Eagle,,Colorado Connection,CCARC,2017-01-06,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass. Map,9,Full-time to the Colorado Connection System .,,123,On-Air,,Central Colorado Traffic Net: Daily at 19:3030 Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,46.78,SW,,08,8763,39.0666,-107.937,449.65,444.65,151.4,Mesa,,Keri Washburn,CCARC,2016-10-28,Wide area coverage,NWS weather alert system.,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,151.4,On-Air,,,,,8162,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,N0SZ,Vail,CO,OPEN,,D,47.11,ESE,,08,16781,39.6348,-106.447,445.075,440.075,,Eagle,,K2AD,CCARC,2018-02-01,,,,,,On-Air,Rocky Mountain Ham Radio,,http://www.rmham.org/,,,,,,yes,7,310851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,49.26,SSW,,08,8179,38.8683,-107.592,147.33,147.93,107.2,Delta,,North Fork Repeater Assoc.,CCARC,2016-05-16,Wide area.,,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,51.01,ESE,,08,242,39.6403,-106.374,224.8,223.2,,Eagle,,ECHO,CCARC,2018-06-02,,,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,51.01,ESE,,08,243,39.6403,-106.374,449.9,444.9,107.2,Eagle,,ECHO,CCARC,,,,,,107.2,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,51.75,SW,,08,3755,38.9944,-107.973,447.35,442.35,107.2,Delta,Unknown,Grand Mesa Repeater Assoc (GMRA),CCARC,2012-11-10,,,,,,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,,51.75,ESE,,08,256,39.6061,-106.356,146.61,146.01,107.2,Eagle,,ECHO,CCARC,2012-11-10,,11,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,55.18,SW,,08,3745,38.9016,-107.926,147.195,147.795,107.2,Delta,Unknown,,,2018-04-04,Local.,,,,,,Colorado District 25 ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,55.18,SW,,08,3749,38.9016,-107.926,147.36,147.96,100,Delta,,W0ALC,CCARC,2019-08-26,,,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,55.18,SW,,08,3760,38.9016,-107.926,449.825,444.825,100,Delta,Unknown,W0ALC,CCARC,2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,57.81,WSW,,08,16721,39.0889,-108.227,446.9125,441.9125,,Mesa,,Bill Frost,,2018-01-09,"Grand Junction, I70",,,Brandmeister network,,On-Air,,,,,,,,,yes,1,310868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,58.86,SE,,08,10827,39.2508,-106.293,147.24,147.84,156.7,Lake,,,CCARC,2019-07-23,,,,,156.7,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,60.37,SW,,08,154,39.0539,-108.254,449.3,444.3,107.2,Mesa,,,CCARC,2018-01-16,Wide Area I-70 West Rifle to Western Utah,e-power Linked to GMRA Open System,,Closed IRLP out,107.2,On-Air,,RACES Wed 1930 hrs,http://www.gmra.org/,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,,60.89,NE,,08,166,40.0589,-106.388,147.075,147.675,88.5,Grand,,Colorado Connection,CCARC,2016-05-23,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70. Map,,Full-time to the Colorado Connection System .,Part of the Colorado Connection system of Repeaters,123,On-Air,,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,,63.58,SE,,08,172,39.2814,-106.186,145.445,144.845,88.5,Lake,,Colorado Connection,CCARC,2019-08-16,,E-power (solar).,Full-time to the Colorado Connection System .,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,On-Air,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,D,64.13,SE,,08,16783,39.2653,-106.182,445.05,440.05,,Lake,,K2AD,CCARC,2018-07-07,,,,,,On-Air,Rocky Mountain Ham Radio,,http://www.rmham.org/,,,,,,yes,7,310852,,RMHAM,"Open Talkgroup View Assignment TS TG Access Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,,67.68,N,,08,15577,40.5152,-107.546,146.97,146.37,88.5,Moffat,,Northwest Colorado Amateur Radio Association,CCARC,2017-01-06,,,Full-time to the Colorado Connection System .,,123,On-Air,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,,,67.68,N,,08,3740,40.5152,-107.546,145.265,144.665,107.2,Moffat,Unknown,NW Colorado ARC,CCARC,2012-11-12,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,68.77,ESE,,08,23,39.4817,-106.038,146.7,146.1,107.2,Summit,,GRARC,CCARC,2013-01-07,,E-power.,,,,On-Air,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,,69.64,NNE,,08,15579,40.485,-106.832,147.165,147.765,88.5,Routt,,Colorado Connection,,2017-01-06,,,Full-time to the Colorado Connection System .,,123,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,,69.64,NNE,,08,9770,40.485,-106.832,449.625,444.625,123,Routt,,"Colorado Connection Repeaters, Inc.",,2019-05-11,Local Steamboat Area,Statewide Linked System,,,123,On-Air,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net: Thu at 20:00 (All welcome). Statewide ARES Net: Sundays at 20:00.,http://colcon.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,,,69.66,NNE,,08,237,40.485,-106.831,147.21,147.81,107.2,Routt,,SSARC,CCARC,2014-09-27,,"Linked, WX.",,,107.2,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,AA0BF,"Fairplay, Sacramento Mountain",CO,OPEN,A,,70.18,SE,,08,5336,39.21,-106.087,447.125,442.125,103.5,Park,,AA0BF,CCARC,2019-03-08,"Covers Fairplay, Alma, and western South Park.",Emergency automatic generator.,,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",103.5,On-Air,"Park County Radio Club, AB0PC","When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,45840,DM69wf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,70.63,WSW,,08,147,39.1173,-108.522,145.175,144.575,107.2,Mesa,,,CCARC,2016-05-11,Greater grand Junction area.,"E-power,",,,,On-Air,,,,,3161,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC,N0SZ,"Breckenridge, Baldy",CO,OPEN,,D,72.04,ESE,,08,16780,39.459,-105.979,445.0875,440.0875,,Fremont,,K2AD,,2018-02-01,,,,,,On-Air,Rocky Mountain Ham Radio,,http://www.rmham.org/,,,,,,yes,7,310830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,72.66,SSE,,08,161,38.5458,-106.925,449.95,444.95,,Gunnison,Unknown,K5GF,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,72.66,SSE,,08,160,38.5458,-106.925,147.12,147.72,,Gunnison,,W0VTL,CCARC,2014-09-01,,E-power.,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,72.67,ESE,,08,24,39.4439,-105.969,147.39,147.99,88.5,Summit,,Colorado Connection,CCARC,2015-01-30,Wide area.,12,Full-time to the Colorado Connection System .,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",123,On-Air,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,Breckenridge Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,73.62,WSW,,08,152,39.0639,-108.55,147.39,147.99,107.2,Mesa,Unknown,KE0TY,CCARC,2012-11-10,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,"Grand Junction, 9 Mile, Hwy 141, Unaweep",CO,OPEN,A,,73.62,WSW,,08,261,39.0639,-108.55,146.82,146.22,107.2,Mesa,,,CCARC,2019-02-12,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,On-Air,,,,,,43554,,Enter *83 node# to link. *81 Unlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,,73.67,WSW,,08,8175,39.0639,-108.551,147.105,147.705,,Mesa,,K0SSI,CCARC,2013-04-20,,,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,,73.67,WSW,,08,8206,39.0639,-108.551,449,444,,Mesa,,KB0SW,CCARC,2015-08-03,,,,,107.2,On-Air,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,,73.67,WSW,,08,3757,39.0638,-108.551,447.5,442.5,114.8,Mesa,Unknown,KC0ARV,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,S,73.67,WSW,,08,11792,39.0639,-108.551,446.775,441.775,,Mesa,,,,2014-08-16,,,,,,On-Air,,,,,,,,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,,73.67,WSW,Node Offline,08,11793,39.0639,-108.551,449.775,444.775,173.8,Mesa,,,CCARC,2015-10-25,,,,,88.5,On-Air,,,,7572,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,73.67,WSW,,08,8167,39.0639,-108.551,145.22,144.62,107.2,Mesa,Unknown,KE0TY,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,74.71,WSW,,08,15581,39.052,-108.565,147.355,146.755,88.5,Mesa,,Colorado Connection,CCARC,2017-01-06,,,Full-time to the Colorado Connection System .,,123,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,77.17,SW,Node Offline,08,153,38.899,-108.496,448.15,443.15,100,Mesa,,,CCARC,2016-04-22,,,,,,On-Air,,,,312189,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,77.2,SSE,,08,15212,38.6125,-106.543,447.65,442.65,151.4,Gunnison,,KB0YNA,CCARC,2016-10-28,Gunnison valley and along East and west on Highway 50.,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,151.4,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,79.77,SSW,,08,12442,38.4783,-107.876,146.91,146.31,107.2,Montrose,,,CCARC,2014-12-13,,E-Power,,,107.2,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,79.77,SSW,,08,7953,38.4783,-107.876,146.79,146.19,107.2,Montrose,,KC0UXX,CCARC,2012-09-06,,E-power.,,,107.2,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,D,82.34,E,,08,15899,40.0861,-105.939,446.875,441.875,,Clear Creek,,,,2017-03-11,,,,,,On-Air,RMHAM,,http://www.rmham.org,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,,82.34,E,,08,145,40.0861,-105.939,146.82,146.22,123,Grand,Unknown,GCARA,CCARC,2014-09-06,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,82.52,SSW,,08,15213,38.3875,-107.674,448.65,443.65,,Montrose,,KB0YNA,,2016-10-11,Wide area.,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,151.4,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
