Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,EchoLink,IRLP,Web links,Coverage,Commands,DMR Enabled,Color Code,Wide Network,Notes,Bandwidth,Grid,Links,Nets,DMR ID,IPSC Network,Features,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Mixed-Mode,AllStar,D-STAR Enabled,Node,Sources,Feed,Talkgroup Network,Talkgroups,Worldwide,North America,English,TAC 310,DCI Bridge,Texas,COMM 1,Local/Cluster,Texas/Oklahoma Regional USA,Rocky Mountain Wide,Southern Colorado,Central Regional,Amarillo WIRES-X,TAC 311,Colorado,Colorado Chat,NORCAL 1,NORCAL 5150,Local or Reflector,UserActivated 1,UserActivated 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Location Photo,Northern Colorado Regional,Local Network,Devilshead Local
147.39,0.6,,N5AKN,Forgan,OK,OPEN,,,119.4,SE,,40,4411,36.907,-100.539,147.39,147.99,,,Beaver,Unknown,N5AKN,ORSI,,,,,,70,,,,,,,,,,,,WX.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,88.5,K5IS,Perryton,TX,OPEN,,,121.93,SE,,48,383,36.4,-100.803,146.64,146.04,88.5,,Ochiltree,Unknown,,TVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,K0JSC,Pueblo,CO,OPEN,,D,122.92,WNW,,08,10785,38.2307,-104.611,446.9875,441.9875,,,Pueblo,,,CCARC,2017-01-02,Off-Air,,,Rocky Mountain Ham Radio,,,yes,6,,,,,Full-time to the Colorado TRBO System .,,,,,,,,RMHAM,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,,122.92,WNW,,08,9527,38.2305,-104.611,447.275,442.275,100,100,Pueblo,,,CCARC,2017-01-06,On-Air,,,The Fun Machine,,,,,,"Moved to Pueblo. Now called ""Pueblo Metro""",,,Full-time to the The Fun Machine System .,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00.,,,,,,,The Fun Machine,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,,122.92,WNW,,08,3747,38.2306,-104.611,147.24,147.84,103.5,CSQ,Pueblo,,TARA,CCARC,2012-06-13,Off-Air,,,,Pueblo and Fremont Counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,Y,123.06,NNW,,08,17059,39.0542,-103.48,447,442,,,Lincoln,,Delbert Noakes (KC0VJD),CCARC,2019-04-24,On-Air,,,,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",,,,,,,,,,,,APRS repeater &amp; I-Gate / Weather station,yes,Open ↑ / Open ↓,30534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,,123.58,WNW,,08,192,38.2544,-104.609,146.655,146.055,123,CSQ,Pueblo,,K0ST,CCARC,2013-05-07,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,D,123.58,WNW,,08,8530,38.2544,-104.609,447.7,442.7,210.7,210.7,Pueblo,,,CCARC,2017-01-02,Off-Air,,7389,,,,yes,0,,,,,,,,,,,,,,Yes; analog capable.,29228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,,123.58,WNW,,08,189,38.2544,-104.609,449.725,444.725,100,,El Paso,,N0PWZ,CCARC,2012-11-10,On-Air,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,,124.93,WNW,,08,193,38.3925,-104.555,146.79,146.19,88.5,CSQ,Pueblo,,Pueblo HC,CCARC,2018-11-16,On-Air,,,Pueblo Ham Club,Wide area.,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,CC 88.5,ND0Q,Pueblo,CO,OPEN,,D,124.93,WNW,,08,198,38.3925,-104.555,447.95,442.95,88.5,,Pueblo,,Pueblo Ham Club,CCARC,2015-08-06,On-Air,,,Pueblo Ham Club,Wide area.,,,,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,,125.79,WNW,,08,195,38.3925,-104.555,224.26,222.66,88.5,CSQ,Pueblo,,Pueblo Ham Club,CCARC,2013-05-07,Off-Air,,,PHC repeaters,Wide area.,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,,125.82,WNW,,08,8173,38.3069,-104.62,147,147.6,,,Pueblo,,Carl Higbee,CCARC,2014-02-26,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,,126.06,WNW,,08,191,38.2544,-104.609,145.115,144.515,88.5,,Pueblo,,Pueblo Ham Club,CCARC,2012-11-12,Off-Air,,,,,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.87,-1.7,141.3,WA0OQA,Garden City,KS,OPEN,,,126.88,E,,20,15311,38.1028,-100.464,52.87,51.17,141.3,141.3,Finney,,SHARC,Kansas Repeater Council,2019-03-18,On-Air,,,,30,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CC 88.5,ND0Q,"Pueblo, 12 Mile Hill",CO,OPEN,,D,126.89,WNW,,08,194,38.2544,-104.609,146.88,146.28,88.5,CSQ,Pueblo,,Pueblo HC,CCARC,2017-10-24,On-Air,,,,Wide area.,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.4375,5,CC,KE5CJ,Stinnett,TX,OPEN,,D,127.1,SSE,,48,14414,35.827,-101.443,443.4375,448.4375,,,Hutchinson,,,,2017-09-21,On-Air,,,DMR MARC,Wide Area,,yes,14,,Time Slot #1 - Group Call 3 = DMR-MARC North America Time Slot #1 - Group Call 3777215= TRBO-6 Time Slot #1 - Group Call 3148= TX Statewide Time Slot #2 - Group Call 10 = West Texas Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,,W5WDR,Stinnett,TX,OPEN,W,Y,127.1,SSE,,48,13604,35.827,-101.443,444.8,449.8,,,Hutchinson,,Hutchinson County ARC,,2018-04-23,On-Air,,,,"Covers 55 mile radius of Borger, Texas (approximately).",,,,,Linked,,,"Full-time to 444.30000 (W5JTC) at Amarillo, TX .",Golden Spread Amateur Information Net. Tuesdays 6:30 pm Central,,,,yes,Open ↑ / Open ↓,21379,Panhandle Emergency Radio Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,,130.94,N,Node Offline,08,122,39.3033,-102.605,146.895,146.295,103.5,,Kit Carson,,Big Sandy ARC,CCARC,2018-04-01,On-Air,830619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,,131.14,WNW,ON - IDLE,08,7994,38.303,-104.734,448.975,443.975,100,100,Pueblo,,,CCARC,2017-03-11,On-Air,363976,7301,http://www.k0jsc.com,,,,,,Off air. Will return to service,,,Full-time to the The Fun Machine System .,,,,,,,,,,28368,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,,131.42,W,,08,168,37.505,-105.007,145.355,144.755,100,,Huerfano,,N0JPX,CCARC,2019-03-17,On-Air,,3974,,,,,,,,,,,,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,141.3,K0ECT,Elkader,KS,OPEN,,,132.37,NE,,20,4100,38.785,-100.921,444.3,449.3,141.3,141.3,Logan,,SKECT,Kansas Repeater Council,2018-07-12,On-Air,,,http://skect.org/default.aspx,,,,,,,,,Full-time to the SKECT System .,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,,132.41,W,ON - IDLE,08,13485,37.3407,-105.024,449.75,444.75,100,100,Las Animas,,N0ZSN,CCARC,2015-07-27,On-Air,363976,7301,The Fun Machine,,,,,,,,,Full-time to the The Fun Machine System .,,,,,,,,The Fun Machine,,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,CC 88.5,W0PHC,"Walsenburg, Badito Cone",CO,OPEN,,D,134.21,WNW,,08,18345,37.77199936,-105.02200317,447.6,442.6,88.5,88.5,Huerfano,,Pueblo Amateur Radio Club,CCARC,2019-12-12,Off-Air,,,http://www.puebloradio.org/,,,yes,,,Repeater off line due to road closure for the winter. (note entered 12/2019),6.25,DM77LS,,,,c Record retrieved from radioid.net,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,A,,137,NNW,,08,128,39.2688,-103.488,147.06,147.66,103.5,,Lincoln,,BSARC,CCARC,2019-07-21,On-Air,,,http://www.bigsandyradio.com/,"I-70, US-71, US-287, US-40, US-24",,,,,,,,,Big Sandy Net: Tues 19:00,,,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",,,,,,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0RTS,"Genoa, Limon",CO,OPEN,,D,137.84,NNW,,08,13581,39.2783,-103.5,446.7375,441.7375,,,Lincoln,,K0RTS KC0VJD,CCARC,2016-01-31,On-Air,,,,"I-70 H-40 H-287 Arriba, Genoa, Hugo, Limon 50 mile radius",,yes,8,,Colorado on TG700 Slot 1 Denver on TG720 Slot 2,,,,,,,,,,,RMHam,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,WA5CSF,Borger,TX,OPEN,E,,137.99,SSE,Node Offline,48,610,35.667,-101.397,147.06,147.66,,,Hutchinson,,Northwest Texas Amateur Radio Club,TVHFS,2017-02-16,Off-Air,387265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,88.5,W5WDR,Borger,TX,OPEN,W,Y,139.53,SSE,,48,10988,35.6425,-101.395,147,147.6,88.5,88.5,Hutchinson,,Hutchinson County ARC,,2017-09-21,On-Air,,,,,,,,,,,,"Full-time to 444.30000 (W5JTC) at Amarillo, TX .",Golden Spread Amateur Information Net. TUE at 18:30 Central,,,"E-Power, Linked",yes,Open ↑ / Open ↓,21339,Panhandle Emergency Radio Service,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.35,5,123,KY0J,Dodge City,KS,OPEN,EA,,140.94,ESE,Node Offline,20,17688,37.7524,-100.077,443.35,448.35,123,123,Ford,,KY0J,Kansas Repeater Council,2019-03-18,On-Air,6891,,,20,,,,,,,,,,,,,,,,,,27140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,110.9,N5GDR,Maxwell,NM,OPEN,A,,141.14,WSW,,35,16113,36.51,-104.91,145.21,144.61,110.9,110.9,Colfax,,"Gary Reynolds N5GDR, Dale Finley KB5NFT",NMFCC,2018-03-12,On-Air,,,,,,,,,,,,,,,,,,,,,,46298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.55,5,141.3,K0ECT,Dodge City,KS,OPEN,,,142.67,ESE,,20,4114,37.5312,-100.017,444.55,449.55,141.3,,Ford,,SKECT,Kansas Repeater Council,2018-07-12,On-Air,,,http://skect.org/default.aspx,,,,,,,,,Full-time to the SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.675,5,162.2,K0HAM,"Dodge City, K-Link",KS,OPEN,A,,143.35,ESE,,20,11669,37.766,-100.035,443.675,448.675,162.2,162.2,Ford,,"NV8Q, WV0S",Kansas Repeater Council,2019-02-16,On-Air,,,K-Link Repeater Network,Click for coverage map. 45 mi radius.,,,,,,,,Full-time to the K-Link System .,,,,Linked to K-Link Repeater Network. AllStar 46012.,,,,Affiliate of the K-Link Repeater Network,,46012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,123,K0ECT,Dodge City,KS,OPEN,,,144.18,ESE,,20,3974,37.7528,-100.017,147.03,147.63,123,,Ford,,SKECT,,2019-09-02,On-Air,,,,,,,,,,,,,RACES,,,Autopatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,123,K0ECT,Dodge City,KS,OPEN,,,144.18,ESE,,20,4041,37.7528,-100.017,442.375,447.375,123,,Ford,,,Kansas Repeater Council,2019-09-02,On-Air,,,,US-50,,,,,,,,,,,,Autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,88.5,W5WX,"Amarillo, KVII Tower (ABC 7)",TX,OPEN,,Y,146.27,SSE,,48,542,35.3748,-101.883,146.94,146.34,,,Potter,,Panhandle Amateur Radio Club,TVHFS,2019-08-24,On-Air,,,http://www.w5wx.net,Amarillo and points north.,,,,,,,,,Panhandle Amateur Information Net (PAIN): Sun at 20:00. Morning 2-Meter Net: M-F at 10:00,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,,147.15,WNW,,08,245,38.0411,-105.185,224.32,222.72,88.5,,Custer,,Pueblo Ham Club,CCARC,2016-07-14,Off-Air,,,PHC repeaters,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,Pueblo,CO,OPEN,,,147.15,WNW,,08,197,38.0411,-105.185,447.175,442.175,88.5,,Pueblo,,Pueblo HC,CCARC,2015-04-15,Off-Air,,,Pueblo Ham Club,Wide area: Southeast Colorado.,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,131.8,K5DST,"Logan, Ute Lake",NM,OPEN,,,147.96,SSW,,35,15643,35.3653,-103.411,147.34,147.94,131.8,,Quay,,Big Water ARA,NMFCC,2017-07-19,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,,148.96,NNW,,08,12167,39.2267,-104.09,147.105,147.705,107.2,107.2,Elbert,,ARES of Douglas and Elbert Counties,CCARC,2017-07-19,On-Air,,,http://www.w0cra.org/,"I-70, E. Arapahoe, Elbert, Lincoln Counties",,,,,,,,"Full-time to 448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,Linked to CRA 447.150 - Conifer,,,,Colorado Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,,150.04,NNW,Node Offline,08,9583,39.3703,-103.801,449.25,444.25,123,123,Elbert,,K0UPS Club c/o N1UPS,CCARC,2014-09-02,On-Air,3349,3349,,"I-70 Limon, Co area.",** [StarStar] Prefix for Echolink Node.,,,,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,,,,,,Full duplex node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,100,N7JNI,Wagon Mound,NM,OPEN,,,150.92,SW,,35,181,36.0089,-104.706,444.4,449.4,100,,Mora,,Mora ARC,NMFCC,2017-10-24,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,Y,151.13,NW,,08,13790,38.933,-104.609,447.2,442.2,,,El Paso,,GGARC,,2015-11-11,Testing,,,,"Falcon, Black Forest, Peyton Areas",,,,,,,,,,,,,yes,Open ↑ / Open ↓,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.13125,-0.6,CC,KD5ROK,"Borger, NW Well Field",TX,OPEN,,D,151.43,SSE,,48,11215,35.4678,-101.348,146.13125,"a The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,,Hutchinson,,,,2017-09-24,On-Air,,,,45,,yes,14,,,,,,,314848,,TS1 AMA-WIRES-X,,,,Brandmister,,,,,,,,"Open Talkgroup View Assignment TS TG Access Amarillo WIRES-X 1 31485 Full-Time Local/Cluster 2 2 Full-Time Texas 2 3148 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,2,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,156.7,AD0TP,Colorado Springs,CO,OPEN,,,152.26,NW,,08,42,38.8381,-104.821,146.85,146.25,156.7,103.5,El Paso,,AD0TP,CCARC,2019-02-17,On-Air,,,http://www.v7arc.com/,,,,,,Please email with comments/signal reports,,,,,,,,,,,Village 7 Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,Y,153.08,NW,,08,39,38.7,-104.9,145.265,144.665,,,El Paso,,Pikes Peak FM Association (http://PPFMA.ORG),CCARC,2019-03-07,On-Air,,,PPFMA Repeaters,Local. Good coverage of I25 corridor from Baptist Rd south to Fort Carson.,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.385,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,153.21,NW,,08,8088,38.7445,-104.862,145.375,144.77,,,El Paso,,Cheyenne Mountain Repeater Group (CMRG),CCARC,2018-07-15,Off-Air,,,http://www.cmrg.org,wide area,,,,,Repeater off air for now.,,,,,,,,,,,,,,yes,KC0CVU (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,153.23,NW,,08,8087,38.7451,-104.862,446.9125,441.9125,,,El Paso,,Cheyenne Mountain Repeater Group (CMRG),,2019-01-08,Off-Air,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,,,yes,KC0CVU (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,153.23,NW,,08,7171,38.745,-104.862,927.85,902.85,D114,,Teller,,CMRG,CCARC,2017-03-09,On-Air,,,http://www.cmrg.org,,,,,,,,,"Full-time to 147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,D,153.23,NW,,08,12355,38.7451,-104.862,445.0625,440.0625,,,El Paso,,Rocky Mountain Ham Radio,CCARC,2019-02-10,On-Air,,,,,,yes,1,,"This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,311,312,31200,31203,313,31327,314,3140,31400,31408, 3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",,,,,310857,,Rocky Mountain Ham Radio Brandmeister Sites,,,,N0SZ Colorado Springs Brandmeister,,,,,,,,"Open Talkgroup View Assignment TS TG Access TAC 310 2 310 PTT TAC 311 2 311 PTT Colorado 2 3108 Full-Time Colorado Chat 2 31080 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,2,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,153.23,NW,,08,8158,38.745,-104.862,53.13,51.43,107.2,107.2,El Paso,,Cheyenne Mountain Repeater Group (CMRG),CCARC,2017-03-09,On-Air,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,153.24,NW,,08,37,38.7452,-104.862,145.13,144.53,88.5,123,El Paso,,Colorado Connection,CCARC,2016-04-03,On-Air,,,,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,,,,,Linked into the Colorado Connection System,,,Full-time to the Colorado Connection System .,Colorado Traffic Net: Daily at 19:00. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00. Colorado Preparedness Net: Sat at 09:30,,,9,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,,153.69,NW,,08,47,38.7372,-104.88,147.345,147.945,107.2,107.2,El Paso,,,CCARC,2018-01-15,On-Air,,3854,http://www.cmrg.org/,Wide area.,,,,,,,,"Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to the Cheyenne Mtn Repeater Group System .",,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,,153.69,NW,ON - IDLE,08,38,38.7372,-104.88,145.16,144.56,107.2,107.2,El Paso,,Colorado Repeater Association,CCARC,2017-11-13,On-Air,347086,3990,http://www.w0cra.org/info/cosprgs.html#145160,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",,,,,Switch to this repeater at mile marker 170 on I-25.,,,"Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,"Closed autopatch, e-power.",,,,CRA VHF Link System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Eagle Nest, Touch Me Not",NM,OPEN,,,153.71,WSW,,35,15635,36.578,-105.198,147.04,147.64,141.3,,Colfax,,NMEMA ARC,NMFCC,2017-01-24,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,153.74,NW,,08,41,38.7372,-104.881,146.76,146.16,107.2,107.2,El Paso,,Cheyenne Mountain Repeater Group,CCARC,2018-01-15,On-Air,,,,,,,,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,153.74,NW,,08,269,38.7372,-104.881,448,443,107.2,,El Paso,,,CCARC,2018-01-15,On-Air,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,153.74,NW,,08,53,38.7372,-104.881,448.1,443.1,107.2,107.2,El Paso,,,CCARC,2018-01-15,On-Air,,,CMRG Repeaters,Wide area.,,,,,,,,"Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
