Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,EchoLink,IRLP,Web links,Coverage,Commands,DMR Enabled,Color Code,Wide Network,Notes,Bandwidth,Grid,Links,Nets,DMR ID,IPSC Network,Features,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Mixed-Mode,AllStar,D-STAR Enabled,Node,Sources,Feed,Talkgroup Network,Talkgroups,Worldwide,North America,English,TAC 310,DCI Bridge,Texas,COMM 1,Local/Cluster,Texas/Oklahoma Regional USA,Rocky Mountain Wide,Southern Colorado,Central Regional,Amarillo WIRES-X,TAC 311,Colorado,Colorado Chat,NORCAL 1,NORCAL 5150,Local or Reflector,UserActivated 1,UserActivated 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Location Photo,Northern Colorado Regional,Local Network,Devilshead Local
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,,105.04,W,,08,8180,37.1695,-104.501,147.375,147.975,100,100,Las Animas,,K0BV,CCARC,2017-10-24,Off-Air,,,,Good coverage along I-25 between CO/NM state line and 40 miles north.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,Y,105.04,W,,08,13499,37.1695,-104.501,447.375,442.375,100,,Las Animas,,KG5JL,CCARC,2018-04-04,On-Air,,,,"Covers I-25 from CO/NM border to north of Trinidad, CO.",,,,,,,,,,,,E-power (batt).,yes,Open ↑ / Open ↓,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,,105.86,WSW,,08,239,36.9974,-104.467,145.43,144.83,107.2,,Las Animas,,Cheyenne Mountain Repeater Group,CCARC,2017-10-24,On-Air,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,S,106.32,WSW,,35,6805,36.9925,-104.474,446.775,441.775,,,Colfax,,Cheyenne Mountain Repeater Group,NMFCC,2017-07-22,On-Air,,,http://www.cmrg.org/,,,,,,,,,,,,,,,,,,,,yes,KD0RDI (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,NM5ML,"Raton, Sierra Grande",NM,OPEN,,,106.39,WSW,,35,136,36.9033,-104.439,147.28,147.88,100,,Colfax,,,NMFCC,2018-01-07,On-Air,,,,Wide area.,,,,,,,,Full-time to the Mega-Link System .,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,,WK0DX,Plains,KS,OPEN,,,108.72,ESE,,20,3996,37.2933,-100.64,147.18,147.78,,,Meade,,WK0DX,Kansas Repeater Council,2014-07-07,On-Air,,,,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,S,109.12,W,,08,8086,37.1457,-104.571,446.775,441.775,,,Las Animas,,Cheyenne Mountain Repeater Group (CMRG),CCARC,2017-12-13,On-Air,,,,,,,,,,,,,,,,,,,,,,,yes,KD0RDI (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,,111.22,WNW,ON - IDLE,08,5369,38.034,-104.489,449.975,444.975,100,100,Pueblo,,K0JSC,CCARC,2017-03-11,On-Air,363976,7301,K0JSC dot Com,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass Repeater Coverage Map,,,,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,,DM78SA18,"Linkable to 145.49000 (WD0EKR) at Canon City, Fremont Peak, CO . Linkable to 145.46000 (WB0WDF) at Cripple Creek, CO . Linkable to 146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO . Linkable to 145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 146.88000 (ND0Q) at Pueblo, Deer Peak, CO . Linkable to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to the The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,,2,,,,,,28368,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.5,5,141.3,WK0DX,Plains,KS,OPEN,,,111.5,ESE,,20,11458,37.2603,-100.593,443.5,448.5,141.3,,Meade,,WK0DX,Kansas Repeater Council,2016-11-19,On-Air,,,,Wide Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.5,5,141.3,K0ECT,"Garden City, Tennis",KS,OPEN,I,,111.93,E,,20,4046,38.164,-100.801,442.5,447.5,141.3,141.3,Finney,,SKECT,Kansas Repeater Council,2018-07-12,On-Air,,3885,http://skect.org/default.aspx,,,,,,,,,Full-time to the SKECT System .,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
