Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,IRLP,Coordination,Last update,Bandwidth,Downlink Tone,DMR Enabled,Color Code,IPSC Network,Wide Network,Grid,Mixed-Mode,Notes,Web links,Coverage,Affiliate,Links,EchoLink,AllStar,Nets,Feed,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,DMR ID,Talkgroups,Rocky Mountain Wide,Southern Colorado,Location Photo,WIRES-X,TAC 310,TAC 311,Colorado,Colorado Chat,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,On-air,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Commands,Central Regional,Devilshead Local,Local/Cluster,REACT,CO-Park County,Local Network,Talkgroup Network,Northern Colorado Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,English,Europe,DCI Bridge,Southwest USA,Texas,COMM 1,Texas/Oklahoma Regional USA
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,,14.91,WSW,,08,168,37.50500107,-105.00700378,145.355,144.755,100,Huerfano,On-Air,N0JPX,"E-power, linked.",3974,CCARC,2019-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,CC 88.5,W0PHC,"Walsenburg, Badito Cone",CO,OPEN,,D,16.71,NW,,08,18345,37.77199936,-105.02200317,447.6,442.6,88.5,Huerfano,Off-Air,Pueblo Amateur Radio Club,,,CCARC,2019-12-12,6.25,88.5,yes,,c Record retrieved from radioid.net,,DM77LS,Yes; analog capable.,Repeater off line due to road closure for the winter. (note entered 12/2019),http://www.puebloradio.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,W0PHC,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,,20.44,E,,08,247,37.77190018,-104.45600128,146.73,146.13,88.5,Huerfano,On-Air,Pueblo Amateur Radio Club,6,,CCARC,2019-12-10,,,,,,,DM77SS,,,Pueblo Ham Club,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,,23.72,SW,ON - IDLE,08,13485,37.34069824,-105.02400208,449.75,444.75,100,Las Animas,On-Air,N0ZSN,,7301,CCARC,2015-07-27,,100,,,,,,,,The Fun Machine,,The Fun Machine,Full-time to the The Fun Machine System .,363976,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,,32.47,NNE,ON - IDLE,08,5369,38.0340004,-104.48899841,449.975,444.975,100,Pueblo,On-Air,K0JSC,2,7301,CCARC,2017-03-11,,100,,,,,DM78SA18,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,K0JSC dot Com,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass Repeater Coverage Map,,"Linkable to 146.79000 (W0PHC) at Pueblo, Baculite Mesa, CO . Linkable to 146.88000 (W0PHC) at Pueblo, 12 Mile Hill, CO . Linkable to 145.49000 (WD0EKR) at Canon City, Fremont Peak, CO . Linkable to 145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 145.46000 (WB0WDF) at Cripple Creek, CO . Full-time to the The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",363976,28368,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,,34.95,SSE,,08,8180,37.16949844,-104.50099945,147.375,147.975,100,Las Animas,Off-Air,K0BV,,,CCARC,2017-10-24,,100,,,,,,,,,Good coverage along I-25 between CO/NM state line and 40 miles north.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,Y,34.95,SSE,,08,13499,37.16949844,-104.50099945,447.375,442.375,100,Las Animas,On-Air,KG5JL,E-power (batt).,,CCARC,2018-04-04,,,,,,,,Yes; analog capable.,,,"Covers I-25 from CO/NM border to north of Trinidad, CO.",,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,,34.98,SSE,,08,240,37.16939926,-104.5,449.6,444.6,107.2,Las Animas,Off-Air,Cheyenne Mtn Rptr Grp,E-power.,,CCARC,2017-10-24,,,,,,,,,,CMRG Repeaters,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,S,35,SSE,,08,8086,37.14569855,-104.57099915,446.775,441.775,,Las Animas,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,CCARC,2017-12-13,,,,,,,,,,,,,,,,,,,,yes,KD0RDI (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,,36.31,NW,,08,245,38.04109955,-105.18499756,224.32,222.72,88.5,Custer,Off-Air,Pueblo Ham Club,11,,CCARC,2016-07-14,,,,,,,DM78JA,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,W0PHC,Pueblo,CO,OPEN,,,36.31,NW,,08,197,38.04109955,-105.18499756,447.175,442.175,88.5,Pueblo,Off-Air,Pueblo Amateur Radio Club,11,,CCARC,2019-12-10,,,,,,,DM78JA,,,http://www.puebloradio.org/,Wide area: Southeast Colorado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CC 88.5,W0PHC,"Pueblo, 12 Mile Hill",CO,OPEN,,D,40.47,N,,08,194,38.20700073,-104.70700073,146.88,146.28,88.5,Pueblo,On-Air,Pueblo Amateur Radio Club,E-power.,,CCARC,2019-12-10,,,yes,0,c Record retrieved from radioid.net,,DM78pe,Yes; analog capable.,,http://www.puebloradio.org/,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,,42.89,NNE,,08,9527,38.23049927,-104.61100006,447.275,442.275,100,Pueblo,On-Air,,,,CCARC,2017-01-06,,100,,,,,DM78QF,,"Moved to Pueblo. Now called ""Pueblo Metro""",The Fun Machine,,The Fun Machine,Full-time to the The Fun Machine System .,,,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00.,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,,42.9,NNE,,08,3747,38.23059845,-104.61100006,147.24,147.84,103.5,Pueblo,Off-Air,TARA,,,CCARC,2012-06-13,,,,,,,DM78QF,,,,Pueblo and Fremont Counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
