Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Affiliate,Features,Mixed-Mode,Notes,Last update,Sponsor,Links,EchoLink,IRLP,Nets,Web links,Coordination,Bandwidth,AllStar,Feed,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,On-air,Commands,Local/Cluster,Central Regional,Colorado,REACT,CO-Park County,D-STAR Enabled,Node,Sources,TAC 310,TAC 311,Colorado Chat,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Location Photo,Devilshead Local,Local Network,Northern Colorado Regional,Talkgroup Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,English,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,N. Colorado,Mountain Reg USA,Worldwide English
447.6,-5,CC 88.5,W0PHC,"Walsenburg, Badito Cone",CO,OPEN,,D,81.94,W,,08,18345,37.77199936,-105.02200317,447.6,442.6,88.5,88.5,,,,Huerfano,DM77LS,Off-Air,,,,Yes; analog capable.,Repeater off line due to road closure for the winter. (note entered 12/2019),2019-12-12,Pueblo Amateur Radio Club,,,,,http://www.puebloradio.org/,CCARC,6.25,,,yes,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,,84.96,SW,,08,239,36.99739838,-104.46700287,145.43,144.83,107.2,,,,,Las Animas,,On-Air,,,,,,2017-10-24,Cheyenne Mountain Repeater Group,,,,,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,S,85.46,SW,,35,6805,36.99250031,-104.47399902,446.775,441.775,,,,,,Colfax,DM76SX,On-Air,,,,,,2017-07-22,Cheyenne Mountain Repeater Group,,,,,http://www.cmrg.org/,NMFCC,,,,,,,,,,,,,,,,,,,yes,KD0RDI (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,N5BOP,Des Moines,NM,OPEN,,,86.05,S,,35,73,36.76110077,-103.83399963,146.85,146.25,100,,,,,Union,,Off-Air,Wide area.,,E-power.,,,2015-08-13,Sierra Grande RC,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,77,N5BOP,Des Moines,NM,OPEN,,,86.05,S,,35,74,36.76110077,-103.83399963,444.8,449.8,77,,,,,Union,,Off-Air,Wide area.,,E-power.,,,2015-08-13,Sierra Grande Repeater Club,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.175,0.6,141.3,NM5EM,"Des Moines, Sierra Grande",NM,OPEN,,,86.05,S,,35,15638,36.76110077,-103.83399963,147.175,147.775,141.3,,,,,Union,,On-Air,,,,,,2017-01-22,NMEMA ARC,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,,86.54,WSW,,08,168,37.50500107,-105.00700378,145.355,144.755,100,,,,,Huerfano,,On-Air,,,"E-power, linked.",,,2019-03-17,N0JPX,,,3974,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,Y,87.24,NW,,08,13790,38.93299866,-104.60900116,447.2,442.2,,,yes,Open ↑ / Open ↓,,El Paso,,Testing,"Falcon, Black Forest, Peyton Areas",Garden of the Gods Amateur Radio Club,,,,2015-11-11,GGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,156.7,AD0TP,Colorado Springs,CO,OPEN,,,87.79,NW,,08,42,38.83969879,-104.7437973,146.85,146.25,156.7,103.5,,,,El Paso,DM78PU,On-Air,Greater Colorado Springs Area,Village 7 Amateur Radio Club,,,Please email with comments/signal reports,2020-02-10,AD0TP,,,,,http://www.v7arc.com/,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,Y,88.55,NW,,08,39,38.70000076,-104.90000153,145.265,144.665,,,yes,Open ↑ / Open ↓,,El Paso,DM78NQ,On-Air,Local. Good coverage of I25 corridor from Baptist Rd south to Fort Carson.,,,,,2019-03-07,Pikes Peak FM Association (http://PPFMA.ORG),,,,,PPFMA Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.385,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,88.62,NW,,08,8088,38.74449921,-104.86199951,145.385,144.785,,,,,,El Paso,DM78NR,Testing,Wide area,,,,"This repeater is operational and linked to XRF720. Currently, INBOUND traffic is making it in but OUTBOUND traffic is not getting to the gateway or reflector. We hope to have this resolved soon.",2019-12-29,Cheyenne Mountain Repeater Group (CMRG),,,,,http://www.cmrg.org,CCARC,,,,,,,,,,,,,,,,,,,yes,KC0CVU (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,88.64,NW,,08,37,38.74520111,-104.86199951,145.13,144.53,88.5,123,,,,El Paso,,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,,9,,Linked into the Colorado Connection System,2019-11-11,Colorado Connection,Full-time to the Colorado Connection System .,,,Colorado Traffic Net: Daily at 19:00. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00. Colorado Preparedness Net: Sat at 09:30,,CCARC,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,88.64,NW,,08,8087,38.74509811,-104.86199951,446.9125,441.9125,,,,,,El Paso,,Off-Air,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,2019-12-28,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,,,,,,,,,,,,yes,KC0CVU (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,88.64,NW,,08,7171,38.74499893,-104.86199951,927.85,902.85,D114,,,,,Teller,DM78NR,On-Air,,,9,,,2017-03-09,CMRG,"Full-time to 147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,http://www.cmrg.org,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,D,88.64,NW,"Welcome to The RMHAM DMR Machine, located on Cheyenne Mountain above Colorado Springs This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 and 3740 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,310895,311,312,31200,31203,313,31327,314,3140,31400,31408,3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",08,12355,38.74509811,-104.86199951,445.0625,440.0625,,,,,,El Paso,,On-Air,,N0SZ Colorado Springs Brandmeister,Rocky Mountain Ham Radio Brandmeister Sites,,"This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,311,312,31200,31203,313,31327,314,3140,31400,31408, 3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",2019-11-27,Rocky Mountain Ham Radio,,,,,,CCARC,,,,yes,1,310857,RMHAM c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access TAC 310 2 310 PTT TAC 311 2 311 PTT Colorado 2 3108 Full-Time Colorado Chat 2 31080 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
