Frequency,Offset,Tone     ,Call  ,Location                                         ,ST/PR,Use    ,VOIP,DGTL,Mi   ,Dir,                          ,state_id,ID   ,Latitude,Longitude,Downlink ,Uplink   ,Uplink Tone,County      ,On-air ,Sponsor                                                   ,Features                                                                                             ,Coordination           ,Last update,Downlink Tone,Op Status,Coverage                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Links                                                                                                                                                  ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Nets                                                                                                                                                    ,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate                                       ,Web links                                               ,EchoLink,IRLP,Talkgroups                                                                                                                                                                                              ,Rocky Mountain Wide,Northern Colorado Regional,Central Regional,AllStar,YSF Digital Enabled,DG-ID          ,WIRES-X,Commands                                                                                                                                                                                                                                                               ,Feed       ,Grid    ,Mixed-Mode          ,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node                       ,Sources               ,Local Network  ,Bandwidth,Talkgroup Network  ,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,TAC 310,Mountain Reg USA,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,RX Location,Gunbarrel  ,Lousville  ,Lyons      ,Louisville #2,Worldwide,English,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Local or Reflector,Kansas,CKRG,KansasLink,Wyoming,WyLOCAL,Location Photo,BYRG
442.175  ,5     ,156.7    ,K0WPM ,Tribune                                          ,KS   ,OPEN   ,    ,    ,113.8,SSE,                          ,20      ,15098,38.4697 ,-101.753 ,442.175  ,447.175  ,156.7      ,Greeley     ,       ,WKARC                                                     ,                                                                                                     ,                       ,2019-05-07 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147.105  ,0.6   ,107.2    ,WA0DE ,Simla                                            ,CO   ,OPEN   ,    ,    ,115.3,WSW,                          ,08      ,12167,39.2267 ,-104.09  ,147.105  ,147.705  ,107.2      ,Elbert      ,       ,ARES of Douglas and Elbert Counties                       ,Linked to CRA 447.150 - Conifer                                                                      ,CCARC                  ,2017-07-19 ,107.2        ,On-Air   ,"I-70, E. Arapahoe, Elbert, Lincoln Counties"                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Full-time to
448.42500 (W0CRA) at Larkspur, Westcreek, CO ."                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,Colorado Repeater Association                   ,http://www.w0cra.org/                                   ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
449.9    ,-5    ,107.2    ,N1FSX ,Punkin Center                                    ,CO   ,OPEN   ,    ,    ,115.6,SW ,                          ,08      ,7395 ,38.852  ,-103.7   ,449.9    ,444.9    ,107.2      ,Lincoln     ,       ,                                                          ,                                                                                                     ,CCARC                  ,2012-07-20 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,BSAR                                            ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
146.88   ,-0.6  ,162.2    ,N0KOM ,"Lenora, K-Link"                                 ,KS   ,OPEN   ,A   ,    ,123.7,SE ,                          ,20      ,3956 ,39.573  ,-99.986  ,146.88   ,146.28   ,162.2      ,Norton      ,       ,N0KOM                                                     ,"e-power, K-Link."                                                                                   ,Kansas Repeater Council,2019-03-26 ,162.2        ,On-Air   ,Click for coverage map.  50 mi radius.                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Full-time to the  K-Link System .                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Sat @ 21:00 local                                                                                                                                       ,           ,          ,      ,            ,                                                ,K-Link Repeater Network                                 ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,49527  ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,Listen Live,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147      ,-0.6  ,103.5    ,N0NEB ,Harrisburg                                       ,NE   ,OPEN   ,    ,    ,126.4,NW ,                          ,31      ,58   ,41.49   ,-103.755 ,147      ,146.4    ,103.5      ,Banner      ,       ,Tri-City Radio Amateur Club                               ,                                                                                                     ,                       ,2017-09-07 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
449.925  ,-5    ,114.8    ,K0EB  ,Hudson                                           ,CO   ,OPEN   ,EI  ,    ,128  ,W  ,Node Offline              ,08      ,8216 ,40.0202 ,-104.642 ,449.925  ,444.925  ,114.8      ,Weld        ,       ,K0EB                                                      ,                                                                                                     ,CCARC                  ,2018-12-01 ,114.8        ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,K0UPS Club                                      ,                                                        ,448035  ,8035,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,DN70    ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
146.7    ,-0.6  ,141.3    ,WA0OQA,Scott City                                       ,KS   ,OPEN   ,A   ,Y   ,128.5,SSE,                          ,20      ,3940 ,38.4846 ,-100.979 ,146.7    ,146.1    ,141.3      ,Scott       ,       ,Sand Hills ARC                                            ,E-power.                                                                                             ,Kansas Repeater Council,2018-09-16 ,141.3        ,On-Air   ,"Scott, Finney and Kearny counties"                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"Full-time to
146.91000 (WA0OQA) at Garden City, KS ."                                                                                                               ,Comet GP-6 @ 125'.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Tue at 20:30.                                                                                                                                           ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,48589  ,yes                ,Open ↑ / Open ↓,       ,                                                                                                                                                                                                                                                                       ,           ,DM98    ,Yes; analog capable.,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147.135  ,0.6   ,         ,W0SOK ,Cozad                                            ,NE   ,OPEN   ,    ,    ,129.5,E  ,                          ,31      ,30   ,40.724  ,-99.913  ,147.135  ,147.735  ,           ,Dawson      ,       ,Heartland Amateur Radio Association                       ,E-power.                                                                                             ,                       ,2017-06-29 ,             ,Off-Air  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Wed 2030                                                                                                                                                ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
146.745  ,-0.6  ,         ,KD0AN ,Edison                                           ,NE   ,OPEN   ,E   ,    ,129.9,ESE,ON        - IDLE          ,31      ,12982,40.2771 ,-99.7767 ,146.745  ,146.145  ,           ,Furnas      ,       ,                                                          ,                                                                                                     ,WB0CMC                 ,2017-01-15 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,882742  ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
927.8375 ,-25.8 ,100      ,KI0HC ,Parker                                           ,CO   ,OPEN   ,    ,    ,129.9,WSW,                          ,08      ,14732,39.5391 ,-104.569 ,927.8375 ,902.025  ,           ,Douglas     ,       ,                                                          ,                                                                                                     ,CCARC                  ,2018-02-21 ,             ,On-Air   ,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!                                                                                                                                                                                                                                             ,                                                                                                                                                       ,"Offset is -25.8125
In Nac 294 Out Nac 293"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,yes                 ,294,yes              ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
444.95   ,5     ,100      ,W0MI  ,"Scott City, K-Link"                             ,KS   ,OPEN   ,    ,    ,130.3,SSE,                          ,20      ,6463 ,38.4809 ,-100.924 ,444.95   ,449.95   ,100        ,Scott       ,       ,SHARC                                                     ,Internet Linked to K-Link Repeater Network.                                                          ,Kansas Repeater Council,2019-07-27 ,100          ,Off-Air  ,Click for coverage map.  35 mi radius.                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Full-time internet linked to the  K-Link System .                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,http://ks0lnk.net                                       ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147      ,0.6   ,100      ,KC0KWD,LaSalle                                          ,CO   ,OPEN   ,I   ,Y   ,131.7,W  ,                          ,08      ,157  ,40.2612 ,-104.706 ,147      ,147.6    ,           ,Weld        ,       ,Weld ARS                                                  ,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016."                             ,CCARC                  ,2019-05-06 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Tuesday Night club net                                                                                                                                  ,           ,          ,      ,            ,                                                ,                                                        ,        ,3839,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,yes                ,Open ↑ / Open ↓,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
448.475  ,-5    ,100      ,KC0KWD,Greeley                                          ,CO   ,OPEN   ,I   ,    ,131.7,W  ,                          ,08      ,158  ,40.2612 ,-104.706 ,448.475  ,443.475  ,100        ,Weld        ,       ,Weld Amateur Radio Society (WARS)                         ,                                                                                                     ,CCARC                  ,2019-05-06 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,http://www.warsco.org/                                  ,        ,3839,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
447.625  ,-5    ,100      ,KE0SJ ,Lochbuie                                         ,CO   ,OPEN   ,    ,    ,132  ,W  ,                          ,08      ,9771 ,40.0072 ,-104.716 ,447.625  ,442.625  ,100        ,Adams       ,       ,Intermountain Repeater Group                              ,                                                                                                     ,                       ,2015-05-23 ,             ,On-Air   ,Local/North Metro                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,Intermountain Repeater Group                            ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
