Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,County,On-air,Coverage,Sponsor,Affiliate,Nets,Web links,Last update,Uplink Tone,Local Network,Op Status,Coordination,IRLP,Downlink Tone,Features,EchoLink,Notes,Links,YSF Digital Enabled,DG-ID,WIRES-X,AllStar,Talkgroups,Southern Colorado,Devilshead Local,Commands,Mixed-Mode,Grid,Feed,P-25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Rocky Mountain Wide,Central Regional,Northern Colorado Regional,Eastern Colorado,TAC 310,TAC 311,Colorado,Colorado Chat,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Bandwidth,Worldwide,English,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local or Reflector,Kansas,CKRG,KansasLink,Texas,COMM 1,Texas/Oklahoma Regional USA,Amarillo WIRES-X,BYRG,NORCAL 1,NORCAL 5150,UserActivated 1,UserActivated 2,CAL 1,Hytera USA,Parrott,Audio Test,Data,DMRX 1,Utah Statewide 2,USA,Utah,PA (PA-525),SNARS,All TG's Off,All TG's On,Local
147.315,0.6,CC1,N0KEG,Centennial,CO,OPEN,,DS,3.3785928807883105,WSW,,08,17676,39.5807,-104.877,147.315,147.915,yes,N0KEG (C) Repeater,"jfindu lookup 
/  dstar-users lookup",yes,1,,Arapahoe,Unknown,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",N0KEG,Parker Radio Association,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,https://www.parkerradio.org,2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC1,N0KEG,Parker,CO,OPEN,,D,10.447091076658081,WSW,,08,17696,39.5186,-104.761,448.05,443.05,,,,yes,1,BrandMeister,Douglas,Unknown,,,,,,2019-03-20,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,6.720338915996993,WSW,,08,8207,39.6967,-104.81,449.15,444.15,yes,WR0AEN (B),"jfindu lookup 
/  dstar-users lookup",,,,Arapahoe,,,Colorado Amateur Repeater Network (CARN),,,,2012-11-12,,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,8.942819684427409,WSW,,08,8212,39.7376,-104.985,449.65,444.65,yes,WR0AEN (B),"jfindu lookup 
/  dstar-users lookup",,,,Denver,,,Colorado Amateur Repeater Network (CARN),,,,2012-11-16,,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,S,8.942819684427409,WSW,,08,8213,39.7376,-104.985,449.675,444.675,yes,WR0AEN (B),"jfindu lookup 
/  dstar-users lookup",,,,Denver,,,Colorado Amateur Repeater Network (CARN),,,,2012-11-16,,,On-Air,CCARC,7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,31.130016165126683,WSW,,08,8250,39.6732,-105.48,449,444,,,,,,,Clear Creek,,,CARN,,,,2017-03-11,136.5,,On-Air,CCARC,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,S,55.92919226546459,WNW,,08,8210,40.4233,-104.709,449.325,444.325,yes,WR0AEN (B),"jfindu lookup 
/  dstar-users lookup",,,,Weld,,,Colorado Amateur Repeater Network (CARN),,,,2012-11-12,,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,7.29811313152278,WSW,,08,274,39.558,-104.794,448.7,443.7,,,,,,,Douglas,,Local North Parker only,,,,,2018-09-07,146.2,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,7.447425002945356,WSW,ON        - IDLE,08,8741,39.628,-104.758,145.19,144.59,,,,,,,Arapahoe,,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,2018-02-01,151.4,,On-Air,,,131.8,Autopatch (please contact trustee).,10079,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,7.904986831952039,WSW,,08,8202,39.7294,-104.832,448.4,443.4,,,,,,,Arapahoe,,,,,,,2012-11-12,94.8,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
