Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Comment,User CTCSS
351,147.39000,147.99000,600 kHz,Plus,Auto,NJU Kenton,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,35 18214 347.00 NM Union Kenton WB5NJU,1500 Hz
352,147.16000,147.76000,600 kHz,Plus,Auto,NKK Panguitch Mount Dutton,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,49 148 654.00 UT Garfield Panguitch Mount Dutton N7NKK,1500 Hz
353,145.19000,144.59000,600 kHz,Minus,Auto,OBA Aurora,Large,T Sql,71.9 Hz,023,High,Off,Auto,Off,8 8741 17.00 CO Arapahoe Aurora N0OBA,1500 Hz
354,147.02000,147.62000,600 kHz,Plus,Auto,OGM Fish Haven Laketown Radio Si,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,16 12424 605.00 ID Bear Lake Fish Haven Laketown Radio Site K7OGM,1500 Hz
355,147.02000,147.62000,600 kHz,Plus,Auto,OGM Laketown Bear Lake,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,49 43 589.00 UT Rich Laketown Bear Lake K7OGM,1500 Hz
356,146.98500,146.38500,600 kHz,Minus,Auto,OMC Lakin,Large,T Sql,156.7 Hz,023,High,Off,Auto,Off,20 3967 370.00 KS Kearney Lakin N0OMC,1500 Hz
357,147.33000,147.93000,600 kHz,Plus,Auto,OMT Lusk 77 Hill,Large,Tone,103.5 Hz,023,High,Off,Auto,Off,56 16404 361.00 WY Niobrara Lusk 77 Hill KG7OMT,1500 Hz
358,146.79000,146.19000,600 kHz,Minus,Auto,OPD Montrose,Large,T Sql,107.2 Hz,023,High,Off,Auto,Off,8 7953 283.00 CO Montrose Montrose KD5OPD,1500 Hz
359,146.91000,146.31000,600 kHz,Minus,Auto,OQA Garden City,Large,T Sql,141.3 Hz,023,High,Off,Auto,Off,20 3959 398.00 KS Finney Garden City WA0OQA,1500 Hz
360,146.70000,146.10000,600 kHz,Minus,Auto,OQA Scott City,Large,T Sql,141.3 Hz,023,High,Off,Auto,Off,20 3940 365.00 KS Scott Scott City WA0OQA,1500 Hz
361,146.70000,146.10000,600 kHz,Minus,Auto,OUR Belen,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 19844 574.00 NM Valencia Belen KC5OUR,1500 Hz
362,442.70000,437.70000,5.00 MHz,Minus,Auto,OUR Belen,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 19845 574.00 NM Valencia Belen KC5OUR,1500 Hz
363,145.43000,144.83000,600 kHz,Minus,Auto,OUR Los Lunas Meadow Lake,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 45 553.00 NM Valencia Los Lunas Meadow Lake KC5OUR,1500 Hz
364,146.76000,146.16000,600 kHz,Minus,Auto,OZU Rawlins,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,56 43 309.00 WY Carbon Rawlins KC7OZU,1500 Hz
365,146.89500,146.29500,600 kHz,Minus,Auto,PCA Loomis,Large,T Sql,123.0 Hz,023,High,Off,Auto,Off,31 38 473.00 NE Phelps Loomis K0PCA,1500 Hz
366,146.84000,146.24000,600 kHz,Minus,Auto,PCE Salt Lake City Jordan Vly Ho,Large,None,100.0 Hz,023,High,Off,Auto,Off,49 149 607.00 UT Salt Lake Salt Lake City Jordan Vly Hospital N7PCE,1500 Hz
