Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,WIRES-X,County,Op Status,Coverage,Sponsor,Affiliate,Features,Nets,Web links,Last update,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,On-air,Coordination,Uplink Tone,Downlink Tone,YSF Digital Enabled,DG-ID,Links,Grid,IRLP,EchoLink,AllStar,Commands,Notes,Local Network,Feed,Mixed-Mode,Analog Bandwidth,P-25 Digital Enabled,NAC,Default Reflector,Talkgroups,Southern Colorado,Devilshead Local,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Talkgroup Network,Rocky Mountain Wide,Central Regional,Northern Colorado Regional,NXDN Enabled,RAN,NXDN Bandwidth,Bandwidth,Eastern Colorado,Worldwide,North America,WW English FT,TAC 310,Local/Cluster,N. Colorado,TAC 311,Colorado,Colorado Chat,DCI Bridge,Mountain Reg USA,Worldwide English FT,Location Photo,Wyoming,WyLOCAL
448.4,-5,,KE0VH,"Aurora, 225 and Parker Road",CO,OPEN,W,,2.34,E,,08,18892,39.661294,-104.860203,448.4,443.4,46361,Arapahoe,On-Air,"Yaesu Fusion connected to Skyhublink, Denver, Aurora, Parker, Centennial",www.skyhublink.com,Wheat Ridge,Yaesu Fusion Digital Only,Monday Night 19:00 SkyHubLink NET,http://www.skyhublink.com,2020-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.315,0.6,CC,N0KEG,Centennial,CO,OPEN,,D,4.51,SSE,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17676,39.58069992,-104.8769989,147.315,147.915,,Arapahoe,,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",N0KEG,Parker Radio Association,,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,https://www.parkerradio.org,2019-11-27,1,N0KEG (C) Repeater,jfindu lookup / dstar-users lookup,1,1,310759,Brandmeister c Record retrieved from radioid.net,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,5.93,NE,,08,8207,39.69670105,-104.80999756,449.15,444.15,,Arapahoe,On-Air,,Colorado Amateur Repeater Network (CARN),,,,,2012-11-12,1,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,6.87,NNE,,08,8202,39.72940063,-104.83200073,448.4,443.4,,Arapahoe,On-Air,,,,,,,2012-11-12,,,,,,,,,,CCARC,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,6.87,NNE,,08,8199,39.72940063,-104.83200073,448.275,443.275,,Arapahoe,On-Air,,W0BG,,,,,2013-01-05,,,,,,,,,,CCARC,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,Aurora,CO,OPEN,,,6.87,NNE,,08,8743,39.72940063,-104.83200073,449.95,444.95,,Arapahoe,On-Air,Primarily to the North along I-25 corridor,W9SL Owner,,,,,2019-08-23,,,,,,,,,,CCARC,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,6.87,NNE,,08,16032,39.72940063,-104.83200073,448.825,443.825,30584,Arapahoe,On-Air,,,,,,,2017-12-13,,,,,,,,,,,,,1,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,6.9,NNE,,08,92,39.72940063,-104.83100128,448.5,443.5,,Denver,On-Air,Greater Denver area.,Castle Rock Repeater Group,,E-power.,,,2017-03-11,,,,,,,,,,CCARC,100,,,,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0OBA,Aurora,CO,OPEN,,,7.53,ESE,,08,8741,39.62799835,-104.75800323,145.19,144.59,,Arapahoe,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins. 65 mi radius.",N0OBA,,Autopatch (please contact trustee).,,,2020-05-11,,,,,,,,,,,131.8,131.8,,,,DM79OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,7.96,NW,,08,8196,39.73759842,-104.98500061,447.925,442.925,,Denver,On-Air,,RADOPS El Jebel Shriners,,,,,2014-07-03,,,,,,,,,,CCARC,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,7.96,NW,,08,8195,39.73759842,-104.98500061,447.9,442.9,,Denver,On-Air,,WB0TPT,,,,,2017-03-11,,,,,,,,,,CCARC,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
