ID,StateID,Callsign,Use,Status,SquelchTone,DigitalTone,Digital,Location.Latitude,Location.Longitude,Location.County,Location.State,Location.Local,Frequency.Input,Frequency.Output,VOIP.AllStar,VOIP.EchoLink,VOIP.IRLP,VOIP.Wires.ID,VOIP,Digital.P25,Digital.YSF,Digital.DMR.ColorCode,Digital.DMR.ID,Digital.DStar.Node,SquelchTone.Input,SquelchTone.Output,Digital.DMR,Digital.DStar,Digital.YSF.GroupID.Input,Digital.YSF.GroupID.Output,VOIP.Wires,VOIP.IRLP.NodeID,VOIP.AllStar.NodeID,VOIP.EchoLink.NodeID,DigitalTone.Input,DigitalTone.Output,Digital.P25.NAC
18892,8,KE0VH,Open,On-Air,,,,39.661294,-104.860203,Arapahoe,CO,"Aurora, 225 and Parker Road",443.4,448.4,,,,46361,,,,,,,,,,,,,,,,,,,
17676,8,N0KEG,Open,Other,,,,39.58069992,-104.8769989,Arapahoe,CO,Centennial,147.915,147.315,,,,,,,,1,310759,N0KEG (C) Repeater,,,,,,,,,,,,,
8207,8,WR0AEN,Open,On-Air,,,,39.69670105,-104.80999756,Arapahoe,CO,Aurora,444.15,449.15,,,,,,,,,,WR0AEN (B),136.5,,,,,,,,,,,,
8202,8,N0ZUQ,Open,On-Air,,,,39.72940063,-104.83200073,Arapahoe,CO,Aurora,443.4,448.4,,,,,,,,,,,94.8,,,,,,,,,,,,
8199,8,W0BG,Open,On-Air,,,,39.72940063,-104.83200073,Arapahoe,CO,Aurora,443.275,448.275,,,,,,,,,,,156.7,,,,,,,,,,,,
8743,8,W9SL,Open,On-Air,,,,39.72940063,-104.83200073,Arapahoe,CO,Aurora,444.95,449.95,,,,,,,,,,,77,77,,,,,,,,,,,
16032,8,WN7ANT,Open,On-Air,,,,39.72940063,-104.83200073,Arapahoe,CO,Aurora,443.825,448.825,,,,30584,,,,,,,,,,,Open ↑,Open ↓,,,,,,,
92,8,KB0UDD,Open,On-Air,,,,39.72940063,-104.83100128,Denver,CO,"Aurora, Smokey Hill",443.5,448.5,,,,,,,,,,,100,,,,,,,,,,,,
8741,8,N0OBA,Open,On-Air,,,,39.62799835,-104.75800323,Arapahoe,CO,Aurora,144.59,145.19,,,,,,,,,,,131.8,131.8,,,,,,,,,,,
8196,8,K0FEZ,Open,On-Air,,,,39.73759842,-104.98500061,Denver,CO,Denver,442.925,447.925,,,,,,,,,,,100,100,,,,,,,,,,,
8195,8,WB0TPT,Open,On-Air,,,,39.73759842,-104.98500061,Denver,CO,Denver,442.9,447.9,,,,,,,,,,,,,,,,,,,,,,,
8212,8,WR0AEN,Open,On-Air,,,,39.73759842,-104.98500061,Denver,CO,Denver,444.65,449.65,,,,,,,,,,WR0AEN (B),136.5,,,,,,,,,,,,
8213,8,WR0AEN,Open,On-Air,,,,39.73759842,-104.98500061,Denver,CO,Denver,444.675,449.675,,,,,,,,,,WR0AEN (B),136.5,,,,,,,7708,,,,,
75,8,KE0SJ,Open,On-Air,,,,39.73920059,-104.98400116,Jefferson,CO,"Boulder, Blue Mountain",144.875,145.475,,,,,,,,,,,100,,,,,,,,,,,,
79,8,N0JXN,Open,On-Air,,,,39.73920059,-104.98400116,Denver,CO,Denver,146.115,146.715,,,,,,,,,,,123,123,,,,,,,,,,,
91,8,N5EHP,Open,On-Air,,,,39.73920059,-104.98400116,Denver,CO,Denver,443.075,448.075,,,,,,,,,,,123,,,,,,,,,,,,
93,8,W0KIZ,Open,On-Air,,,,39.73920059,-104.98400116,Denver,CO,Denver,443.55,448.55,,,,,,,,,,,82.5,,,,,,,,,,,,
274,8,WQ8M,Open,On-Air,,,,39.55799866,-104.79399872,Douglas,CO,Parker,443.7,448.7,,,,,,,,,,,146.2,,,,,,,,,,,,
5,8,KB0UDD,Open,On-Air,,,,39.6072998,-104.74099731,Arapahoe,CO,"Aurora, Smoky Hill",144.8,145.4,,,,,,,,,,,100,,,,,,,,,,,,
12216,8,W0JRL,Open,On-Air,,,,39.75519943,-104.98699951,Denver,CO,"Denver, Broadway Plaza Lofts",442.175,447.175,,,,,,,,,,,100,100,,,,,,,29997,201712,,,
8189,8,N0ESQ,Open,On-Air,,,,39.49420166,-104.83599854,Douglas,CO,"Parker, Hess Reservoir",442.525,447.525,,,,,,,,,,,203.5,146.2,,,,,,,,,,,
18248,8,K0PRA,Open,On-Air,,,,39.51860046,-104.76100159,Arapahoe,CO,Parker,442.225,447.225,,,,40895,,,,,,,,,,,Open ↑,Open ↓,,,,,,,
17696,8,N0KEG,Open,Other,,,,39.51860046,-104.76100159,Douglas,CO,Parker,443.05,448.05,,,,,,,,1,310374,,,,,,,,,,,,,,
8204,8,N0ELY,Open,On-Air,,,,39.70460129,-105.1230011,Jefferson,CO,Lakewood,443.75,448.75,,,,,,,,,,,100,100,,,,,,,,,,,
9765,8,WE0FUN,Open,On-Air,,,,39.79669952,-104.7480011,Denver,CO,"Denver, Green Valley Ranch",443.15,448.15,,,,,,,,,,,141.3,141.3,,,,,,,29436,24340,,,
85,8,W0TX,Open,On-Air,,,,39.68220139,-105.14299774,Jefferson,CO,"Lakewood, Green Mountain",147.93,147.33,,,,,,,,,,,100,,,,,,,,,,,,
267,8,W0TX,Open,On-Air,,,,39.68220139,-105.14299774,Jefferson,CO,"Lakewood, Green Mountain",222.78,224.38,,,,,,,,,,,100,100,,,,,,,,,,,
8215,8,W0TX,Open,On-Air,,,,39.68220139,-105.14299774,Jefferson,CO,"Lakewood, Green Mtn",444.775,449.775,,,,,,,,,,,,,,,Open ↑,Open ↓,,,,,,,
5805,8,W0TX,Open,On-Air,,,,39.71620178,-105.12999725,Jefferson,CO,"Lakewood, St Anthony Medical Campus",442.825,447.825,,,,,,,,,,,,,,,,,,,,,73,,
9775,8,KD0SSP,Open,On-Air,,,,39.75049973,-105.1230011,Jefferson,CO,"Lakewood, Moffat Treatment Plant",147.81,147.21,,,,,,,,,,,100,100,,,,,,3241,,,,,
17349,8,KD0SSP,Open,On-Air,,,,39.75059891,-105.1230011,Jefferson,CO,"Lakewood, Moffat Treatment Plant",443.35,448.35,,,,,,,,,,,225.7,,,,Open ↑,Open ↓,,,,,,,
8208,8,N1UPS,Open,On-Air,,,,39.83670044,-105.03700256,Adams,CO,Westminster,444.3,449.3,,,,,,,,,,,100,,,,,,,3699,,43699,,,
105,8,W0TX,Open,On-Air,,,,39.70080185,-105.1780014,Jefferson,CO,"Lakewood, Green Mountain",51.39,53.09,,,,,,,,,,,107.2,,,,,,,,,,,,
80,8,N0PUF,Open,On-Air,,,,39.50419998,-105.12799835,Jefferson,CO,"Centennial, Warren Mountain",146.28,146.88,,,,,,,,,,,100,,,,,,,,,,,,
273,8,N0PUF,Open,On-Air,,,,39.50419998,-105.12799835,Jefferson,CO,"Centennial, Warren Mountain",444.6,449.6,,,,,,,,,,,100,,,,Open ↑,Open ↓,,3345,,690473,,,
