Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
28,146.72000,146.12000,600 kHz,-DUP,FM,BSK Glendale Spencer Bench,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 206 273.48 UT Kane Glendale Spencer Bench K7BSK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
29,444.57500,449.57500,5.00 MHz,+DUP,FM,CAM Rosamond Taco Bell,T Sql,173.8 Hz,173.8 Hz,023,Both N,Off,6 14726 304.33 CA Kern Rosamond Taco Bell WA6CAM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
30,145.19000,144.59000,600 kHz,-DUP,FM,CAT Quartzsite Rice Ranch,Tone,103.5 Hz,103.5 Hz,023,Both N,Off,4 17524 286.58 AZ La Paz Quartzsite Rice Ranch KC0CAT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
31,147.91500,147.31500,600 kHz,-DUP,FM,CDF Banning Mt Edna,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,6 363 293.27 CA Riverside Banning Mt Edna W6CDF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
32,147.09000,147.69000,600 kHz,+DUP,FM,CDF Blythe Black Rock,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,6 365 281.01 CA Riverside Blythe Black Rock W6CDF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
33,445.02000,440.02000,5.00 MHz,-DUP,FM,CDF Cactus City,Tone,186.2 Hz,186.2 Hz,023,Both N,Off,6 17927 280.35 CA Riverside Cactus City W6CDF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
34,445.02000,440.02000,5.00 MHz,-DUP,FM,CDF Cedarpines Park Jobs Peak,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 17809 284.78 CA San Bernardino Cedarpines Park Jobs Peak W6CDF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
35,144.50500,145.10500,600 kHz,+DUP,FM,COH Hemet Simpson Park,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,6 707 311.38 CA Riverside Hemet Simpson Park W6COH,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
36,147.54000,144.98500,,-DUP,DV,CPA Wrightwood Blue Ridge,None,100.0 Hz,100.0 Hz,023,Both N,Off,6 3676 300.00 CA Los Angeles Wrightwood Blue Ridge W6CPA,,,CQCQCQ,W6CPA  C,W6CPA  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
37,446.87000,441.87000,5.00 MHz,-DUP,DV,CPA Wrightwood Blue Ridge,None,100.0 Hz,100.0 Hz,023,Both N,Off,6 5190 300.18 CA Los Angeles Wrightwood Blue Ridge W6CPA,,,CQCQCQ,W6CPA  B,W6CPA  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
38,445.16000,440.16000,5.00 MHz,-DUP,FM,CTR Banning Snow Peak,Tone,67.0 Hz,67.0 Hz,023,Both N,Off,6 5550 275.01 CA San Bernardino Banning Snow Peak W6CTR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
39,146.91000,146.31000,600 kHz,-DUP,FM,CTR Crestline Jobs Peak,Tone,151.4 Hz,151.4 Hz,023,Both N,Off,6 461 286.06 CA San Bernardino Crestline Jobs Peak W6CTR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
40,447.32000,442.32000,5.00 MHz,-DUP,FM,DRA Palm Desert,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 12824 287.68 CA Riverside Palm Desert W6DRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
41,449.70000,444.70000,5.00 MHz,-DUP,FM,DRA Palm Springs Tram,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 1008 288.68 CA Riverside Palm Springs Tram W6DRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
42,145.48000,144.88000,600 kHz,-DUP,FM,DRA Palm Springs Tram 1,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 378 288.68 CA Riverside Palm Springs Tram 1 W6DRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
43,145.20000,144.60000,600 kHz,-DUP,FM,DRA Palm Springs Tram 2,Tone,131.8 Hz,131.8 Hz,023,Both N,Off,6 377 288.68 CA Riverside Palm Springs Tram 2 W6DRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
44,145.35000,144.75000,600 kHz,-DUP,FM,DZL Bryce Canyon,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,49 6495 293.14 UT Garfield Bryce Canyon W6DZL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
45,147.70500,147.10500,600 kHz,-DUP,FM,ECS Running Springs Heaps Peak,T Sql,167.9 Hz,167.9 Hz,023,Both N,Off,6 3085 275.12 CA San Bernardino Running Springs Heaps Peak K6ECS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
46,147.70500,147.10500,600 kHz,-DUP,FM,ECS Victorville Table Mtn,Tone,131.8 Hz,131.8 Hz,023,Both N,Off,6 471 298.57 CA San Bernardino Victorville Table Mtn K6ECS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
47,145.31000,144.71000,600 kHz,-DUP,FM,FIK Quartzsite Guadalupe Peak,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,4 17 290.37 AZ La Paz Quartzsite Guadalupe Peak WB7FIK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
48,447.20000,442.20000,5.00 MHz,-DUP,FM,GBJ Thousand Palms,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 1009 277.69 CA Riverside Thousand Palms KA6GBJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
49,51.84000,51.34000,500 kHz,-DUP,FM,GBJ Thousand Palms Indio Hills,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 40 273.77 CA Riverside Thousand Palms Indio Hills KA6GBJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
50,447.32000,442.32000,5.00 MHz,-DUP,FM,GRF Fontana,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,6 1015 307.76 CA San Bernardino Fontana KA6GRF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
51,146.67000,146.07000,600 kHz,-DUP,FM,HYQ Moreno Valley Civic Center,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,6 380 309.86 CA Riverside Moreno Valley Civic Center WA6HYQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
52,447.14000,442.14000,5.00 MHz,-DUP,DV,IFR Palm Springs,None,100.0 Hz,100.0 Hz,023,Both N,Off,6 2461 283.06 CA Riverside Palm Springs K6IFR,,,CQCQCQ,K6IFR  B,K6IFR  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
53,445.64000,440.64000,5.00 MHz,-DUP,FM,IFR Palm Springs Indio Hills,Tone,131.8 Hz,131.8 Hz,023,Both N,Off,6 1006 273.77 CA Riverside Palm Springs Indio Hills K6IFR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
54,145.12000,144.52000,600 kHz,-DUP,FM,ISG Running Springs,Tone,131.8 Hz,131.8 Hz,023,Both N,Off,6 460 275.49 CA San Bernardino Running Springs WA6ISG,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
55,446.88000,441.88000,5.00 MHz,-DUP,FM,JAG Hemet,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,6 2405 310.07 CA Riverside Hemet KB6JAG,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
56,146.85000,146.25000,600 kHz,-DUP,FM,JBT Crestline Skyland Peak,Tone,146.2 Hz,146.2 Hz,023,Both N,Off,6 446 283.21 CA San Bernardino Crestline Skyland Peak W6JBT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
57,446.86000,441.86000,5.00 MHz,-DUP,FM,JRM Blythe,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,6 8395 285.34 CA Riverside Blythe K6JRM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
58,446.86000,441.86000,5.00 MHz,-DUP,FM,JRM Hemet,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,6 5218 310.12 CA Riverside Hemet K6JRM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
59,449.75000,444.75000,5.00 MHz,-DUP,FM,JSI Williams Bill Williams Mount,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,4 8393 286.78 AZ Coconino Williams Bill Williams Mountain K6JSI,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
60,147.61500,147.01500,600 kHz,-DUP,FM,JVF Running Springs,Tone,186.2 Hz,186.2 Hz,023,Both N,Off,6 462 275.49 CA San Bernardino Running Springs KI6JVF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
61,145.36000,144.76000,600 kHz,-DUP,FM,KAO Riverside Box Springs Mounta,T Sql,91.5 Hz,91.5 Hz,023,Both N,Off,6 383 306.89 CA Riverside Riverside Box Springs Mountain K9KAO,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
62,447.58000,442.58000,5.00 MHz,-DUP,FM,KSN Indio Chiriaco Smt,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,6 1007 277.40 CA Riverside Indio Chiriaco Smt W6KSN,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
63,53.56000,53.06000,500 kHz,-DUP,FM,LIZ Oak Glen,Tone,107.2 Hz,123.0 Hz,023,Both N,Off,6 10133 280.74 CA San Bernardino Oak Glen N6LIZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
64,146.68000,146.08000,600 kHz,-DUP,FM,LKL Aguila Smith Peak,Tone,162.2 Hz,162.2 Hz,023,Both N,Off,4 50 281.59 AZ La Paz Aguila Smith Peak K7LKL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
65,147.73500,147.13500,600 kHz,-DUP,FM,LLU Loma Linda LLUMC,Tone,118.8 Hz,118.8 Hz,023,Both N,Off,6 454 298.21 CA San Bernardino Loma Linda LLUMC K6LLU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
66,445.60000,440.60000,5.00 MHz,-DUP,FM,LLU Loma Linda LLUMC,Tone,118.8 Hz,118.8 Hz,023,Both N,Off,6 1016 297.34 CA San Bernardino Loma Linda LLUMC K6LLU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
67,146.62000,146.02000,600 kHz,-DUP,FM,LOQ Yarnell Yarnell Hill,T Sql,162.2 Hz,162.2 Hz,023,Both N,Off,4 11622 306.68 AZ Yavapai Yarnell Yarnell Hill N7LOQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
68,53.58000,53.08000,500 kHz,-DUP,FM,LXX Wrightwood Blue Ridge,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,6 2740 300.11 CA Los Angeles Wrightwood Blue Ridge N6LXX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
69,446.86000,441.86000,5.00 MHz,-DUP,FM,LXX Wrightwood Blue Ridge,Tone,110.9 Hz,110.9 Hz,023,Both N,Off,6 2741 300.18 CA Los Angeles Wrightwood Blue Ridge N6LXX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
70,145.34000,144.74000,600 kHz,-DUP,FM,MRN Palm Desert Santa Rosa Peak,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 361 309.19 CA Riverside Palm Desert Santa Rosa Peak N6MRN,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
71,447.48000,442.48000,5.00 MHz,-DUP,FM,MRN Pine Cove,T Sql,156.7 Hz,156.7 Hz,023,Both N,Off,6 3107 298.07 CA Riverside Pine Cove N6MRN,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
72,145.11500,144.51500,600 kHz,-DUP,DV,NAZ Williams Bill Williams Mount,None,100.0 Hz,100.0 Hz,023,Both N,Off,4 12302 286.87 AZ Coconino Williams Bill Williams Mountain K7NAZ,,,CQCQCQ,K7NAZ  C,K7NAZ  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
73,146.78000,146.18000,600 kHz,-DUP,FM,NAZ Williams Bill Williams Mount,Tone,91.5 Hz,91.5 Hz,023,Both N,Off,4 65 286.87 AZ Coconino Williams Bill Williams Mountain K7NAZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
74,445.78750,440.78750,5.00 MHz,-DUP,DV,NAZ Williams Bill Williams Mount,None,100.0 Hz,100.0 Hz,023,Both N,Off,4 12911 286.87 AZ Coconino Williams Bill Williams Mountain K7NAZ,,,CQCQCQ,K7NAZ  B,K7NAZ  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
75,447.00000,442.00000,5.00 MHz,-DUP,FM,OPU Hesperia,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,6 1035 272.16 CA San Bernardino Hesperia KC6OPU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
76,442.52500,447.52500,5.00 MHz,+DUP,FM,PAT Prescott,Tone,114.8 Hz,114.8 Hz,023,Both N,Off,4 238 296.87 AZ Yavapai Prescott W6PAT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
77,449.25000,444.25000,5.00 MHz,-DUP,FM,POF Chino Valley,Tone,192.8 Hz,192.8 Hz,023,Both N,Off,4 9796 288.33 AZ Yavapai Chino Valley K7POF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
78,146.76000,146.16000,600 kHz,-DUP,FM,QLT Cathedral City Palm Springs,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 13336 283.10 CA Riverside Cathedral City Palm Springs KD6QLT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
79,144.93000,147.58500,,+DUP,FM,QLT Palm Springs,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 379 283.06 CA Riverside Palm Springs KD6QLT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
80,146.02500,146.62500,600 kHz,+DUP,FM,R6P Cactus City,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 366 280.33 CA Riverside Cactus City NR6P,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
81,146.94000,146.34000,600 kHz,-DUP,FM,RAT Cathedral City Edom Hill,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,6 381 275.17 CA Riverside Cathedral City Edom Hill WD6RAT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
82,449.30000,444.30000,5.00 MHz,-DUP,FM,REC Moreno Valley Box Springs Mt,T Sql,103.5 Hz,103.5 Hz,023,Both N,Off,6 1440 306.78 CA Riverside Moreno Valley Box Springs Mtn. KI6REC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
83,147.64500,147.04500,600 kHz,-DUP,FM,RIA Rialto Fire station,T Sql,127.3 Hz,127.3 Hz,023,Both N,Off,6 13341 299.66 CA San Bernardino Rialto Fire station K6RIA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
84,445.90000,440.90000,5.00 MHz,-DUP,FM,RPG Phelan,Tone,146.2 Hz,146.2 Hz,023,Both N,Off,6 1014 287.54 CA San Bernardino Phelan N6RPG,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
85,146.67000,146.07000,600 kHz,-DUP,FM,RSM Lancaster,None,100.0 Hz,100.0 Hz,023,Both N,Off,6 216 310.17 CA Los Angeles Lancaster WB6RSM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
86,147.18000,147.78000,600 kHz,+DUP,FM,SGV Duck Creek Village,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 11424 272.85 UT Kane Duck Creek Village N7SGV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
87,447.32500,442.32500,5.00 MHz,-DUP,FM,SGV Duck Creek Village,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 11425 272.85 UT Kane Duck Creek Village N7SGV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
